Start Shift;End Shift;Precipitaiton
04/05/1997 15:30;04/05/1997 16:30;0.000
04/05/1997 16:30;04/05/1997 17:30;0.000
04/05/1997 17:30;04/05/1997 18:30;0.000
04/05/1997 18:30;04/05/1997 19:30;0.000
04/05/1997 19:30;04/05/1997 20:30;0.000
04/05/1997 20:30;04/05/1997 21:30;0.000
04/05/1997 21:30;04/05/1997 22:30;0.000
04/05/1997 22:30;04/05/1997 23:30;0.000
04/05/1997 23:30;05/05/1997 00:30;0.000
05/05/1997 00:30;05/05/1997 01:30;0.000
05/05/1997 01:30;05/05/1997 02:30;0.000
05/05/1997 02:30;05/05/1997 03:30;0.000
05/05/1997 03:30;05/05/1997 04:30;0.000
05/05/1997 04:30;05/05/1997 05:30;0.000
05/05/1997 05:30;05/05/1997 06:30;0.000
05/05/1997 06:30;05/05/1997 07:30;0.000
05/05/1997 07:30;05/05/1997 08:30;0.000
05/05/1997 08:30;05/05/1997 09:30;0.000
05/05/1997 09:30;05/05/1997 10:30;0.000
05/05/1997 10:30;05/05/1997 11:30;0.000
05/05/1997 11:30;05/05/1997 12:30;0.000
05/05/1997 12:30;05/05/1997 13:30;0.000
05/05/1997 13:30;05/05/1997 14:30;0.000
05/05/1997 14:30;05/05/1997 15:30;0.000
05/05/1997 15:30;05/05/1997 16:30;0.000
05/05/1997 16:30;05/05/1997 17:30;0.000
05/05/1997 17:30;05/05/1997 18:30;0.000
05/05/1997 18:30;05/05/1997 19:30;0.000
05/05/1997 19:30;05/05/1997 20:30;0.000
05/05/1997 20:30;05/05/1997 21:30;0.000
05/05/1997 21:30;05/05/1997 22:30;0.000
05/05/1997 22:30;05/05/1997 23:30;0.000
05/05/1997 23:30;06/05/1997 00:30;0.000
06/05/1997 00:30;06/05/1997 01:30;0.000
06/05/1997 01:30;06/05/1997 02:30;0.000
06/05/1997 02:30;06/05/1997 03:30;0.000
06/05/1997 03:30;06/05/1997 04:30;0.000
06/05/1997 04:30;06/05/1997 05:30;0.254
06/05/1997 05:30;06/05/1997 06:30;0.254
06/05/1997 06:30;06/05/1997 07:30;0.000
06/05/1997 07:30;06/05/1997 08:30;0.000
06/05/1997 08:30;06/05/1997 09:30;0.000
06/05/1997 09:30;06/05/1997 10:30;0.000
06/05/1997 10:30;06/05/1997 11:30;0.000
06/05/1997 11:30;06/05/1997 12:30;0.000
06/05/1997 12:30;06/05/1997 13:30;0.000
06/05/1997 13:30;06/05/1997 14:30;0.000
06/05/1997 14:30;06/05/1997 15:30;0.000
06/05/1997 15:30;06/05/1997 16:30;0.000
06/05/1997 16:30;06/05/1997 17:30;0.000
06/05/1997 17:30;06/05/1997 18:30;0.000
06/05/1997 18:30;06/05/1997 19:30;0.000
06/05/1997 19:30;06/05/1997 20:30;0.000
06/05/1997 20:30;06/05/1997 21:30;0.000
06/05/1997 21:30;06/05/1997 22:30;0.000
06/05/1997 22:30;06/05/1997 23:30;0.000
06/05/1997 23:30;07/05/1997 00:30;0.000
07/05/1997 00:30;07/05/1997 01:30;0.000
07/05/1997 01:30;07/05/1997 02:30;0.000
07/05/1997 02:30;07/05/1997 03:30;0.000
07/05/1997 03:30;07/05/1997 04:30;0.000
07/05/1997 04:30;07/05/1997 05:30;0.000
07/05/1997 05:30;07/05/1997 06:30;0.000
07/05/1997 06:30;07/05/1997 07:30;0.000
07/05/1997 07:30;07/05/1997 08:30;0.000
07/05/1997 08:30;07/05/1997 09:30;0.000
07/05/1997 09:30;07/05/1997 10:30;0.000
07/05/1997 10:30;07/05/1997 11:30;0.000
07/05/1997 11:30;07/05/1997 12:30;0.000
07/05/1997 12:30;07/05/1997 13:30;0.000
07/05/1997 13:30;07/05/1997 14:30;0.000
07/05/1997 14:30;07/05/1997 15:30;0.000
07/05/1997 15:30;07/05/1997 16:30;0.000
07/05/1997 16:30;07/05/1997 17:30;0.000
07/05/1997 17:30;07/05/1997 18:30;0.000
07/05/1997 18:30;07/05/1997 19:30;0.000
07/05/1997 19:30;07/05/1997 20:30;0.000
07/05/1997 20:30;07/05/1997 21:30;0.000
07/05/1997 21:30;07/05/1997 22:30;0.000
07/05/1997 22:30;07/05/1997 23:30;0.000
07/05/1997 23:30;08/05/1997 00:30;0.000
08/05/1997 00:30;08/05/1997 01:30;0.000
08/05/1997 01:30;08/05/1997 02:30;0.000
08/05/1997 02:30;08/05/1997 03:30;0.000
08/05/1997 03:30;08/05/1997 04:30;0.000
08/05/1997 04:30;08/05/1997 05:30;0.000
08/05/1997 05:30;08/05/1997 06:30;0.000
08/05/1997 06:30;08/05/1997 07:30;0.000
08/05/1997 07:30;08/05/1997 08:30;0.000
08/05/1997 08:30;08/05/1997 09:30;0.000
08/05/1997 09:30;08/05/1997 10:30;0.000
