"site","month","year","t.start","t.end","doy.start","precip"
"loam","may",2003,2003-05-25 06:37:00,2003-05-25 19:07:00,145,0
"loam","may",2003,2003-05-25 19:07:00,2003-05-26 06:46:00,145,0
"loam","may",2003,2003-05-26 06:46:00,2003-05-26 19:57:00,146,17.3
"loam","may",2003,2003-05-26 19:57:00,2003-05-27 06:23:00,146,0
"loam","may",2003,2003-05-27 06:23:00,2003-05-28 04:30:00,147,7.2
"loam","may",2003,2003-05-28 04:30:00,2003-05-29 21:47:00,148,2.3
"loam","june",2003,2003-06-23 09:22:00,2003-06-23 09:52:00,174,0
"loam","june",2003,2003-06-23 09:52:00,2003-06-23 10:22:00,174,0
"loam","june",2003,2003-06-23 10:22:00,2003-06-23 11:22:00,174,0
"loam","june",2003,2003-06-23 11:22:00,2003-06-23 12:22:00,174,0
"loam","june",2003,2003-06-23 12:22:00,2003-06-23 14:53:00,174,0
"loam","june",2003,2003-06-23 14:53:00,2003-06-23 17:11:00,174,0
"loam","june",2003,2003-06-23 17:11:00,2003-06-23 20:57:00,174,0
"loam","june",2003,2003-06-23 20:57:00,2003-06-24 07:03:00,174,0
"loam","june",2003,2003-06-24 07:03:00,2003-06-24 11:51:00,175,0
"loam","june",2003,2003-06-24 11:51:00,2003-06-24 19:57:00,175,0
"loam","june",2003,2003-06-24 19:57:00,2003-06-25 06:59:00,175,0
"loam","june",2003,2003-06-25 06:59:00,2003-06-25 12:27:00,176,0
"loam","june",2003,2003-06-25 12:27:00,2003-06-25 16:41:00,176,0
"loam","june",2003,2003-06-25 16:41:00,2003-06-26 09:07:00,176,0
"loam","june",2003,2003-06-26 09:07:00,2003-06-26 19:26:00,177,0
"loam","june",2003,2003-06-26 19:26:00,2003-06-27 08:00:00,177,0
"loam","june",2003,2003-06-27 08:00:00,2003-06-27 20:23:00,178,0
"loam","june",2003,2003-06-27 20:23:00,2003-06-28 07:12:00,178,0
"loam","june",2003,2003-06-28 07:12:00,2003-06-28 19:42:00,179,0
"loam","june",2003,2003-06-28 19:42:00,2003-06-29 07:21:00,179,0
"loam","june",2003,2003-06-29 07:21:00,2003-06-29 20:32:00,180,0
"loam","june",2003,2003-06-29 20:32:00,2003-06-30 06:58:00,180,0
"loam","june",2003,2003-06-30 06:58:00,2003-07-01 05:05:00,181,5
"sandyloam","may",2003,2003-05-15 08:45:00,2003-05-15 09:14:00,135,0
"sandyloam","may",2003,2003-05-15 09:14:00,2003-05-15 09:44:00,135,0
"sandyloam","may",2003,2003-05-15 09:44:00,2003-05-15 10:44:00,135,0
"sandyloam","may",2003,2003-05-15 10:44:00,2003-05-15 11:44:00,135,0
"sandyloam","may",2003,2003-05-15 11:44:00,2003-05-15 12:44:00,135,0
"sandyloam","may",2003,2003-05-15 12:44:00,2003-05-15 14:44:00,135,0
"sandyloam","may",2003,2003-05-15 14:44:00,2003-05-15 16:47:00,135,0
"sandyloam","may",2003,2003-05-15 16:47:00,2003-05-15 21:01:00,135,0
"sandyloam","may",2003,2003-05-15 21:01:00,2003-05-16 06:38:00,135,0
"sandyloam","may",2003,2003-05-16 06:38:00,2003-05-16 11:44:00,136,0
"sandyloam","may",2003,2003-05-16 11:44:00,2003-05-16 16:44:00,136,0
"sandyloam","may",2003,2003-05-16 16:44:00,2003-05-17 06:45:00,136,0
"sandyloam","may",2003,2003-05-17 06:45:00,2003-05-17 18:17:00,137,0
"sandyloam","may",2003,2003-05-17 18:17:00,2003-05-18 07:43:00,137,0
"sandyloam","may",2003,2003-05-18 07:43:00,2003-05-18 20:01:00,138,0
"sandyloam","may",2003,2003-05-18 20:01:00,2003-05-19 08:41:00,138,0
"sandyloam","may",2003,2003-05-19 08:41:00,2003-05-19 21:46:00,139,0.1
"sandyloam","may",2003,2003-05-19 21:46:00,2003-05-20 06:05:00,139,0
"sandyloam","may",2003,2003-05-20 06:05:00,2003-05-20 15:44:00,140,0
"sandyloam","may",2003,2003-05-20 15:44:00,2003-05-21 07:55:00,140,0
"sandyloam","may",2003,2003-05-21 07:55:00,2003-05-22 07:43:00,141,0
