DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
470,19900724,    0,    0,
470,19900725,    0,    0,
470,19900726,    0,    0,
470,19900727,    0,    0,
470,19900728,    0,    0,
470,19900729,   21,    0,
470,19900730,    0,    0,
470,19900731,    4,    0,
470,19900801,    0,    0,
470,19900802,    0,    0,
470,19900803,    0,    0,
470,19900804,    0,    0,
470,19900805,    0,    0,
470,19900806,    0,    0,
470,19900807,   97,    0,
470,19900808,   18,    0,
470,19900809,    0,    0,
470,19900810,    0,    0,
470,19900811,    0,    0,
470,19900812,    0,    0,
470,19900813,    0,    0,
470,19900814,    0,    0,
470,19900815,    0,    0,
470,19900816,   22,    0,
470,19900817,   48,    0,
470,19900818,  142,    0,
470,19900819,   98,    0,
470,19900820,  292,    0,
470,19900821,   34,    0,
470,19900822,    0,    0,
470,19900823,    0,    0,
470,19900824,    0,    0,
470,19900825,    0,    0,
470,19900826,    0,    0,
470,19900827,    0,    0,
470,19900828,    0,    0,
470,19900829,    0,    0,
470,19900830,   15,    0,
470,19900831,    0,    0,
470,19900901,   30,    0,
470,19900902,    3,    0,
470,19900903,    2,    0,
470,19900904,   84,    0,
470,19900905,    0,    0,
470,19900906,    3,    0,
470,19900907,   81,    0,
470,19900908,   31,    0,
470,19900909,    0,    0,
470,19900910,    4,    0,
470,19900911,   22,    0,
470,19900912,    4,    0,
470,19900913,    0,    0,
470,19900914,    0,    0,
470,19900915,    0,    0,
470,19900916,    0,    0,
470,19900917,    0,    0,
470,19900918,   32,    0,
470,19900919,    6,    0,
470,19900920,   72,    0,
470,19900921,  102,    0,
470,19900922,   22,    0,
470,19900923,   14,    0,
470,19900924,  172,    0,
470,19900925,  168,    0,
470,19900926,   16,    0,
470,19900927,   16,    0,
470,19900928,    0,    0,
470,19900929,    3,    0,
470,19900930,   63,    0,
