day	hr	atemp	rh	wind
149	1300	16.24	82.3	1.783
149	1400	15.33	89	1.642
149	1500	14.31	90.1	1.469
149	1600	13.78	95.5	1.507
149	1700	15.04	89.1	1.323
149	1800	14.68	90.6	1.139
149	1900	13.87	95.3	1.441
149	2000	13.71	95.6	1.34
149	2100	13.39	96	1.02
149	2200	12.6	94.5	1.235
149	2300	11.77	91.5	1.199
150	0	11.15	89.5	1.454
150	100	10.39	89.6	1.27
150	200	10.07	86	1.574
150	300	9.44	86.1	1.511
150	400	8.81	86.9	1.824
150	500	8.18	88.6	1.691
150	600	7.38	91.4	1.374
150	700	7.21	92.1	1.696
150	800	7.5	88.5	2.078
150	900	7.32	93.7	1.62
150	1000	8.35	86	2.178
150	1100	9.48	77.5	2.514
150	1200	10.29	74.1	2.916
150	1300	11.25	66.66	3.198
150	1400	11.09	66.47	3.137
150	1500	10.17	71.6	2.876
150	1600	9.78	74.8	2.297
150	1700	9.53	79.7	2.199
150	1800	9.6	76.1	1.951
150	1900	9.07	77.7	2.456
150	2000	8.46	81.7	2.328
150	2100	8.55	78.9	2.267
150	2200	7.81	78.7	2.1
150	2300	6.886	82.4	1.919
151	0	6.218	85.6	1.616
151	100	5.962	85.9	2.004
151	200	5.468	88.9	2.347
151	300	5.391	91	2.06
151	400	5.483	90.2	1.997
151	500	5.946	87.3	2.036
151	600	6.642	84.9	2.084
151	700	8.19	77.2	2.386
151	800	10.02	68.28	2.423
151	900	11.49	59.98	3.244
151	1000	12.6	55.4	4.044
151	1100	13.26	55.63	4.003
151	1200	13.72	53.69	3.939
151	1300	14.13	53.88	4.652
151	1400	13.72	55.02	5.3
151	1500	14.51	51.78	5.054
151	1600	15.71	47.57	4.368
151	1700	17.04	44.56	3.221
151	1800	17.26	41.48	3.182
151	1900	16.58	39.87	2.951
151	2000	16.47	37.52	3.264
151	2100	15.18	42.91	1.884
151	2200	13.54	52.24	1.087
151	2300	12.4	54.89	1.126
152	0	10.27	64.58	0.891
152	100	10.32	64.82	0.794
152	200	9.97	65	0.719
152	300	9.1	73.3	0.869
152	400	8.4	77.2	0.874
152	500	7.85	74.8	1.291
152	600	8.14	72	1.814
152	700	8.91	74.1	1.168
152	800	10.53	73.2	0.975
152	900	13.23	63.07	0.913
152	1000	15.28	58.93	1.13
152	1100	16.45	57.74	1.461
152	1200	17.5	50.02	1.689
152	1300	18.47	41.46	1.801
152	1400	19.54	38.26	1.662
152	1500	19.95	36.92	1.606
152	1600	20.74	32.07	1.422
152	1700	20.99	29.59	1.966
152	1800	20.58	28.42	1.586
152	1900	18.34	33.69	1.29
152	2000	16.19	39.6	1.341
152	2100	14.95	54.83	1.051
152	2200	14.49	55.6	1.268
152	2300	13.71	55.71	1.372
153	0	13.84	66.81	1.841
153	100	13.59	66.84	1.344
153	200	13.6	68.19	1.148
153	300	13.62	71.3	1.139
153	400	13.48	72.3	1.062
153	500	13.03	77	1.001
153	600	11.71	88.7	1.39
153	700	10.31	96.4	2.076
153	800	10.06	98.7	1.299
153	900	10.18	98.6	1.556
153	1000	10.5	99.2	1.485
153	1100	10.92	98.1	1.286
153	1200	11.17	97.7	1.125
153	1300	11.05	98.4	1.222
153	1400	11.26	98.9	1.391
153	1500	11.4	99.3	1.614
153	1600	11.46	99.6	1.648
153	1700	11.71	98.7	1.677
153	1800	11.99	97	1.79
153	1900	12.13	95	1.808
153	2000	12.13	91.5	1.626
153	2100	11.93	91.8	1.175
153	2200	11.6	90.8	1.45
153	2300	11.59	90.5	1.483
154	0	11.53	91.9	1.593
154	100	11.42	91.4	2.144
154	200	11.4	91.4	2.149
154	300	11.52	90.6	2.059
154	400	11.37	89.9	1.954
154	500	11.23	89.1	1.785
154	600	11.13	88.7	1.704
154	700	10.42	93.7	1.553
154	800	10.13	98	1.869
154	900	10.54	96.8	2.532
154	1000	11.85	91.6	2.779
154	1100	11.72	91	2.623
154	1200	11.98	89.7	2.907
154	1300	12.7	87.6	3.192
154	1400	13.09	86.6	3.159
154	1500	13.73	83.4	3.844
154	1600	14.15	82.3	3.876
154	1700	13.43	85.2	3.327
154	1800	12.79	89.3	3.552
154	1900	12.91	89.9	3.419
154	2000	12.91	92.3	2.745
154	2100	13.07	92.7	2.787
154	2200	13.23	93.6	2.849
154	2300	12.78	97.4	3.159
155	0	12.48	100.1	2.963
155	100	12.55	99.9	2.63
155	200	12.58	99.7	2.625
155	300	12.38	100.9	2.547
155	400	12.28	101.5	2.263
155	500	12.18	100.9	2.439
155	600	11.9	101	1.767
155	700	11.95	101.2	1.01
155	800	12.09	101.3	1.007
155	900	12.26	100.9	1.842
155	1000	12.21	100.3	2.013
155	1100	12.23	100.6	1.721
155	1200	12.73	99.6	2.069
155	1300	12.99	98.6	2.088
155	1400	13.23	96.9	1.609
155	1500	12.97	96.8	1.815
155	1600	12.29	97.4	1.815
155	1700	12.21	98.1	1.78
155	1800	11.91	98.8	1.755
155	1900	11.39	99.9	1.78
155	2000	11.19	100.6	1.495
155	2100	11.24	100.9	1.292
155	2200	11.13	100.7	1.313
155	2300	11.12	100.7	1.076
156	0	11.06	101.1	1.013
156	100	11.06	101	0.789
156	200	11.11	100.9	0.43
156	300	11.16	101.1	0.306
156	400	11.16	101.6	0.418
156	500	11.27	101.7	0.447
156	600	11.31	101.4	0.601
156	700	11.85	100.7	0.609
156	800	13.09	100.5	1.119
156	900	15.73	92.5	2.187
156	1000	16.35	87.7	2.441
156	1100	16.19	85.6	2.402
156	1200	16.47	83.3	2.7
156	1300	16.98	79.4	2.845
156	1400	17.3	76.9	3.048
156	1500	17.62	75.9	3.208
156	1600	17.85	73.4	3.222
156	1700	18.68	70.4	3.146
156	1800	19.33	69.96	3.125
156	1900	18.65	72.4	2.582
156	2000	17.53	75.6	2.327
156	2100	16.38	82.6	2.023
156	2200	14.93	92.9	1.343
156	2300	14.69	94.4	1.378
157	0	14.93	86.6	1.928
157	100	14.53	84.9	1.822
157	200	13.91	87.6	1.478
157	300	13.61	87	1.312
157	400	13.63	87.4	1.765
157	500	13.63	88.3	1.788
157	600	13.56	89.6	1.96
157	700	13.61	88.4	2.156
157	800	13.75	88.5	1.959
157	900	14.4	85.9	2.036
157	1000	15.2	82.1	1.687
157	1100	17.01	74.4	2.229
157	1200	19.12	67.08	2.729
157	1300	18.87	69.01	2.394
157	1400	19.49	66.83	2.418
157	1500	19.72	68.15	2.717
157	1600	19.41	69.52	2.423
157	1700	19.28	67.01	2.317
157	1800	19.12	59.55	3.07
157	1900	19.41	53.55	2.628
157	2000	19.44	55.49	1.504
157	2100	16.52	74	0.718
157	2200	16.1	77.1	1.031
157	2300	15.69	80.4	0.961
158	0	14.41	84.9	0.535
158	100	13.49	88.5	0.66
158	200	12.39	92.1	0.947
158	300	12.1	81.8	0.825
158	400	10.71	85.4	0.915
158	500	9.04	95.1	0.945
158	600	8.46	97.8	1.009
158	700	10.96	90.3	1.106
158	800	15.3	65.44	0.724
158	900	17.41	57.49	0.809
158	1000	18.79	57.27	1.145
158	1100	19.87	51.57	1.364
158	1200	21.07	49.85	1.369
158	1300	21.67	48.97	1.579
158	1400	22.77	41.82	1.764
158	1500	23.57	39.35	1.848
158	1600	24.24	36.65	1.724
158	1700	24.44	35.47	1.837
158	1800	24.11	33.77	1.99
158	1900	23.33	35.33	1.874
158	2000	20.04	53.04	1.511
158	2100	16.61	68.54	0.852
158	2200	14.28	77.9	1.277
158	2300	12.85	83.8	1.243
159	0	11.87	87.4	0.933
159	100	10.86	91.4	1.071
159	200	9.46	96.9	1.432
159	300	8.73	98.5	1.132
159	400	8.07	95	1.087
159	500	7.33	95.9	1.222
159	600	7.29	99	1.2
159	700	11	86.1	0.67
159	800	15.64	64.06	0.971
159	900	16.31	61.8	1.862
159	1000	17.55	57	1.977
159	1100	18.77	52.98	1.736
159	1200	19.25	57.96	2.088
159	1300	18.69	54.84	2.696
159	1400	18.67	47.91	2.772
159	1500	19.22	44.43	2.439
159	1600	19.84	44.09	2.201
159	1700	19.99	43.62	2.04
159	1800	20.17	40.91	1.899
159	1900	18.37	44.86	1.327
159	2000	16.11	45.83	1.281
159	2100	14.43	57.69	0.876
159	2200	12.3	69.74	0.911
159	2300	11.59	78.7	0.859
160	0	10.7	83.7	0.946
160	100	9.7	90	1.1
160	200	8.75	96.5	1.239
160	300	7.6	99.4	1.326
160	400	7.41	99.7	0.818
160	500	8.95	87.4	0.487
160	600	10.19	78.6	0.66
160	700	13.17	69.96	0.677
160	800	14.26	63.45	0.946
160	900	16.58	56.57	1.245
160	1000	18.72	51.6	1.429
160	1100	19.73	47.52	1.867
160	1200	20.49	45.92	1.872
160	1300	21.31	45.29	2.029
160	1400	21.71	41.09	2.502
160	1500	21.87	41.42	2.271
160	1600	21.38	44.18	2.299
160	1700	21.43	43.95	2.47
160	1800	21.46	49.87	3.119
160	1900	21.32	49.28	1.52
160	2000	19.32	57.89	0.923
160	2100	18.22	63.62	1.343
160	2200	16.89	68.31	0.958
160	2300	15.9	72.5	0.611
161	0	15.41	82	2.283
161	100	13.7	96.5	1.191
161	200	13.62	98	0.763
161	300	13.1	101.1	0.508
161	400	13.06	101.1	0.408
161	500	12.37	101.8	0.724
161	600	12.69	100.2	0.895
161	700	13.73	94.9	1.262
161	800	14.48	79.6	2.124
161	900	15.28	73.7	2.174
161	1000	16.44	67.01	2.016
161	1100	17.16	59.6	2.034
161	1200	18.57	45.77	1.925
161	1300	19.59	39.35	1.918
161	1400	20.41	42.86	1.8
161	1500	21.48	44.06	1.411
161	1600	23.05	43.48	1.184
161	1700	22.83	48.94	1.66
161	1800	21.77	46.49	1.918
161	1900	20.66	45.7	1.579
161	2000	18.62	46.85	1.407
161	2100	16.19	48.32	1.303
161	2200	15.01	61.5	0.954
161	2300	13.91	73.3	0.569
162	0	12.97	79.8	0.665
162	100	11.55	89.3	1.02
162	200	10.95	90.3	0.918
162	300	10.89	85.9	0.881
162	400	10.72	88.8	0.85
162	500	9.96	95.1	0.917
162	600	9.87	98.3	0.787
162	700	12.73	89	0.684
162	800	16.04	78	1.018
162	900	16.9	78.4	1.5
162	1000	18.92	71.4	1.018
162	1100	20.99	66.11	1.42
162	1200	22.31	62.7	1.367
162	1300	23.72	59.07	1.438
162	1400	25.35	51.18	1.375
162	1500	26.73	49.93	1.018
162	1600	26.12	49.71	0.914
162	1700	23.34	59.72	1.549
162	1800	16.59	91.8	2.013
162	1900	16.31	96.3	1.461
162	2000	15.65	98.1	0.894
162	2100	15.4	99.7	0.826
162	2200	14.87	100.8	0.649
162	2300	14.14	102.2	0.454
163	0	13.71	102.7	0.856
163	100	13.31	102.7	1.016
163	200	12.5	102.8	1.109
163	300	11.89	102.7	0.772
163	400	12.15	102.9	0.66
163	500	12.69	102.7	0.62
163	600	12.25	102.5	0.705
163	700	13.83	99.3	0.738
163	800	15.23	94.2	0.862
163	900	17.02	85.1	1.101
163	1000	18.46	80.7	1.303
163	1100	19.16	79.1	0.92
163	1200	18.04	84.5	2.364
163	1300	17.98	85.2	2.086
163	1400	18.58	82.9	1.111
163	1500	18.68	82.1	0.993
163	1600	20.19	76.6	1.129
163	1700	20.01	79.9	1.302
163	1800	20.95	75.8	1.401
163	1900	20.71	76.9	0.762
163	2000	19.84	84.5	0.335
163	2100	18.35	89.7	0.688
163	2200	17.09	93.5	0.873
163	2300	16.86	91.6	0.851
164	0	15.43	97.6	0.475
164	100	15.08	98.5	0.921
164	200	15.02	98.6	1.022
164	300	14.68	98.6	0.734
164	400	13.83	99.9	0.929
164	500	13.73	100.6	0.975
164	600	14.19	98.9	0.933
164	700	16.11	91.8	0.857
164	800	18.08	85.7	1.302
164	900	19.33	83	1.809
164	1000	20.48	80.2	2.023
164	1100	22.27	74.9	1.977
164	1200	24.14	70.8	1.84
164	1300	25.25	63.03	2.028
164	1400	26.12	56.15	2.147
164	1500	26.6	50.9	2.332
164	1600	27.12	39.61	2.452
164	1700	27.15	35.95	2.311
164	1800	26.19	36.24	2.093
164	1900	25.58	38.9	1.93
164	2000	24.21	44.77	1.095
164	2100	20.78	60	1.252
164	2200	17.92	73.5	0.681
164	2300	16.76	76.9	0.668
165	0	16.39	75.5	0.889
165	100	16.9	67.38	0.725
165	200	15.21	79.1	0.62
165	300	14.21	85	0.811
165	400	13.15	92.3	1.104
165	500	13.27	94.8	1.032
165	600	12.89	97.5	0.971
165	700	14.28	91.7	0.821
165	800	18.18	74.8	0.935
165	900	19.82	67.88	1.884
165	1000	21.69	58.57	1.503
165	1100	23	54.3	1.47
165	1200	23.94	57.21	1.419
165	1300	25.15	54.48	1.136
165	1400	27.07	48.46	1.441
165	1500	28.04	47.43	1.642
165	1600	28.99	46.73	1.557
165	1700	29.85	44.54	1.479
165	1800	29.72	45.39	1.578
165	1900	29.71	46.9	1.046
165	2000	27.42	54.32	0.729
165	2100	24.04	68.04	1.076
165	2200	23.16	74.3	1.264
165	2300	22.33	80	1.169
166	0	21.32	85.5	0.998
166	100	21.37	84.2	0.79
166	200	21.12	84.5	0.969
166	300	19.99	89.3	0.999
166	400	18.81	95.1	1.079
166	500	18.56	95.2	1.125
166	600	18.64	93.8	1.233
166	700	19.75	88.3	1.095
166	800	22.33	81.3	0.762
166	900	24.07	75.9	1.235
166	1000	25.34	70.4	1.959
166	1100	27.01	66.74	2.058
166	1200	28.76	61.4	2.047
166	1300	30.12	59.68	2.076
166	1400	31.48	56.76	1.786
166	1500	32.48	49.04	1.737
166	1600	32.78	48.94	1.825
166	1700	32	51.75	1.928
166	1800	31.68	49.94	1.667
166	1900	31.51	47.89	1.171
166	2000	29.97	53.3	0.802
166	2100	23.47	76.5	1.135
166	2200	18.76	85.1	1.791
166	2300	18.34	85.9	1.226
167	0	18.25	84.3	1.183
167	100	17.68	85.9	0.985
167	200	17.24	85.1	1.171
167	300	16.78	87.1	0.739
167	400	16.21	91.7	0.578
167	500	15.6	95	0.572
167	600	15.93	93.2	0.655
167	700	18.1	84.2	0.735
167	800	20	76.6	1.326
167	900	21.78	70.6	1.603
167	1000	23.13	65.09	1.747
167	1100	24.6	62.56	1.755
167	1200	26.01	61.92	1.777
167	1300	27.32	60.1	1.754
167	1400	28	59.3	1.78
167	1500	29.01	60.24	1.683
167	1600	29.2	58.39	1.636
167	1700	29.5	58.11	1.338
167	1800	28.91	60.13	1.403
167	1900	28.62	63.43	0.676
167	2000	25.19	75.1	1.387
167	2100	25.29	67.64	2.569
167	2200	23.86	76.2	0.982
167	2300	22.95	82.8	0.909
168	0	21.3	91.6	1.027
168	100	19.17	96.5	0.637
168	200	18.81	98.2	0.632
168	300	19.13	99.2	0.557
168	400	20.13	100.1	0.431
168	500	20.6	100.8	0.59
168	600	20.85	100.8	0.505
168	700	20.82	100.6	0.766
168	800	20.68	100.2	0.873
168	900	20.85	98.4	1.522
168	1000	20.91	96.7	1.436
168	1100	21.59	95.3	1.278
168	1200	22.27	91.5	1.588
168	1300	22.14	90.2	1.449
168	1400	23.29	84.4	1.606
168	1500	24.05	77.4	1.833
168	1600	25.54	73.2	1.806
168	1700	26.45	71.3	1.602
168	1800	26.16	68.06	1.467
168	1900	23.59	72.5	1.478
168	2000	21.33	68.25	1.22
168	2100	20.77	75.5	1.6
168	2200	18.62	76.8	1.432
168	2300	16.21	96.9	1.072
169	0	15.63	100.2	0.836
169	100	16.06	95.7	0.965
169	200	15.28	97.1	0.959
169	300	14.83	95.1	0.931
169	400	14.1	93.3	0.998
169	500	12.6	101.8	1.258
169	600	13.72	97.2	1.123
169	700	16.63	81.8	1.072
169	800	18.12	74.8	1.023
169	900	19.44	71.2	1.339
169	1000	20.72	69.38	1.627
169	1100	22.45	60.17	1.62
169	1200	22.84	47.62	2.013
169	1300	24.09	37.52	3.052
169	1400	24.3	36.08	3.022
169	1500	24.81	34.98	2.93
169	1600	25.08	33.67	2.842
169	1700	25.19	33.96	2.716
169	1800	25.14	32.22	2.511
169	1900	24.55	32.62	2.18
169	2000	23.14	34.84	1.678
169	2100	18.71	51.89	0.999
169	2200	16.9	63.1	1.201
169	2300	15.14	71.5	1.214
170	0	13.6	83.3	1.237
170	100	13.08	87.7	1.024
170	200	13.46	88.4	0.976
170	300	13.76	89.7	0.896
170	400	13.62	95.8	0.989
170	500	13.39	100.6	0.955
170	600	13.68	100	0.861
170	700	14.12	98.9	0.734
170	800	14.64	99.6	0.767
170	900	15.23	98.7	0.843
170	1000	14.82	100.7	1.349
170	1100	15.66	100.2	1.056
170	1200	16.67	97.4	1.511
170	1300	19.73	88.1	1.481
170	1400	21.09	85.5	2.515
170	1500	22.03	83	2.732
170	1600	24.25	72.9	1.897
170	1700	27.31	65.01	1.088
170	1800	29.44	60.86	0.797
170	1900	30.15	46.18	1.958
170	2000	29.35	43.81	2.388
170	2100	28.08	46.37	2.095
170	2200	27.79	47.28	2.432
170	2300	27.2	50.89	2.783
171	0	26.43	56.68	2.673
171	100	24.96	66.35	2.679
171	200	23.97	62.94	2.51
171	300	22.89	61.55	2.432
171	400	21.87	50.06	2.602
171	500	20.42	49.01	1.767
171	600	19.35	58.86	1.329
171	700	20.43	53.85	1.874
171	800	21.3	50.49	2.339
171	900	21.91	47.36	2.6
171	1000	22.26	45.88	2.663
171	1100	21.58	46.59	2.545
171	1200	21.66	49.15	2.336
171	1300	21.92	48.76	2.4
171	1400	22.77	46.16	2.709
171	1500	22.38	48.57	2.68
171	1600	23.91	40.79	2.929
171	1700	24.3	40.43	2.352
171	1800	24.2	44.98	2.283
171	1900	23.78	47.59	2.021
171	2000	22.5	44.49	2.117
171	2100	20.83	47.86	1.366
171	2200	17.92	73.4	0.776
171	2300	15.86	82.3	1.033
172	0	15.79	68.81	0.743
172	100	14.03	74.1	0.973
172	200	13.37	75.7	0.98
172	300	12.29	81.9	1.047
172	400	10.6	93.1	1.216
172	500	10.05	95	1.153
172	600	9.76	97.6	1.321
172	700	13.46	83.7	0.967
172	800	16.94	71.4	0.769
172	900	18.37	63.39	1.512
172	1000	19.96	55.88	1.541
172	1100	21.25	51.15	1.506
172	1200	22.22	44.9	1.566
172	1300	22.89	49.07	1.487
172	1400	24.06	41.33	1.325
172	1500	24.63	41.54	1.124
172	1600	25.34	36.91	1.08
172	1700	25.36	33.85	0.993
172	1800	25.73	34.2	0.784
172	1900	24.25	45.29	1.096
172	2000	20.63	61.07	1.264
172	2100	18.85	66.85	1.357
172	2200	17.87	69.97	0.975
172	2300	17.76	66.01	1.019
173	0	17.48	67.16	1.047
173	100	16.33	78.7	1.115
173	200	16.15	81.9	1.053
173	300	16.32	76.1	1.014
173	400	15.9	74.2	0.785
173	500	15.67	68.55	1.165
173	600	15.76	67.18	1.239
173	700	16.2	71	1.571
173	800	16.01	77.6	1.316
173	900	15.63	90.7	1.668
173	1000	14.82	96.4	1.488
173	1100	14.57	97.5	2.441
173	1200	14.38	98	2.271
173	1300	14.57	98.9	2.482
173	1400	15.16	95.8	2.768
173	1500	15.28	94.9	2.656
173	1600	15.77	92.6	2.768
173	1700	15.85	91.6	2.666
173	1800	16.24	88.2	2.333
173	1900	16.5	86.8	2.233
173	2000	16.39	87	2.015
173	2100	15.41	94.6	2.238
173	2200	15.55	97	1.771
173	2300	15.79	95.6	1.689
174	0	16	94.8	1.074
174	100	15.77	100.8	0.681
174	200	16.24	102.2	0.705
174	300	16.91	102.3	0.775
174	400	17.72	100.3	1.206
174	500	17.51	98.8	1.104
174	600	17.24	99.4	0.901
174	700	17.27	100.8	1.283
174	800	17.49	100.5	0.911
174	900	17.87	99.7	0.887
174	1000	18.06	99.7	1.186
174	1100	18.69	98.3	0.582
174	1200	19.07	96.8	0.543
174	1300	19.25	96.6	0.563
174	1400	19.22	97.3	0.69
174	1500	18.83	99.1	0.659
174	1600	18.74	98.4	0.512
174	1700	18.67	99	0.512
174	1800	19.39	97.7	0.562
174	1900	19.09	97.8	0.524
174	2000	18.33	99.9	0.555
174	2100	17.78	101.1	0.598
174	2200	17.36	101.7	0.884
174	2300	17.11	101.9	0.749
175	0	16.74	101.8	0.763
175	100	16.48	101.8	0.49
175	200	16.25	102	0.593
175	300	16.11	101.1	0.519
175	400	16.21	100.6	0.588
175	500	16.35	101.3	0.653
175	600	16.45	101.5	0.635
175	700	17.35	99.4	0.615
175	800	18.8	93.6	0.742
175	900	19.71	88.2	1.179
175	1000	20.84	81.5	0.829
175	1100	21.14	80.4	0.923
175	1200	21.55	77.5	1.001
175	1300	22.31	75.4	1.189
175	1400	23.98	67.5	1.326
175	1500	24.69	62.16	1.23
175	1600	25.26	55.86	1.306
175	1700	25.38	54.21	1.227
175	1800	24.42	64.92	1.01
175	1900	23.94	67.7	0.716
175	2000	22.25	74.5	0.569
175	2100	20.84	79	0.655
175	2200	19.75	84	0.766
175	2300	19.1	88.9	0.77
176	0	18.82	90	0.866
176	100	18.24	92.4	0.632
176	200	17.41	97.1	1.006
176	300	16.72	99.7	1.06
176	400	16.25	100.5	0.843
176	500	15.8	101.1	0.685
176	600	16.54	99.4	0.763
176	700	17.57	95.6	0.904
176	800	18.01	94.9	1.702
176	900	18.37	94.5	1.623
176	1000	19.88	89	1.985
176	1100	21.83	85.1	1.939
176	1200	23.9	80	2.042
176	1300	25.23	71.7	2.137
176	1400	26.6	60.02	2.232
176	1500	27.38	57.99	2.426
176	1600	27.9	56.63	2.36
176	1700	28.28	56.87	2.23
176	1800	28.19	56.27	2.062
176	1900	27.98	59.2	1.6
176	2000	26.35	61.65	1.163
176	2100	24.68	70.6	1.408
176	2200	22.01	84.1	0.943
176	2300	20.82	91	0.835
177	0	19.99	94.8	0.891
177	100	18.85	99.4	1.088
177	200	18.06	100.9	0.885
177	300	17.44	101.9	0.74
177	400	16.8	101	0.788
177	500	16.42	102	0.956
177	600	17.08	101.5	0.972
177	700	19.02	90.7	0.748
177	800	21.33	84.4	0.862
177	900	21.88	84.1	1.674
177	1000	23.35	81.4	1.713
177	1100	25.06	78.3	1.636
177	1200	26.54	74.6	1.912
177	1300	28.3	70.2	1.699
177	1400	29.38	64.32	1.955
177	1500	29.9	61.54	2.147
177	1600	30.15	55.94	2.17
