"date","t2","plot","rep","water","ph"
"12-05-2004","decanted",12,3,0.1823,6.59
"12-05-2004","decanted",12,3,0.1823,6.59
"12-05-2004","decanted",12,3,0.1823,6.59
"13-05-2004","decanted",12,3,NA,NA
"13-05-2004","decanted",12,3,NA,NA
"13-05-2004","decanted",12,3,NA,NA
"14-05-2004","decanted",12,3,0.5265,7.4
"14-05-2004","decanted",12,3,0.5265,7.4
"14-05-2004","decanted",12,3,0.5265,7.4
"15-05-2004","decanted",12,3,NA,NA
"16-05-2004","decanted",12,3,NA,NA
"17-05-2004","decanted",12,3,0.1531,7.13
"18-05-2004","decanted",12,3,NA,NA
"18-05-2004","decanted",12,3,NA,NA
"19-05-2004","decanted",12,3,NA,NA
"11-05-2004","digested",2,1,0.3502,7.93
"11-05-2004","digested",2,1,0.3502,7.93
"11-05-2004","digested",2,1,0.3502,7.93
"11-05-2004","digested",2,1,0.3502,7.93
"11-05-2004","digested",2,1,0.3502,7.93
"11-05-2004","digested",2,1,0.3502,7.93
"11-05-2004","digested",2,1,0.3502,7.93
"12-05-2004","digested",2,1,0.1885,7.76
"12-05-2004","digested",2,1,0.1885,7.76
"12-05-2004","digested",2,1,0.1885,7.76
"13-05-2004","digested",2,1,NA,NA
"13-05-2004","digested",2,1,NA,NA
"13-05-2004","digested",2,1,NA,NA
"14-05-2004","digested",2,1,0.5048,7.68
"14-05-2004","digested",2,1,0.5048,7.68
"14-05-2004","digested",2,1,0.5048,7.68
"15-05-2004","digested",2,1,NA,NA
"16-05-2004","digested",2,1,NA,NA
"17-05-2004","digested",2,1,0.1661,7.37
"18-05-2004","digested",2,1,NA,NA
"18-05-2004","digested",2,1,NA,NA
"19-05-2004","digested",2,1,NA,NA
"11-05-2004","digested",6,2,0.3466,7.98
"11-05-2004","digested",6,2,0.3466,7.98
"11-05-2004","digested",6,2,0.3466,7.98
"11-05-2004","digested",6,2,0.3466,7.98
"11-05-2004","digested",6,2,0.3466,7.98
"11-05-2004","digested",6,2,0.3466,7.98
"11-05-2004","digested",6,2,0.3466,7.98
"12-05-2004","digested",6,2,0.1915,7.64
"12-05-2004","digested",6,2,0.1915,7.64
"12-05-2004","digested",6,2,0.1915,7.64
"13-05-2004","digested",6,2,NA,NA
"13-05-2004","digested",6,2,NA,NA
"13-05-2004","digested",6,2,NA,NA
"14-05-2004","digested",6,2,0.5844,7.81
"14-05-2004","digested",6,2,0.5844,7.81
"14-05-2004","digested",6,2,0.5844,7.81
"15-05-2004","digested",6,2,NA,NA
"16-05-2004","digested",6,2,NA,NA
"17-05-2004","digested",6,2,0.1624,7.49
"18-05-2004","digested",6,2,NA,NA
"18-05-2004","digested",6,2,NA,NA
"19-05-2004","digested",6,2,NA,NA
"11-05-2004","digested",15,3,0.3347,7.61
"11-05-2004","digested",15,3,0.3347,7.61
"11-05-2004","digested",15,3,0.3347,7.61
"11-05-2004","digested",15,3,0.3347,7.61
"11-05-2004","digested",15,3,0.3347,7.61
"11-05-2004","digested",15,3,0.3347,7.61
"11-05-2004","digested",15,3,0.3347,7.61
"12-05-2004","digested",15,3,0.1988,7.36
"12-05-2004","digested",15,3,0.1988,7.36
"12-05-2004","digested",15,3,0.1988,7.36
"13-05-2004","digested",15,3,NA,NA
"13-05-2004","digested",15,3,NA,NA
"13-05-2004","digested",15,3,NA,NA
"14-05-2004","digested",15,3,0.6286,7.62
"14-05-2004","digested",15,3,0.6286,7.62
"14-05-2004","digested",15,3,0.6286,7.62
"15-05-2004","digested",15,3,NA,NA
"16-05-2004","digested",15,3,NA,NA
"17-05-2004","digested",15,3,0.1782,7.09
"18-05-2004","digested",15,3,NA,NA
"18-05-2004","digested",15,3,NA,NA
"19-05-2004","digested",15,3,NA,NA
"11-05-2004","filtered",4,1,0.3437,6.6
"11-05-2004","filtered",4,1,0.3437,6.6
"11-05-2004","filtered",4,1,0.3437,6.6
"11-05-2004","filtered",4,1,0.3437,6.6
"11-05-2004","filtered",4,1,0.3437,6.6
"11-05-2004","filtered",4,1,0.3437,6.6
"11-05-2004","filtered",4,1,0.3437,6.6
"12-05-2004","filtered",4,1,0.2105,6.48
"12-05-2004","filtered",4,1,0.2105,6.48
"12-05-2004","filtered",4,1,0.2105,6.48
"13-05-2004","filtered",4,1,NA,NA
"13-05-2004","filtered",4,1,NA,NA
"13-05-2004","filtered",4,1,NA,NA
"14-05-2004","filtered",4,1,0.5482,7.61
"14-05-2004","filtered",4,1,0.5482,7.61
"14-05-2004","filtered",4,1,0.5482,7.61
"15-05-2004","filtered",4,1,NA,NA
"16-05-2004","filtered",4,1,NA,NA
"17-05-2004","filtered",4,1,0.1632,7.31
"18-05-2004","filtered",4,1,NA,NA
"18-05-2004","filtered",4,1,NA,NA
"19-05-2004","filtered",4,1,NA,NA
"11-05-2004","filtered",10,2,0.3377,6.78
"11-05-2004","filtered",10,2,0.3377,6.78
"11-05-2004","filtered",10,2,0.3377,6.78
"11-05-2004","filtered",10,2,0.3377,6.78
"11-05-2004","filtered",10,2,0.3377,6.78
"11-05-2004","filtered",10,2,0.3377,6.78
"11-05-2004","filtered",10,2,0.3377,6.78
"12-05-2004","filtered",10,2,0.2053,6.58
"12-05-2004","filtered",10,2,0.2053,6.58
"12-05-2004","filtered",10,2,0.2053,6.58
"13-05-2004","filtered",10,2,NA,NA
"13-05-2004","filtered",10,2,NA,NA
"13-05-2004","filtered",10,2,NA,NA
"14-05-2004","filtered",10,2,0.5629,7.45
"14-05-2004","filtered",10,2,0.5629,7.45
"14-05-2004","filtered",10,2,0.5629,7.45
"15-05-2004","filtered",10,2,NA,NA
"16-05-2004","filtered",10,2,NA,NA
"17-05-2004","filtered",10,2,0.1867,7.28
"18-05-2004","filtered",10,2,NA,NA
"18-05-2004","filtered",10,2,NA,NA
"19-05-2004","filtered",10,2,NA,NA
"11-05-2004","filtered",13,3,0.3114,6.58
"11-05-2004","filtered",13,3,0.3114,6.58
"11-05-2004","filtered",13,3,0.3114,6.58
"11-05-2004","filtered",13,3,0.3114,6.58
"11-05-2004","filtered",13,3,0.3114,6.58
"11-05-2004","filtered",13,3,0.3114,6.58
"11-05-2004","filtered",13,3,0.3114,6.58
"12-05-2004","filtered",13,3,0.1643,6.54
"12-05-2004","filtered",13,3,0.1643,6.54
"12-05-2004","filtered",13,3,0.1643,6.54
"13-05-2004","filtered",13,3,NA,NA
"13-05-2004","filtered",13,3,NA,NA
"13-05-2004","filtered",13,3,NA,NA
"14-05-2004","filtered",13,3,0.5711,7.43
"14-05-2004","filtered",13,3,0.5711,7.43
"14-05-2004","filtered",13,3,0.5711,7.43
"15-05-2004","filtered",13,3,NA,NA
"16-05-2004","filtered",13,3,NA,NA
"17-05-2004","filtered",13,3,0.1594,7.15
"18-05-2004","filtered",13,3,NA,NA
"18-05-2004","filtered",13,3,NA,NA
"19-05-2004","filtered",13,3,NA,NA
"11-05-2004","digested + floculated",3,1,0.333,7.18
"11-05-2004","digested + floculated",3,1,0.333,7.18
"11-05-2004","digested + floculated",3,1,0.333,7.18
"11-05-2004","digested + floculated",3,1,0.333,7.18
"11-05-2004","digested + floculated",3,1,0.333,7.18
"11-05-2004","digested + floculated",3,1,0.333,7.18
"11-05-2004","digested + floculated",3,1,0.333,7.18
"12-05-2004","digested + floculated",3,1,0.1912,7.63
"12-05-2004","digested + floculated",3,1,0.1912,7.63
"12-05-2004","digested + floculated",3,1,0.1912,7.63
"13-05-2004","digested + floculated",3,1,NA,NA
"13-05-2004","digested + floculated",3,1,NA,NA
"13-05-2004","digested + floculated",3,1,NA,NA
"14-05-2004","digested + floculated",3,1,0.5533,7.81
"14-05-2004","digested + floculated",3,1,0.5533,7.81
"14-05-2004","digested + floculated",3,1,0.5533,7.81
"15-05-2004","digested + floculated",3,1,NA,NA
"16-05-2004","digested + floculated",3,1,NA,NA
"17-05-2004","digested + floculated",3,1,0.1497,7.34
"18-05-2004","digested + floculated",3,1,NA,NA
"18-05-2004","digested + floculated",3,1,NA,NA
"19-05-2004","digested + floculated",3,1,NA,NA
"11-05-2004","digested + floculated",9,2,0.3153,7.46
"11-05-2004","digested + floculated",9,2,0.3153,7.46
"11-05-2004","digested + floculated",9,2,0.3153,7.46
"11-05-2004","digested + floculated",9,2,0.3153,7.46
"11-05-2004","digested + floculated",9,2,0.3153,7.46
"11-05-2004","digested + floculated",9,2,0.3153,7.46
"11-05-2004","digested + floculated",9,2,0.3153,7.46
"12-05-2004","digested + floculated",9,2,0.1827,6.39
"12-05-2004","digested + floculated",9,2,0.1827,6.39
"12-05-2004","digested + floculated",9,2,0.1827,6.39
"13-05-2004","digested + floculated",9,2,NA,NA
"13-05-2004","digested + floculated",9,2,NA,NA
"13-05-2004","digested + floculated",9,2,NA,NA
"14-05-2004","digested + floculated",9,2,0.6873,7.58
"14-05-2004","digested + floculated",9,2,0.6873,7.58
"14-05-2004","digested + floculated",9,2,0.6873,7.58
"15-05-2004","digested + floculated",9,2,NA,NA
"16-05-2004","digested + floculated",9,2,NA,NA
"17-05-2004","digested + floculated",9,2,0.1797,7.22
"18-05-2004","digested + floculated",9,2,NA,NA
"18-05-2004","digested + floculated",9,2,NA,NA
"19-05-2004","digested + floculated",9,2,NA,NA
"11-05-2004","digested + floculated",11,3,0.3288,7.87
"11-05-2004","digested + floculated",11,3,0.3288,7.87
"11-05-2004","digested + floculated",11,3,0.3288,7.87
"11-05-2004","digested + floculated",11,3,0.3288,7.87
"11-05-2004","digested + floculated",11,3,0.3288,7.87
"11-05-2004","digested + floculated",11,3,0.3288,7.87
"11-05-2004","digested + floculated",11,3,0.3288,7.87
"12-05-2004","digested + floculated",11,3,0.1598,7.31
"12-05-2004","digested + floculated",11,3,0.1598,7.31
"12-05-2004","digested + floculated",11,3,0.1598,7.31
"13-05-2004","digested + floculated",11,3,NA,NA
"13-05-2004","digested + floculated",11,3,NA,NA
"13-05-2004","digested + floculated",11,3,NA,NA
"14-05-2004","digested + floculated",11,3,0.5168,7.76
"14-05-2004","digested + floculated",11,3,0.5168,7.76
"14-05-2004","digested + floculated",11,3,0.5168,7.76
"15-05-2004","digested + floculated",11,3,NA,NA
"16-05-2004","digested + floculated",11,3,NA,NA
"17-05-2004","digested + floculated",11,3,0.1639,7.23
"18-05-2004","digested + floculated",11,3,NA,NA
"18-05-2004","digested + floculated",11,3,NA,NA
"19-05-2004","digested + floculated",11,3,NA,NA
