site,month,year,t.start,t.end
Loam,may,2002,16-05-2002 00:41,16-05-2002 20:42
Loam,may,2002,16-05-2002 20:42,20-05-2002 10:37
Loam,may,2003,20-05-2003 08:47,20-05-2003 09:17
Loam,may,2003,20-05-2003 09:17,20-05-2003 09:47
Loam,may,2003,20-05-2003 09:47,20-05-2003 10:47
Loam,may,2003,20-05-2003 10:47,20-05-2003 11:47
Loam,may,2003,20-05-2003 11:47,20-05-2003 14:18
Loam,may,2003,20-05-2003 14:18,20-05-2003 16:36
Loam,may,2003,20-05-2003 16:36,20-05-2003 20:22
Loam,may,2003,20-05-2003 20:22,21-05-2003 06:28
Loam,may,2003,21-05-2003 06:28,21-05-2003 11:16
Loam,may,2003,21-05-2003 11:16,21-05-2003 19:22
Loam,may,2003,21-05-2003 19:22,22-05-2003 06:24
Loam,may,2003,22-05-2003 06:24,22-05-2003 11:52
Loam,may,2003,22-05-2003 11:52,22-05-2003 16:06
Loam,may,2003,22-05-2003 16:06,23-05-2003 08:32
Loam,may,2003,23-05-2003 08:32,23-05-2003 18:51
Loam,may,2003,23-05-2003 18:51,24-05-2003 07:25
Loam,may,2003,24-05-2003 07:25,24-05-2003 19:48
Loam,may,2003,24-05-2003 19:48,25-05-2003 06:37
Loam,may,2003,25-05-2003 06:37,25-05-2003 19:07
Loam,may,2003,25-05-2003 19:07,26-05-2003 06:46
Loam,may,2003,26-05-2003 06:46,26-05-2003 19:57
Loam,may,2003,26-05-2003 19:57,27-05-2003 06:23
Loam,may,2003,27-05-2003 06:23,28-05-2003 04:30
Loam,may,2003,28-05-2003 04:30,29-05-2003 21:47
SandyLoam,june,2001,19-06-2001 11:48,19-06-2001 12:18
SandyLoam,june,2001,19-06-2001 12:18,19-06-2001 12:47
SandyLoam,june,2001,19-06-2001 12:47,19-06-2001 13:17
SandyLoam,june,2001,19-06-2001 13:17,19-06-2001 13:48
SandyLoam,june,2001,19-06-2001 13:48,19-06-2001 14:32
SandyLoam,june,2001,19-06-2001 14:32,19-06-2001 16:26
SandyLoam,june,2001,19-06-2001 16:26,19-06-2001 19:34
SandyLoam,june,2001,19-06-2001 19:34,20-06-2001 01:48
SandyLoam,june,2001,20-06-2001 01:48,20-06-2001 09:39
SandyLoam,june,2001,20-06-2001 09:39,20-06-2001 15:05
SandyLoam,june,2001,20-06-2001 15:05,21-06-2001 00:11
SandyLoam,june,2001,21-06-2001 00:11,21-06-2001 10:03
SandyLoam,june,2001,21-06-2001 10:03,21-06-2001 15:32
SandyLoam,june,2001,21-06-2001 15:32,22-06-2001 01:37
SandyLoam,june,2001,22-06-2001 01:37,25-06-2001 11:26
SandyLoam,june,2001,25-06-2001 11:26,27-06-2001 08:04
SandyLoam,june,2002,25-06-2002 08:59,25-06-2002 09:29
SandyLoam,june,2002,25-06-2002 09:29,25-06-2002 09:59
SandyLoam,june,2002,25-06-2002 09:59,25-06-2002 10:28
SandyLoam,june,2002,25-06-2002 10:28,25-06-2002 10:58
SandyLoam,june,2002,25-06-2002 10:58,25-06-2002 11:35
SandyLoam,june,2002,25-06-2002 11:35,25-06-2002 12:35
SandyLoam,june,2002,25-06-2002 12:35,25-06-2002 13:46
SandyLoam,june,2002,25-06-2002 13:46,25-06-2002 16:04
SandyLoam,june,2002,25-06-2002 16:04,25-06-2002 19:15
SandyLoam,june,2002,25-06-2002 19:15,26-06-2002 01:10
SandyLoam,june,2002,26-06-2002 01:10,26-06-2002 08:59
SandyLoam,june,2002,26-06-2002 08:59,26-06-2002 14:47
SandyLoam,june,2002,26-06-2002 14:46,27-06-2002 01:02
SandyLoam,june,2002,27-06-2002 01:02,27-06-2002 21:20
SandyLoam,june,2002,27-06-2002 21:20,28-06-2002 19:40
SandyLoam,june,2002,28-06-2002 19:40,30-06-2002 08:07
SandyLoam,june,2002,30-06-2002 08:07,02-07-2002 00:12
