"V1" "V2" "V3" "V4" "V5" "V6"
"293" 12.1 2 14.2 0.1 12.1 0
"294" 12.1 2 14.2 0.1 12.1 0
"295" 11.2 2 14.1 0.1 11.3 0
"296" 11.2 2 14.1 0.1 11.3 0
"297" 10.8 2 13.9 0.1 10.9 0
"298" 10.8 2 13.9 0.1 10.9 0
"299" 10.6 2 13.8 0.1 10.6 0
"300" 10.6 2 13.8 0.1 10.6 0
"301" 10.3 2 13.7 0.1 10.3 2.3
"302" 10.3 2 13.7 0.1 10.3 2.3
"303" 10.1 2 13.6 0.1 10.1 5.7
"304" 10.1 2 13.6 0.1 10.1 5.7
"305" 9.9 2 13.5 0.1 10 19.7
"306" 9.9 2 13.5 0.1 10 19.7
"307" 9.8 2 13.3 0.1 9.9 40.5
"308" 9.8 2 13.3 0.1 9.9 40.5
"309" 9.8 2 13.2 0.1 9.8 50
"310" 9.8 2 13.2 0.1 9.8 50
"311" 9.9 2 13.2 0.1 10 67.3
"312" 9.9 2 13.2 0.1 10 67.3
"313" 10.3 2 13.1 0.1 10.3 78.5
"314" 10.3 2 13.1 0.1 10.3 78.5
"315" 10.3 2 13 0.1 10.4 74.4
"316" 10.3 2 13 0.1 10.4 74.4
"317" 10.3 2 13 0.1 10.4 83.5
"318" 10.3 2 13 0.1 10.4 83.5
"319" 10.2 2 12.9 0.1 10.3 94.5
"320" 10.2 2 12.9 0.1 10.3 94.5
"321" 11 2 12.9 0.1 11.3 160.5
"322" 11 2 12.9 0.1 11.3 160.5
"323" 11.5 2 12.8 0.1 12.1 310.6
"324" 11.5 2 12.8 0.1 12.1 310.6
"325" 11.6 2 12.9 0.1 12.1 215.1
"326" 11.6 2 12.9 0.1 12.1 215.1
"327" 11.8 2 12.9 0.1 12.4 284.8
"328" 11.8 2 12.9 0.1 12.4 284.8
"329" 11.4 2 13 0.1 11.9 208.9
"330" 11.4 2 13 0.1 11.9 208.9
"331" 10.7 2 12.9 0.1 10.8 95.3
"332" 10.7 2 12.9 0.1 10.8 95.3
"333" 9.6 2 12.9 0.1 9.2 13.5
"334" 9.6 2 12.9 0.1 9.2 13.5
"335" 8.4 2 12.7 0.1 7.3 0
"336" 8.4 2 12.7 0.1 7.3 0
"337" 7.8 2 12.6 0.1 6.6 0
"338" 8.3 2 12.4 0.1 7.7 0
"339" 8.3 2 12.4 0.1 7.7 0
"340" 8.5 2 12.2 0.1 8.2 0
"341" 8.5 2 12.2 0.1 8.2 0
"342" 8.7 2 12 0.1 8.6 0
"343" 8.7 2 12 0.1 8.6 0
"344" 8.7 2 11.9 0.1 8.4 0
"345" 8.7 2 11.9 0.1 8.4 0
"346" 7.9 2 11.8 0.1 7.2 0
"347" 7.9 2 11.8 0.1 7.2 0
"348" 7.3 2 11.7 0.1 6.6 9.9
"349" 7.3 2 11.7 0.1 6.6 9.9
"350" 7.5 2 11.6 0.1 7.6 125.1
"351" 7.5 2 11.6 0.1 7.6 125.1
"352" 8.7 2 11.5 0.1 9.4 270.9
"353" 8.7 2 11.5 0.1 9.4 270.9
"354" 10.7 2 11.4 0.1 12.2 421.5
"355" 10.7 2 11.4 0.1 12.2 421.5
"356" 12.2 2 11.5 0.1 14 539.2
"357" 12.2 2 11.5 0.1 14 539.2
"358" 13.6 2 11.6 0.1 15.8 623.3
"359" 13.6 2 11.6 0.1 15.8 623.3
"360" 15 2 11.9 0.1 17.2 670.4
"361" 15 2 11.9 0.1 17.2 670.4
"362" 16 2 12.3 0.1 17.6 587.4
"363" 16 2 12.3 0.1 17.6 587.4
"364" 16.9 2 12.7 0.1 18.5 707.1
"365" 16.9 2 12.7 0.1 18.5 707.1
"366" 17.4 2 13.1 0.1 19.2 748.3
"367" 17.4 2 13.1 0.1 19.2 748.3
"368" 17.1 2 13.5 0.1 18.3 551
"369" 17.1 2 13.5 0.1 18.3 551
"370" 17.1 2 13.8 0.1 18.4 552.8
"371" 17.1 2 13.8 0.1 18.4 552.8
"372" 17 2 14 0.1 18.5 526.7
"373" 17 2 14 0.1 18.5 526.7
"374" 16.4 2 14.1 0.1 17.4 373.9
"375" 16.4 2 14.1 0.1 17.4 373.9
"376" 15.6 2 14.2 0.1 16.1 241.9
"377" 15.6 2 14.2 0.1 16.1 241.9
"378" 14.4 2 14.1 0.1 14.4 106
"379" 14.4 2 14.1 0.1 14.4 106
"380" 12.4 2 14 0.1 11.6 13.9
"381" 12.4 2 14 0.1 11.6 13.9
"382" 10.4 2 13.8 0.1 9.1 0
"383" 10.4 2 13.8 0.1 9.1 0
"384" 9.1 2 13.6 0.1 8.1 0
"385" 9.1 2 13.6 0.1 8.1 0
"386" 8.5 2 13.3 0.1 7.7 0
"387" 8.5 2 13.3 0.1 7.7 0
"388" 7.6 2 13 0.1 7 0
"389" 7.6 2 13 0.1 7 0
"390" 7.6 2 12.8 0.1 7.1 0
"391" 7.6 2 12.8 0.1 7.1 0
"392" 7.9 2 12.6 0.1 7.6 0
"393" 7.9 2 12.6 0.1 7.6 0
"394" 8.6 2 12.4 0.1 8.3 0
"395" 8.6 2 12.4 0.1 8.3 0
"396" 9.4 2 12.3 0.1 9.1 3.7
"397" 9.4 2 12.3 0.1 9.1 3.7
"398" 9.9 2 12.1 0.1 9.6 18.3
"399" 9.9 2 12.1 0.1 9.6 18.3
"400" 10 2 12 0.1 9.8 38
"401" 10 2 12 0.1 9.8 38
"402" 9.9 2 12 0.1 9.9 51.7
"403" 9.7 2 11.9 0.1 9.8 80.7
"404" 10 2 11.8 0.1 10.1 166.7
"405" 10.5 2 11.9 0.1 10.7 351.7
"406" 10.9 2 12 0.1 11.3 353.8
"407" 11.4 2 12.1 0.1 12.3 352.9
"408" 11.4 2 12.1 0.1 12.3 352.9
"409" 11.2 2 12.3 0.1 11.8 276.2
"410" 11.2 2 12.3 0.1 11.8 276.2
"411" 11.7 2 12.4 0.1 12.5 260.7
"412" 11.7 2 12.4 0.1 12.5 260.7
"413" 11.4 2 12.6 0.1 11.8 143.5
"414" 11.4 2 12.6 0.1 11.8 143.5
"415" 11.1 2 12.6 0.1 11.5 144.2
"416" 11.1 2 12.6 0.1 11.5 144.2
"417" 11.2 2 12.6 0.1 11.7 173.3
"418" 11.2 2 12.6 0.1 11.7 173.3
"419" 11.4 2 12.6 0.1 12.1 206.7
"420" 11.4 2 12.6 0.1 12.1 206.7
"421" 10.7 2 12.6 0.1 10.8 79.5
"422" 10.7 2 12.6 0.1 10.8 79.5
"423" 10.2 2 12.6 0.1 10 5.9
"424" 10.2 2 12.6 0.1 10 5.9
"425" 9.8 2 12.5 0.1 9.6 0
"426" 9.8 2 12.5 0.1 9.6 0
"427" 9.7 2 12.4 0.1 9.4 0
"428" 9.7 2 12.4 0.1 9.4 0
"429" 9.4 2 12.3 0.1 9 0
"430" 9.4 2 12.3 0.1 9 0
"431" 9.9 2 12.1 0.1 9.6 0
"432" 9.9 2 12.1 0.1 9.6 0
"433" 9.9 2 12 0.1 9.8 0
"434" 9.9 2 12 0.1 9.8 0
"435" 9.9 2 11.9 0.1 9.8 0
"436" 9.9 2 11.9 0.1 9.8 0
"437" 9.7 2 11.9 0.1 9.6 0
"438" 9.7 2 11.9 0.1 9.6 0
"439" 9.5 2 11.8 0.1 9.5 5
"440" 9.5 2 11.8 0.1 9.5 5
"441" 9.5 2 11.7 0.1 9.5 31.3
"442" 9.5 2 11.7 0.1 9.5 31.3
"443" 10 2 11.7 0.1 10.2 85.7
"444" 10 2 11.7 0.1 10.2 85.7
"445" 10.9 2 11.6 0.1 11.5 234.2
"446" 10.9 2 11.6 0.1 11.5 234.2
"447" 12.3 2 11.6 0.1 13.9 494.8
"448" 12.3 2 11.6 0.1 13.9 494.8
"449" 13.1 2 11.8 0.1 15 622.6
"450" 13.1 2 11.8 0.1 15 622.6
"451" 13.8 2 12 0.1 15.9 735.1
"452" 13.8 2 12 0.1 15.9 735.1
"453" 14 2 12.4 0.1 16.4 786
"454" 14 2 12.4 0.1 16.4 786
"455" 13.3 2 12.9 0.1 15.1 488.1
"456" 13.3 2 12.9 0.1 15.1 488.1
"457" 12.8 2 13.3 0.1 14.5 510
"458" 12.8 2 13.3 0.1 14.5 510
"459" 11.8 2 13.6 0.1 12.9 274.9
"460" 11.8 2 13.6 0.1 12.9 274.9
"461" 11.3 2 13.7 0.1 12.1 209.6
"462" 11.3 2 13.7 0.1 12.1 209.6
"463" 11.3 2 13.7 0.1 12 157.6
"464" 11.3 2 13.7 0.1 12 157.6
"465" 10.5 2 13.7 0.1 10.8 87.3
"466" 10.5 2 13.7 0.1 10.8 87.3
"467" 10.4 2 13.6 0.1 10.5 37.4
"468" 10.4 2 13.6 0.1 10.5 37.4
"469" 10.2 2 13.5 0.1 10.1 39.1
"470" 10.2 2 13.5 0.1 10.1 39.1
"471" 9.8 2 13.3 0.1 9.6 7.1
"472" 9.8 2 13.3 0.1 9.6 7.1
"473" 9.5 2 13.1 0.1 9.3 0
"474" 9.5 2 13.1 0.1 9.3 0
"475" 9 2 13 0.1 8.8 0
"476" 9 2 13 0.1 8.8 0
"477" 9.2 2 12.8 0.1 9 0
"478" 9.2 2 12.8 0.1 9 0
"479" 9.3 2 12.6 0.1 9.2 0
"480" 9.3 2 12.6 0.1 9.2 0
"481" 8.7 2 12.4 0.1 8.7 0
"482" 8.7 2 12.4 0.1 8.7 0
"483" 8.6 2 12.3 0.1 8.5 0
"484" 8.6 2 12.3 0.1 8.5 0
"485" 8.6 2 12.2 0.1 8.3 0
"486" 8.6 2 12.2 0.1 8.3 0
"487" 8.7 2 12.1 0.1 8.6 3
"488" 8.7 2 12.1 0.1 8.6 3
"489" 9.2 2 12 0.1 9.1 18.3
"490" 9.2 2 12 0.1 9.1 18.3
"491" 9 2 11.9 0.1 9.1 60
"492" 9 2 11.9 0.1 9.1 60
"493" 9.2 2 11.8 0.1 9.5 196
"494" 9.7 2 11.8 0.1 9.7 262.5
"495" 9.7 2 11.8 0.1 9.7 262.5
"496" 10.5 2 11.9 0.1 10.6 369.8
"497" 10.5 2 11.9 0.1 10.6 369.8
"498" 11.2 2 12.1 0.1 12.6 588.6
"499" 11.2 2 12.1 0.1 12.6 588.6
"500" 11.8 2 12.3 0.1 13.7 625.5
"501" 11.8 2 12.3 0.1 13.7 625.5
"502" 12.1 2 12.6 0.1 14 572.4
"503" 12.1 2 12.6 0.1 14 572.4
"504" 11.9 2 12.9 0.1 13.3 378.9
"505" 11.9 2 12.9 0.1 13.3 378.9
"506" 12.2 2 13.2 0.1 14.3 529.1
"507" 12.2 2 13.2 0.1 14.3 529.1
"508" 11.8 2 13.4 0.1 12.9 250.8
"509" 11.8 2 13.4 0.1 12.9 250.8
"510" 11.5 2 13.6 0.1 12.4 193.8
"511" 11.5 2 13.6 0.1 12.4 193.8
"512" 11.3 2 13.6 0.1 12.1 159.6
"513" 11.3 2 13.6 0.1 12.1 159.6
"514" 11.1 2 13.6 0.1 11.7 95
"515" 11.1 2 13.6 0.1 11.7 95
"516" 10.4 2 13.6 0.1 10.6 35.3
"517" 10.4 2 13.6 0.1 10.6 35.3
"518" 9.6 2 13.5 0.1 9.6 1.4
"519" 9.6 2 13.5 0.1 9.6 1.4
"520" 9 2 13.4 0.1 9 0
"521" 9 2 13.4 0.1 9 0
"522" 8.9 2 13.2 0.1 8.9 0
"523" 8.9 2 13.2 0.1 8.9 0
"524" 8.4 2 13.1 0.1 8.3 0
"525" 8.4 2 13.1 0.1 8.3 0
"526" 8.1 2 12.9 0.1 8.1 0
"527" 8.1 2 12.9 0.1 8.1 0
"528" 8.1 2 12.8 0.1 8.1 0
"529" 8.1 2 12.8 0.1 8.1 0
"530" 8.1 2 12.7 0.1 8.1 0
"531" 8.1 2 12.7 0.1 8.1 0
"532" 8 2 12.6 0.1 8.1 0
"533" 8 2 12.6 0.1 8.1 0
"534" 7.7 2 12.5 0.1 7.8 2.1
"535" 7.7 2 12.5 0.1 7.8 2.1
"536" 7.6 2 12.4 0.1 7.7 26.5
"537" 7.6 2 12.4 0.1 7.7 26.5
"538" 8.1 2 12.3 0.1 8.4 58.1
"539" 8.1 2 12.3 0.1 8.4 58.1
"540" 8.5 2 12.2 0.1 8.9 71.2
"541" 8.5 2 12.2 0.1 8.9 71.2
"542" 9 2 12.2 0.1 9.5 101.3
"543" 9 2 12.2 0.1 9.5 101.3
"544" 10.2 2 12.2 0.1 10.7 226.7
"545" 10.2 2 12.2 0.1 10.7 226.7
"546" 11.8 2 12.2 0.1 11.6 384.2
"547" 11.8 2 12.2 0.1 11.6 384.2
"548" 12.6 2 12.3 0.1 13 387
"549" 13 2 12.6 0.1 13.8 399.6
"550" 14.6 2 14.1 0.1 14.9 71.3
"551" 14.6 2 14.1 0.1 14.9 71.3
"552" 14.7 2 14.1 0.1 14.8 21
"553" 15 2 14.1 0.1 15.3 112.3
"554" 15.4 2 14.1 0.1 16 196
"555" 15.6 2 14.2 0.1 16.1 158.7
"556" 15.4 2 14.3 0.1 15.7 83.5
"557" 15.2 2 14.4 0.1 15.5 55.1
"558" 14.6 2 14.4 0.1 14.8 16.3
"559" 14.6 2 14.4 0.1 14.8 16.3
"560" 14.2 2 14.4 0.1 14.3 1.2
"561" 14.2 2 14.4 0.1 14.3 1.2
"562" 13.7 2 14.4 0.1 13.8 0
"563" 13.7 2 14.4 0.1 13.8 0
"564" 13.3 2 14.3 0.1 13.3 0
"565" 13.3 2 14.3 0.1 13.3 0
