"cpmid","pub.id","proj","exper","field","plot","rep","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.start","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","institute","sub.period","file","treat","meas.tech","meas.tech.det","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","rep2","acid","meas.tech.orig","meas.tech2","crop.orig","app.method.orig","incorp.orig","man.source.orig","date.start","flag.int","soil.samp.z"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:10 AD.T:AD.R:3.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","10 AD","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.05","76.99","2.72",1.22,NA,NA,NA,"7.66",NA,NA,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-04-19 16.32.44 UTC","2022-04-25 11.08.26 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:10 AD.T:AD.R:3.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",36.6,NA,5.16,6.86,9.3,12.2,14.7,16.1,16.9,NA,17.8,17.8,NA,5.16,6.86,9.3,12.2,14.7,16.1,16.9,NA,17.8,17.8,NA,0.141,0.188,0.254,0.332,0.403,0.441,0.462,NA,0.486,0.486,NA,0,0,0,0,0,0,0,NA,0,0,NA,15.5,13.7,10.5,10.4,10.3,10.6,10.6,9.9,9.9,NA,8.25,8.3,8.18,7.85,7.96,8.08,8.2,8.32,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,123,62.3,235,251,261,264,241,241,NA,0,0,0,0,0,0,0,0,0,NA,46.3,55.8,71,71.1,70.6,68.3,67.9,68.7,68.7,617,697,81,1.73,0.035,1.28,0.4,1.73,1.73,139,2022-04-19 16:32:00,2022-04-25 09:24:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:12 AD-L.T:AD-L.R:3.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","12 AD-L","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"4.22","70.62","2.11",1.31,NA,NA,NA,"7.77",NA,NA,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-04-19 16.48.44 UTC","2022-04-25 11.24.27 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:12 AD-L.T:AD-L.R:3.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",39.3,NA,2.16,2.69,3.5,4.82,6.2,7.07,7.6,NA,8.2,8.2,NA,2.16,2.69,3.5,4.82,6.2,7.07,7.6,NA,8.2,8.2,NA,0.0549,0.0685,0.0891,0.123,0.158,0.18,0.194,NA,0.209,0.209,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.6,13.2,10.3,10.4,10.3,10.6,10.6,9.88,9.88,NA,8.3,8.33,8.18,7.86,7.96,8.08,8.2,8.32,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,90.9,46,238,256,262,264,245,245,NA,0,0,0,0,0,0,0,0,0,NA,49.7,58,71.8,71.5,70.9,69,68.4,69.1,69.1,698,777,80,1.73,0.0169,0.665,1.73,1.73,1.73,139,2022-04-19 16:48:00,2022-04-25 09:40:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:2 AD-F.T:AD-F.R:2.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","2 AD-F","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"21.98","88.58","3.9",0.43,NA,NA,NA,"8.02",NA,NA,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-04-19 15.28.46 UTC","2022-04-25 10.04.28 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:2 AD-F.T:AD-F.R:2.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",4.3,NA,0.124,0.146,0.128,0.168,0.143,0.159,0.155,NA,0.178,0.178,NA,0.124,0.146,0.128,0.168,0.143,0.159,0.155,NA,0.178,0.178,NA,0.0288,0.034,0.0298,0.0391,0.0333,0.037,0.036,NA,0.0414,0.0414,NA,0,0,0,0,0,0,0,NA,0,0,NA,16.2,15.2,11.6,10.6,10.4,10.7,10.8,10.1,10.1,NA,7.95,8.1,8.13,7.81,7.94,8.06,8.19,8.32,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,267,134,242,260,266,269,248,248,NA,0,0,0,0,0,0,0,0,0,NA,45.8,48.4,65.8,70,70.2,68,67.4,68.2,68.2,778,857,80,1.73,0.00953,0.041,1.73,1.73,1.73,139,2022-04-19 15:28:00,2022-04-25 08:20:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:4 AD-L.T:AD-L.R:3.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","4 AD-L","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"4.22","70.62","2.11",1.31,NA,NA,NA,"7.77",NA,NA,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-04-19 15.44.46 UTC","2022-04-25 10.20.28 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:4 AD-L.T:AD-L.R:3.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",39.3,NA,1.8,2.21,2.7,3.55,4.57,5.24,5.66,NA,6.15,6.15,NA,1.8,2.21,2.7,3.55,4.57,5.24,5.66,NA,6.15,6.15,NA,0.0457,0.0563,0.0688,0.0903,0.116,0.133,0.144,NA,0.156,0.156,NA,0,0,0,0,0,0,0,NA,0,0,NA,16.1,15.2,11.5,10.6,10.4,10.7,10.8,10,10,NA,8.1,8.2,8.17,7.84,7.94,8.07,8.19,8.33,8.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,226,113,237,258,264,266,245,245,NA,0,0,0,0,0,0,0,0,0,NA,45.8,48.4,66.6,70.5,70.2,68.2,67.7,68.4,68.4,858,937,80,1.73,0.0147,0.576,1.73,1.73,1.73,139,2022-04-19 15:44:00,2022-04-25 08:36:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:5 AD.T:AD.R:3.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","5 AD","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.05","76.99","2.72",1.22,NA,NA,NA,"7.66",NA,NA,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-04-19 15.52.46 UTC","2022-04-25 10.28.27 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:5 AD.T:AD.R:3.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",36.6,NA,4.05,5.45,7.37,9.45,11.5,12.6,13.3,NA,14,14,NA,4.05,5.45,7.37,9.45,11.5,12.6,13.3,NA,14,14,NA,0.111,0.149,0.201,0.258,0.315,0.345,0.364,NA,0.384,0.384,NA,0,0,0,0,0,0,0,NA,0,0,NA,15.6,14.9,11.3,10.5,10.3,10.6,10.7,9.95,9.95,NA,8.15,8.23,8.17,7.84,7.94,8.05,8.18,8.31,8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,176,88.6,225,252,261,266,244,244,NA,0,0,0,0,0,0,0,0,0,NA,46.3,48.7,66.8,70.6,70.4,68.5,67.7,68.5,68.5,938,1020,80,1.73,0.0274,1,1.73,1.73,1.73,139,2022-04-19 15:52:00,2022-04-25 08:44:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:6 AD-F.T:AD-F.R:2.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","6 AD-F","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"21.98","88.58","3.9",0.43,NA,NA,NA,"8.02",NA,NA,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-04-19 16.08.45 UTC","2022-04-25 10.44.27 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:6 AD-F.T:AD-F.R:2.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",4.3,NA,0.123,0.145,0.129,0.151,0.15,0.165,0.154,NA,0.186,0.186,NA,0.123,0.145,0.129,0.151,0.15,0.165,0.154,NA,0.186,0.186,NA,0.0286,0.0337,0.0299,0.0352,0.0349,0.0383,0.0358,NA,0.0433,0.0433,NA,0,0,0,0,0,0,0,NA,0,0,NA,15.6,13.9,10.8,10.4,10.3,10.6,10.7,9.93,9.93,NA,8.15,8.23,8.17,7.83,7.93,8.05,8.18,8.31,8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,172,86.5,235,257,266,269,251,251,NA,0,0,0,0,0,0,0,0,0,NA,46.3,55.7,70.4,71.8,71.2,68.8,68.1,68.9,68.9,1020,1100,80,1.73,0.00862,0.0371,1.73,1.73,1.73,139,2022-04-19 16:08:00,2022-04-25 09:00:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:8 AD.T:AD.R:3.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","8 AD","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.05","76.99","2.72",1.22,NA,NA,NA,"7.66",NA,NA,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-04-19 16.16.44 UTC","2022-04-25 10.52.27 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:8 AD.T:AD.R:3.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",36.6,NA,4.5,6.3,9.08,12.1,14.7,16.1,16.9,NA,17.8,17.8,NA,4.5,6.3,9.08,12.1,14.7,16.1,16.9,NA,17.8,17.8,NA,0.123,0.172,0.248,0.331,0.401,0.44,0.462,NA,0.486,0.486,NA,0,0,0,0,0,0,0,NA,0,0,NA,15.7,13.9,10.8,10.5,10.3,10.6,10.7,9.93,9.93,NA,8.15,8.23,8.17,7.84,7.94,8.07,8.19,8.32,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,172,86.5,242,256,260,265,245,245,NA,0,0,0,0,0,0,0,0,0,NA,46.3,55.7,70.4,71.1,70.7,68.6,68,68.8,68.8,1100,1180,80,1.73,0.0292,1.07,1.73,1.73,1.73,139,2022-04-19 16:16:00,2022-04-25 09:08:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:9 AD-F.T:AD-F.R:2.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","9 AD-F","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"21.98","88.58","3.9",0.43,NA,NA,NA,"8.02",NA,NA,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-04-19 16.24.45 UTC","2022-04-25 11.00.28 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:9 AD-F.T:AD-F.R:2.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",4.3,NA,0.0629,0.0699,0.0552,0.0865,0.0315,-0.00788,-0.0658,NA,-0.0955,-0.0955,NA,0.0629,0.0699,0.0552,0.0865,0.0315,-0.00788,-0.0658,NA,-0.0955,-0.0955,NA,0.0146,0.0162,0.0128,0.0201,0.00732,-0.00183,-0.0153,NA,-0.0222,-0.0222,NA,0,0,0,0,0,0,0,NA,0,0,NA,15.6,13.9,10.6,10.4,10.3,10.7,10.7,9.94,9.94,NA,8.15,8.23,8.15,7.82,7.93,8.06,8.18,8.31,8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,172,86.6,246,263,268,270,250,250,NA,0,0,0,0,0,0,0,0,0,NA,46.3,55.7,71,71.2,70.6,68.3,67.8,68.6,68.6,1180,1260,80,1.73,0.00493,0.0212,1.73,1.73,1.73,139,2022-04-19 16:24:00,2022-04-25 09:16:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:1 AD-F.T:AD-F.R:1.R2:.T:2022-09-14 14:48:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","1 AD-F","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"52.76","88.41","13.28",1.33,NA,NA,NA,"6.6",2022-09-14 14:48:00,2022-09-20 08:28:00,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-09-14 14:48:07 UTC","2022-09-20 08:28:08 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:1 AD-F.T:AD-F.R:1.R2:.T:2022-09-14 14:48:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",13.3,NA,-0.0163,-0.0287,-0.0664,-0.127,-0.2,-0.258,-0.275,NA,-0.313,-0.313,NA,-0.0163,-0.0287,-0.0664,-0.127,-0.2,-0.258,-0.275,NA,-0.313,-0.313,NA,-0.00122,-0.00216,-0.00499,-0.00956,-0.015,-0.0194,-0.0207,NA,-0.0235,-0.0235,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.7,14.3,12.9,12.2,12.2,12.4,12.2,11.6,11.6,NA,14.8,14.9,14.8,14.4,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,119,59.3,110,123,142,147,141,141,NA,0,0,0,0,0,0,0,0,0,NA,72.6,76.3,85.3,82.8,81,80.8,80.7,81.4,81.4,1260,1330,75,1.73,-0.000215,-0.00286,1.6,3.2,1.73,138,2022-09-14 14:48:00,2022-09-20 06:52:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:10 AD-F.T:AD-F.R:3.R2:.T:2022-09-14 16:00:00.M:Wind tunnelNA",NA,"STABIL26","3","Foulumgård","10 AD-F","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.18",NA,NA,"5.61","1.06","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"52.76","88.41","13.28",1.33,NA,NA,NA,"6.6",2022-09-14 16:00:00,2022-09-20 09:32:00,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-09-14 16:00:06 UTC","2022-09-20 09:32:06 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:3.F:Foulumgård.P:10 AD-F.T:AD-F.R:3.R2:.T:2022-09-14 16:00:00","D:1.I:AU.Pr:STABIL26.E:3","","Dela Pierre, Flavia",13.3,NA,0.00609,0.0107,0.0262,0.0547,0.0992,0.135,0.159,NA,0.179,0.179,NA,0.00609,0.0107,0.0262,0.0547,0.0992,0.135,0.159,NA,0.179,0.179,NA,0.000458,0.000804,0.00197,0.00412,0.00746,0.0102,0.012,NA,0.0134,0.0134,NA,0,0,0,0,0,0,0,NA,0,0,NA,14.2,13.6,12.3,12.2,12.5,12.5,12.2,11.5,11.5,NA,14.9,14.8,14.7,14.3,14,13.9,13.9,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,80.4,40.2,128,149,158,149,141,141,NA,0,0,0,0,0,0,0,0,0,NA,78.3,82.9,88.6,81.7,79.7,79.8,80.6,81.8,81.8,1330,1420,84,1.73,8.92e-05,0.00119,1.6,1.73,1.73,138,2022-09-14 16:00:00,2022-09-20 07:56:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-09-14,"","0-5"
