"proj","pub.id","exper","field","plot","treat","rep","lat","long","long.dir","topo","interval","t.start","t.end","dt","meas.tech","plot.area","bg.dl","bg.val","bg.unit","j.NH3","j.NH3.unit","clay","silt","sand","oc","soil.type","soil.water","soil.moist","soil.ph","soil.dens","crop.res","till","air.temp","air.temp.z","soil.temp","soil.temp.z","rad","wind","wind.z","rain","rh","wind.loc","far.loc","man.source","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.tkn","man.tan","man.tic","man.ua","man.ph","app.start","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes","row.in.file","t.end.h","t.start.h"
"ALFAM2",NA,"B1","ECO field Foulum","3","E","1",NA,NA,"E","Flat",0,2014-04-01 13:39:00,2014-04-01 16:01:00,NA,"cps",81,NA,NA,NA,1.216,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6,100,NA,NA,NA,4.19,2,0,74.4,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"01-04-2014 13:39","Band spread or trailing hose",53,"t/ha","Shallow","02:22",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",21,2,0
"ALFAM2",NA,"B1","ECO field Foulum","11","E","1",NA,NA,"E","Flat",0,2014-04-01 13:43:00,2014-04-01 16:06:00,NA,"cps",81,NA,NA,NA,1.173,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.19,100,NA,NA,NA,4.19,2,0,73.1,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"01-04-2014 13:43","Band spread or trailing hose",53,"t/ha","Shallow","02:23",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",22,3,0
"ALFAM2",NA,"B1","ECO field Foulum","18","E","1",NA,NA,"E","Flat",0,2014-04-01 13:56:00,2014-04-01 16:17:00,NA,"cps",81,NA,NA,NA,0.854,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.13,100,NA,NA,NA,3.88,2,0,73.6,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"01-04-2014 13:56","Band spread or trailing hose",53,"t/ha","Shallow","02:21",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",23,3,0
"ALFAM2",NA,"B1","ECO field Foulum","32","E","1",NA,NA,"E","Flat",0,2014-04-01 14:57:00,2014-04-01 17:28:00,NA,"cps",81,NA,NA,NA,1.39,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",7.38,100,NA,NA,NA,3.48,2,0,64.1,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"01-04-2014 14:57","Band spread or trailing hose",53,"t/ha","Shallow","02:31",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",24,4,1
"ALFAM2",NA,"B1","ECO field Foulum","3","E","1",NA,NA,"E","Flat",1,2014-04-01 16:01:00,2014-04-02 08:56:00,NA,"cps",81,NA,NA,NA,0.039,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",8.37,100,NA,NA,NA,4.26,2,0,53.6,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",25,19,2
"ALFAM2",NA,"B1","ECO field Foulum","11","E","1",NA,NA,"E","Flat",1,2014-04-01 16:06:00,2014-04-02 09:03:00,NA,"cps",81,NA,NA,NA,0.046,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",8.37,100,NA,NA,NA,4.38,2,0,53.6,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",26,20,3
"ALFAM2",NA,"B1","ECO field Foulum","18","E","1",NA,NA,"E","Flat",1,2014-04-01 16:17:00,2014-04-02 09:15:00,NA,"cps",81,NA,NA,NA,0.039,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",8.35,100,NA,NA,NA,4.18,2,0,53.2,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",27,20,3
"ALFAM2",NA,"B1","ECO field Foulum","32","E","1",NA,NA,"E","Flat",1,2014-04-01 17:28:00,2014-04-02 09:23:00,NA,"cps",81,NA,NA,NA,0.056,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",7.26,100,NA,NA,NA,3.75,2,0,59.3,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",28,20,4
"ALFAM2",NA,"B1","ECO field Foulum","3","E","1",NA,NA,"E","Flat",2,2014-04-02 08:56:00,2014-04-02 13:46:00,NA,"cps",81,NA,NA,NA,0.018,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.03,100,NA,NA,NA,4.33,2,4.7,83.6,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",29,24,19
"ALFAM2",NA,"B1","ECO field Foulum","11","E","1",NA,NA,"E","Flat",2,2014-04-02 09:03:00,2014-04-02 13:52:00,NA,"cps",81,NA,NA,NA,0.054,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.15,100,NA,NA,NA,4.41,2,4.7,83.8,"Field",NA,"Cattle",NA,"Liquid","None","None",90,6.5,2.9,1.6,NA,NA,7.2,"","Band spread or trailing hose",53,"t/ha","Shallow","",30,NA,NA,NA,"Stubble",NA,NA,NA,"Surface applied, non acidified and incoporated (rotary cultivator) before sowing spring barley.",30,24,20
