project,experiment,plot_code,treatment_descrip
G2020-22,G2020-22,004,ShallowInjection Diluted dilution 1:0.5
G2020-27,G2020-27,001,ShallowInjection None reference
G2020-27,G2020-27,002,ShallowInjection Diluted dilution 1:0.5
G2020-28,G2020-28,003,ShallowInjection None reference
G2020-28,G2020-28,004,ShallowInjection Diluted dilution 1:0.5
G2021-12,G2021-12,001,ShallowInjection None reference
G2021-12,G2021-12,002,ShallowInjection Diluted dilution 1:0.5
G2021-13,G2021-13,003,ShallowInjection None reference
G2021-13,G2021-13,004,ShallowInjection Diluted dilution 1:0.5
G2021-23,G2021-23,001,ShallowInjection None reference
G2021-23,G2021-23,002,ShallowInjection Diluted dilution 1:0.5
G2021-29,G2021-29,003,ShallowInjection None reference
G2021-29,G2021-29,004,ShallowInjection Diluted dilution 1:0.5
G2021-45,G2021-45,001,ShallowInjection None 
