project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m,wind_z
B1990-37,B1990-37,10-Slootdorp,010,010,"",4,"","",3,IHF,IHF,"","","",0.00462319,kg N/ha-hr,"",14,10,"","","",297.6,3.7,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",5,"","",3.9,IHF,IHF,"","","",0.0320067,kg N/ha-hr,"",13.6,10,"","","",446.5,3.2,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",6,"","",12,IHF,IHF,"","","",0.011557975,kg N/ha-hr,"",9.5,10,"","","",458.7,2.2,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",7,"","",24.8,IHF,IHF,"","","",0.00055925685483871,kg N/ha-hr,"",12.9,10,"","","",1720.8,1.5,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",8,"","",24.1,IHF,IHF,"","","",0.00517950746887967,kg N/ha-hr,"",12.6,10,"","","",2467.1,0.5,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",9,"","",23.9,IHF,IHF,"","","",0.0116063347280335,kg N/ha-hr,"",12.4,10,"","","",3648.3,0.7,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",1,"","",0.5,IHF,IHF,"","","",5.1762282,kg N/ha-hr,"",13.4,10,"","","",13.4,3.6,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",2,"","",1,IHF,IHF,"","","",3.2632743,kg N/ha-hr,"",14.4,10,"","","",48.2,4.2,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",3,"","",1.5,IHF,IHF,"","","",2.1004984,kg N/ha-hr,"",14.3,10,"","","",142.4,4.5,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",4,"","",3,IHF,IHF,"","","",0.5251246,kg N/ha-hr,"",14,10,"","","",296.7,3.7,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",5,"","",4,IHF,IHF,"","","",0.196921725,kg N/ha-hr,"",13.6,10,"","","",446.9,3.2,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",6,"","",11.9,IHF,IHF,"","","",0.0661921764705882,kg N/ha-hr,"",9.5,10,"","","",458.7,2.2,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",7,"","",24.8,IHF,IHF,"","","",0.117971540322581,kg N/ha-hr,"",12.9,10,"","","",1720.6,1.5,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",8,"","",24.1,IHF,IHF,"","","",0.0140074730290456,kg N/ha-hr,"",12.6,10,"","","",2466.9,0.5,2
B1990-37,B1990-37,11-Slootdorp,011,011,"",9,"","",23.9,IHF,IHF,"","","",0.00470823012552301,kg N/ha-hr,"",12.4,10,"","","",3648.3,0.8,2
B1990-37,B1990-37,12-Slootdorp,012,012,"",1,"","",0.5,IHF,IHF,"","","",7.16821248,kg N/ha-hr,"",14.4,10,"","","",24.5,4.5,2
