project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m
G1990-11,G1990-11,19-Duiven,019,019,"",4,"","",2.6,IHF,IHF,"","","",1.25986692307692,kg N/ha-hr,"",10,10,"","","",803,3.2
G1990-11,G1990-11,19-Duiven,019,019,"",5,"","",2.8,IHF,IHF,"","","",0.2856675,kg N/ha-hr,"",11.4,10,"","","",1017,2.2
G1990-12,G1990-12,20-Duiven,020,020,"",1,"","",0.5,IHF,IHF,"","","",6.611527638,kg N/ha-hr,"",11,10,"","","",43,1.6
G1990-12,G1990-12,20-Duiven,020,020,"",2,"","",1.1,IHF,IHF,"","","",3.19074846727273,kg N/ha-hr,"",11.1,10,"","","",174,1.2
G1990-12,G1990-12,20-Duiven,020,020,"",3,"","",1.5,IHF,IHF,"","","",2.55754567066667,kg N/ha-hr,"",12.5,10,"","","",379,1.7
G1990-12,G1990-12,20-Duiven,020,020,"",4,"","",3.1,IHF,IHF,"","","",1.07954055419355,kg N/ha-hr,"",14.2,10,"","","",912,2.1
G1990-12,G1990-12,20-Duiven,020,020,"",5,"","",2.4,IHF,IHF,"","","",0.187054537083333,kg N/ha-hr,"",13.3,10,"","","",1170,2.4
G1990-12,G1990-12,20-Duiven,020,020,"",6,"","",15.2,IHF,IHF,"","","",0.15304462125,kg N/ha-hr,"",11.1,10,"","","",1198,2.6
G1990-12,G1990-12,20-Duiven,020,020,"",7,"","",23.6,IHF,IHF,"","","",0.100300429745763,kg N/ha-hr,"",12.4,10,"","","",1567,5.5
G1990-12,G1990-12,20-Duiven,020,020,"",8,"","",24,IHF,IHF,"","","",0.0136039663333333,kg N/ha-hr,"",7.6,10,"","","",2270,2.9
G1990-12,G1990-12,20-Duiven,020,020,"",9,"","",24.3,IHF,IHF,"","","",0.000167950201646091,kg N/ha-hr,"",9.4,10,"","","",3403,5
G1990-12,G1990-12,21-Duiven,021,021,"",1,"","",0.4,IHF,IHF,"","","",0.3622635,kg N/ha-hr,"",10.6,10,"","","",48,1.4
G1990-12,G1990-12,21-Duiven,021,021,"",2,"","",1.2,IHF,IHF,"","","",0.1207545,kg N/ha-hr,"",11.9,10,"","","",145,1.5
G1990-12,G1990-12,21-Duiven,021,021,"",3,"","",1.4,IHF,IHF,"","","",0.18113175,kg N/ha-hr,"",13.1,10,"","","",335,1.5
G1990-12,G1990-12,21-Duiven,021,021,"",4,"","",2.8,IHF,IHF,"","","",0.18113175,kg N/ha-hr,"",14.4,10,"","","",662,2.1
G1990-12,G1990-12,21-Duiven,021,021,"",5,"","",3,IHF,IHF,"","","",0.10867905,kg N/ha-hr,"",12.4,10,"","","",1085,2.4
G1990-12,G1990-12,21-Duiven,021,021,"",6,"","",15,IHF,IHF,"","","",0.11833941,kg N/ha-hr,"",11.1,10,"","","",1094,2.7
G1990-12,G1990-12,21-Duiven,021,021,"",7,"","",23.9,IHF,IHF,"","","",0.0757873430962343,kg N/ha-hr,"",12.4,10,"","","",1477,5.1
G1990-12,G1990-12,21-Duiven,021,021,"",8,"","",24,IHF,IHF,"","","",0.0150943125,kg N/ha-hr,"",7.6,10,"","","",2242,2.9
G1990-12,G1990-12,21-Duiven,021,021,"",9,"","",23.4,IHF,IHF,"","","",0.000154813461538462,kg N/ha-hr,"",9.4,10,"","","",3297,5.1
G1990-12,G1990-12,22-Duiven,022,022,"",1,"","",0.5,IHF,IHF,"","","",0.1738044,kg N/ha-hr,"",10.8,10,"","","",35,1.6
G1990-12,G1990-12,22-Duiven,022,022,"",2,"","",0.9,IHF,IHF,"","","",0.027588,kg N/ha-hr,"",10.9,10,"","","",285,1.2
G1990-12,G1990-12,22-Duiven,022,022,"",3,"","",1.7,IHF,IHF,"","","",0.0365135294117647,kg N/ha-hr,"",12.5,10,"","","",450,1.6
G1990-12,G1990-12,22-Duiven,022,022,"",4,"","",2.9,IHF,IHF,"","","",0.0813370344827586,kg N/ha-hr,"",14.3,10,"","","",940,2.2
G1990-12,G1990-12,22-Duiven,022,022,"",5,"","",3.1,IHF,IHF,"","","",0.0480565161290323,kg N/ha-hr,"",12.9,10,"","","",1262,2.4
G1990-12,G1990-12,22-Duiven,022,022,"",6,"","",14.5,IHF,IHF,"","","",0.0145550482758621,kg N/ha-hr,"",11,10,"","","",1276,2.6
G1990-12,G1990-12,22-Duiven,022,022,"",7,"","",24.1,IHF,IHF,"","","",0.0231807883817427,kg N/ha-hr,"",12.5,10,"","","",1649,5.4
G1990-12,G1990-12,22-Duiven,022,022,"",8,"","",24,IHF,IHF,"","","",5.17275e-05,kg N/ha-hr,"",7.6,10,"","","",2367,2.9
G1990-12,G1990-12,22-Duiven,022,022,"",9,"","",24,IHF,IHF,"","","",0.0066728475,kg N/ha-hr,"",9.4,10,"","","",3482,5
G1990-12,G1990-12,23-Duiven,023,023,"",1,"","",0.5,IHF,IHF,"","","",0.12962544,kg N/ha-hr,"",11,10,"","","",41,1.6
G1990-12,G1990-12,23-Duiven,023,023,"",2,"","",1.1,IHF,IHF,"","","",0.176761963636364,kg N/ha-hr,"",11.1,10,"","","",169,1.2
G1990-12,G1990-12,23-Duiven,023,023,"",3,"","",1.4,IHF,IHF,"","","",0.0462948,kg N/ha-hr,"",12.5,10,"","","",369,1.7
G1990-12,G1990-12,23-Duiven,023,023,"",4,"","",2.9,IHF,IHF,"","","",0.0670476413793104,kg N/ha-hr,"",14.3,10,"","","",864,2
G1990-12,G1990-12,23-Duiven,023,023,"",5,"","",2.8,IHF,IHF,"","","",0.115737,kg N/ha-hr,"",13.3,10,"","","",1173,2.3
G1990-12,G1990-12,23-Duiven,023,023,"",6,"","",15.5,IHF,IHF,"","","",0.0689941858064516,kg N/ha-hr,"",11.1,10,"","","",1202,2.7
G1990-12,G1990-12,23-Duiven,023,023,"",7,"","",23.9,IHF,IHF,"","","",0.104405427615063,kg N/ha-hr,"",12.4,10,"","","",1582,5.2
G1990-12,G1990-12,23-Duiven,023,023,"",8,"","",24.1,IHF,IHF,"","","",0.0282379070539419,kg N/ha-hr,"",7.6,10,"","","",2338,2.9
G1990-12,G1990-12,23-Duiven,023,023,"",9,"","",23.5,IHF,IHF,"","","",0.000137899404255319,kg N/ha-hr,"",9.4,10,"","","",3435,5
G1990-17,G1990-17,111-Zegveld,111,111,"",1,"","",0.5,IHF,IHF,"","","",5.6286252,kg N/ha-hr,"",10.4,10,"","","",63,4.3
G1990-17,G1990-17,111-Zegveld,111,111,"",2,"","",1.1,IHF,IHF,"","","",3.4302396,kg N/ha-hr,"",11.2,10,"","","",221,4
G1990-17,G1990-17,111-Zegveld,111,111,"",3,"","",1.5,IHF,IHF,"","","",1.61214944,kg N/ha-hr,"",13.1,10,"","","",542,4.1
G1990-17,G1990-17,111-Zegveld,111,111,"",4,"","",2.8,IHF,IHF,"","","",0.513723728571429,kg N/ha-hr,"",15.1,10,"","","",1165,4.1
G1990-17,G1990-17,111-Zegveld,111,111,"",5,"","",3.3,IHF,IHF,"","","",0.126344,kg N/ha-hr,"",16,10,"","","",1668,5.7
G1990-17,G1990-17,111-Zegveld,111,111,"",6,"","",13.3,IHF,IHF,"","","",0.0266462345864662,kg N/ha-hr,"",9.9,10,"","","",1851,2.3
G1990-17,G1990-17,111-Zegveld,111,111,"",7,"","",25,IHF,IHF,"","","",0.0175112784,kg N/ha-hr,"",11.1,10,"","","",3987,2.5
G1990-17,G1990-17,111-Zegveld,111,111,"",8,"","",24,IHF,IHF,"","","",0.009554765,kg N/ha-hr,"",12.1,10,"","","",5473,4.4
G1990-17,G1990-17,111-Zegveld,111,111,"",9,"","",24.3,IHF,IHF,"","","",0.011152587654321,kg N/ha-hr,"",7.3,10,"","","",7007,2.9
G1990-17,G1990-17,112-Zegveld,112,112,"",1,"","",0.5,IHF,IHF,"","","",0.4064808,kg N/ha-hr,"",10.5,10,"","","",59,4.2
G1990-17,G1990-17,112-Zegveld,112,112,"",2,"","",1,IHF,IHF,"","","",0.3726074,kg N/ha-hr,"",11.3,10,"","","",217,4.1
G1990-17,G1990-17,112-Zegveld,112,112,"",3,"","",1.4,IHF,IHF,"","","",0.266148142857143,kg N/ha-hr,"",13.1,10,"","","",405,4.1
G1990-17,G1990-17,112-Zegveld,112,112,"",4,"","",3,IHF,IHF,"","","",0.248404933333333,kg N/ha-hr,"",15.1,10,"","","",1165,4.7
G1990-17,G1990-17,112-Zegveld,112,112,"",5,"","",3.5,IHF,IHF,"","","",0.125815485714286,kg N/ha-hr,"",16.1,10,"","","",1695,5.7
G1990-17,G1990-17,112-Zegveld,112,112,"",6,"","",13.4,IHF,IHF,"","","",0.0176950597014925,kg N/ha-hr,"",10.1,10,"","","",1861,2.2
G1990-17,G1990-17,112-Zegveld,112,112,"",7,"","",24.7,IHF,IHF,"","","",0.00959974898785425,kg N/ha-hr,"",11.1,10,"","","",3990,2.5
G1990-17,G1990-17,112-Zegveld,112,112,"",8,"","",24.2,IHF,IHF,"","","",0.0111978181818182,kg N/ha-hr,"",12.1,10,"","","",5493,4.4
G1990-17,G1990-17,112-Zegveld,112,112,"",9,"","",23.8,IHF,IHF,"","","",0.00569300840336134,kg N/ha-hr,"",7.3,10,"","","",6973,2.9
G1990-18,G1990-18,24-Zegveld,024,024,"",1,"","",0.5,IHF,IHF,"","","",11.22469824,kg N/ha-hr,"",17.3,10,"","","",137,3
G1990-18,G1990-18,24-Zegveld,024,024,"",2,"","",1.1,IHF,IHF,"","","",4.7523924,kg N/ha-hr,"",18,10,"","","",437,3.1
G1990-18,G1990-18,24-Zegveld,024,024,"",3,"","",1.8,IHF,IHF,"","","",1.19438433333333,kg N/ha-hr,"",19.1,10,"","","",962,3.4
G1990-18,G1990-18,24-Zegveld,024,024,"",4,"","",2.9,IHF,IHF,"","","",0.4448052,kg N/ha-hr,"",19.8,10,"","","",1626,4.5
G1990-18,G1990-18,24-Zegveld,024,024,"",5,"","",2.7,IHF,IHF,"","","",0.125724666666667,kg N/ha-hr,"",18.3,10,"","","",1822,4.2
G1990-18,G1990-18,24-Zegveld,024,024,"",6,"","",11.3,IHF,IHF,"","","",0.0260350194690265,kg N/ha-hr,"",12.8,10,"","","",1878,2.1
G1990-18,G1990-18,24-Zegveld,024,024,"",7,"","",25.4,IHF,IHF,"","","",0.0427661858267717,kg N/ha-hr,"",19.8,10,"","","",4427,3.4
G1990-18,G1990-18,24-Zegveld,024,024,"",8,"","",23.1,IHF,IHF,"","","",0.00587803636363636,kg N/ha-hr,"",19,10,"","","",6868,3.4
