year	doy	date	plot.depth	trt	block	ph	water	no3	nh3	no3a	nh3a
2004	133	12-05-2004	5b	Décanté	1	6.27	25.44	3.94	18.34	0.335186303	1.559987793
2004	133	12-05-2004	6a	Digéré	2	7.64	19.15	8.40	474.71	0.714643629	40.37051958
2004	133	12-05-2004	6b	Digéré	2	6.23	24.24	6.08	17.23	0.517033266	1.464887521
2004	133	12-05-2004	7a	Décanté	2	6.61	16.44	8.26	311.29	0.702229923	26.47296694
2004	133	12-05-2004	7b	Décanté	2	6.21	24.04	7.55	13.19	0.642043394	1.121403107
2004	133	12-05-2004	8a	Brut	2	6.57	19.12	6.57	375.70	0.558616132	31.95018825
2004	133	12-05-2004	8b	Brut	2	5.94	25.47	4.49	12.15	0.381684625	1.032880263
2004	133	12-05-2004	9a	Floculé	2	6.39	18.27	5.82	32.98	0.494930554	2.804890102
2004	133	12-05-2004	9b	Floculé	2	5.75	27.81	9.17	19.84	0.779692763	1.687241286
2004	133	12-05-2004	10a	Filtré	2	6.58	20.53	5.19	544.58	0.441171891	46.31240791
2004	133	12-05-2004	10b	Filtré	2	6.07	23.21	5.09	19.64	0.433268154	1.670416353
2004	133	12-05-2004	11a	Floculé	3	7.31	15.98	8.03	257.38	0.682718417	21.8883044
2004	133	12-05-2004	11b	Floculé	3	6.11	25.13	6.51	9.15	0.553763134	0.77775516
2004	133	12-05-2004	12a	Décanté	3	6.59	18.23	6.44	538.28	0.54774402	45.77671258
2004	133	12-05-2004	12b	Décanté	3	6.08	24.43	7.28	14.42	0.61883066	1.226431351
2004	133	12-05-2004	13a	Filtré	3	6.54	16.43	7.45	341.25	0.633614266	29.02034407
2004	133	12-05-2004	13b	Filtré	3	5.98	24.99	6.71	12.94	0.570458315	1.100533554
2004	133	12-05-2004	14a	Brut	3	6.54	18.73	6.55	366.09	0.556864479	31.13301511
2004	133	12-05-2004	14b	Brut	3	6.15	24.90	7.76	18.33	0.660073685	1.559125738
2004	133	12-05-2004	15a	Digéré	3	7.36	19.88	7.99	331.92	0.679593672	28.2268072
2004	133	12-05-2004	15b	Digéré	3	6.18	28.26	6.14	9.80	0.522357045	0.833803764
2004	135	14-05-2004	1a	Brut	1	7.34	49.62	3.07	263.38	0.261338633	22.39795311
2004	135	14-05-2004	1b	Brut	1	5.87	50.33	8.50	13.35	0.722956999	1.13558889
2004	135	14-05-2004	2a	Digéré	1	7.68	50.48	3.87	256.46	0.329454974	21.81009788
2004	135	14-05-2004	2b	Digéré	1	5.95	48.92	9.13	4.51	0.776321705	0.383657148
2004	135	14-05-2004	3a	Floculé	1	7.81	55.33	5.46	352.79	0.464539573	30.00169173
2004	135	14-05-2004	3b	Floculé	1	5.72	46.02	6.29	18.99	0.534546588	1.615343681
2004	135	14-05-2004	4a	Filtré	1	7.61	54.82	1.66	358.01	0.141139517	30.44615359
2004	135	14-05-2004	4b	Filtré	1	6.16	46.91	4.74	35.06	0.403111124	2.981777715
2004	135	14-05-2004	5a	Décanté	1	7.4	60.12	1.77	285.39	0.150324923	24.26974141
2004	135	14-05-2004	5b	Décanté	1	6.22	48.88	3.82	14.29	0.324674599	1.215118678
2004	135	14-05-2004	6a	Digéré	2	7.81	58.44	2.69	385.25	0.228449029	32.76224995
2004	135	14-05-2004	6b	Digéré	2	6.4	47.54	9.02	27.91	0.767092269	2.373542344
2004	135	14-05-2004	7a	Décanté	2	7.29	55.05	3.93	283.04	0.333966108	24.07053699
2004	135	14-05-2004	7b	Décanté	2	6.24	50.18	4.61	23.51	0.392458153	1.999745537
2004	135	14-05-2004	8a	Brut	2	7.37	60.84	2.68	547.74	0.227841919	46.58100323
2004	135	14-05-2004	8b	Brut	2	5.96	49.01	4.99	21.69	0.424208455	1.844960557
2004	135	14-05-2004	9a	Floculé	2	7.58	68.73	2.95	370.35	0.250640421	31.49500242
2004	135	14-05-2004	9b	Floculé	2	5.56	51.51	6.03	17.34	0.512981982	1.474323859
2004	135	14-05-2004	10a	Filtré	2	7.45	56.29	1.65	324.38	0.139964901	27.58601781
2004	135	14-05-2004	10b	Filtré	2	6.3	58.62	7.91	67.00	0.672475417	5.698147507
2004	135	14-05-2004	11a	Floculé	3	7.76	51.68	3.61	349.67	0.307066407	29.73631833
2004	135	14-05-2004	11b	Floculé	3	6.04	48.61	9.51	19.21	0.80873241	1.633847897
2004	135	14-05-2004	12a	Décanté	3	7.4	52.65	3.57	233.45	0.303181695	19.85341126
2004	135	14-05-2004	12b	Décanté	3	6.11	51.25	5.06	16.96	0.43058963	1.442702046
2004	135	14-05-2004	13a	Filtré	3	7.43	57.11	1.86	284.72	0.158452718	24.21303478
2004	135	14-05-2004	13b	Filtré	3	5.62	53.85	6.48	16.17	0.551073208	1.374706463
2004	135	14-05-2004	14a	Brut	3	7.13	63.93	4.34	304.92	0.369243428	25.93119827
2004	135	14-05-2004	14b	Brut	3	5.82	52.99	7.68	24.11	0.653495445	2.050420174
2004	135	14-05-2004	15a	Digéré	3	7.62	62.86	3.41	366.75	0.289952681	31.18871092
2004	135	14-05-2004	15b	Digéré	3	6.16	47.99	9.46	29.15	0.804389196	2.478785325
2004	138	17-05-2004	1a	Brut	1	6.96	16.00	28.56	151.67	2.42845771	12.89815868
2004	138	17-05-2004	1b	Brut	1	6.18	23.33	7.38	11.22	0.627522146	0.953877972
2004	138	17-05-2004	2a	Digéré	1	7.37	16.61	35.04	261.67	2.979930545	22.25265201
2004	138	17-05-2004	2b	Digéré	1	5.94	23.15	10.88	15.85	0.925249922	1.347695389
2004	138	17-05-2004	3a	Floculé	1	7.34	14.97	26.13	289.98	2.22250325	24.66011615
2004	138	17-05-2004	3b	Floculé	1	6.04	23.98	6.41	12.00	0.54499577	1.02061792
2004	138	17-05-2004	4a	Filtré	1	7.31	16.32	13.13	288.46	1.116288256	24.53122412
2004	138	17-05-2004	4b	Filtré	1	6.22	24.86	8.87	27.37	0.7541601	2.327555992
2004	138	17-05-2004	5a	Décanté	1	7.02	16.50	17.80	165.65	1.513575725	14.08703578
2004	138	17-05-2004	5b	Décanté	1	6.4	24.40	5.33	14.90	0.453426823	1.267147713
2004	138	17-05-2004	6a	Digéré	2	7.49	16.24	33.11	257.15	2.815718004	21.86840451
2004	138	17-05-2004	6b	Digéré	2	6.4	23.40	10.69	10.58	0.908997561	0.900102583
2004	138	17-05-2004	7a	Décanté	2	7.1	14.80	20.46	222.31	1.740324711	18.905274
2004	138	17-05-2004	7b	Décanté	2	6.19	22.64	8.99	16.81	0.764513883	1.429539864
2004	138	17-05-2004	8a	Brut	2	6.89	17.54	16.59	166.00	1.411164814	14.11663909
2004	138	17-05-2004	8b	Brut	2	6.54	24.09	7.18	55.05	0.61078226	4.681408626
2004	138	17-05-2004	9a	Floculé	2	7.22	17.97	22.16	248.13	1.884262375	21.10109998
2004	138	17-05-2004	9b	Floculé	2	5.7	26.89	70.80	9.52	6.021347447	0.809902241
2004	138	17-05-2004	10a	Filtré	2	7.28	18.67	25.71	266.32	2.186436514	22.64855865
2004	138	17-05-2004	10b	Filtré	2	6.4	27.24	9.22	24.22	0.783896853	2.059738
2004	138	17-05-2004	11a	Floculé	3	7.23	16.39	42.68	272.50	3.629872468	23.17365705
2004	138	17-05-2004	11b	Floculé	3	6.29	23.74	10.23	11.85	0.870185173	1.007331651
2004	138	17-05-2004	12a	Décanté	3	7.13	15.31	27.97	242.76	2.378294329	20.6446207
2004	138	17-05-2004	12b	Décanté	3	6.13	24.65	15.69	20.76	1.334267554	1.765257908
2004	138	17-05-2004	13a	Filtré	3	7.15	15.94	26.68	252.22	2.268620912	21.44939883
2004	138	17-05-2004	13b	Filtré	3	6.22	25.93	11.67	24.82	0.992453356	2.110358388
2004	138	17-05-2004	14a	Brut	3	6.73	16.22	26.16	176.02	2.224413422	14.96884925
2004	138	17-05-2004	14b	Brut	3	6.12	25.00	12.53	19.52	1.065899454	1.659635387
2004	138	17-05-2004	15a	Digéré	3	7.09	17.82	30.88	230.22	2.625960863	19.57842101
2004	138	17-05-2004	15b	Digéré	3	6.09	27.49	12.08	22.10	1.027287312	1.879677064
2004	141	20-05-2004	1a	Brut	1	6.52	18.21	35.01	122.26	2.977229563	10.39716168
2004	141	20-05-2004	1b	Brut	1	5.79	25.61	8.25	10.51	0.701910742	0.893434513
2004	141	20-05-2004	2a	Digéré	1	6.89	20.00	42.06	150.94	3.577109771	12.83584819
2004	141	20-05-2004	2b	Digéré	1	5.95	24.00	11.02	10.67	0.93716596	0.907110189
2004	141	20-05-2004	3a	Floculé	1	6.97	18.57	49.03	208.23	4.169961807	17.70800743
2004	141	20-05-2004	3b	Floculé	1	5.82	26.32	8.16	16.91	0.69430202	1.438194415
2004	141	20-05-2004	4a	Filtré	1	6.71	20.51	33.84	178.77	2.877953159	15.20331801
2004	141	20-05-2004	4b	Filtré	1	5.83	27.92	10.01	20.55	0.851261288	1.747794006
2004	141	20-05-2004	5a	Décanté	1	6.93	20.61	29.33	172.20	2.494490115	14.64431728
2004	141	20-05-2004	5b	Décanté	1	6.16	24.72	7.30	31.14	0.62117627	2.648336311
2004	141	20-05-2004	6a	Digéré	2	7.12	19.97	55.94	194.46	4.757600252	16.53724401
2004	141	20-05-2004	6b	Digéré	2	6.05	25.92	13.09	11.53	1.112836727	0.980906227
2004	141	20-05-2004	7a	Décanté	2	6.78	18.27	52.27	153.56	4.44519535	13.05911274
2004	141	20-05-2004	7b	Décanté	2	6.05	24.79	12.64	22.73	1.074809796	1.933229756
2004	141	20-05-2004	8a	Brut	2	6.65	19.47	53.96	149.47	4.589199694	12.71116381
2004	141	20-05-2004	8b	Brut	2	5.97	26.45	7.03	6.27	0.597481627	0.533245901
2004	141	20-05-2004	9a	Floculé	2	6.82	19.97	45.11	218.60	3.836296069	18.59002557
2004	141	20-05-2004	9b	Floculé	2	6.69	29.53	44.73	200.71	3.804279871	17.06853147
2004	141	20-05-2004	10a	Filtré	2	6.94	20.75	25.24	188.54	2.146509408	16.03381791
2004	141	20-05-2004	10b	Filtré	2	6.1	27.09	13.10	15.34	1.113823936	1.304359173
2004	141	20-05-2004	11a	Floculé	3	7.05	17.84	58.84	241.68	5.003630778	20.55311591
2004	141	20-05-2004	11b	Floculé	3	6.15	24.53	11.81	26.42	1.004764539	2.246429618
2004	141	20-05-2004	12a	Décanté	3	6.67	18.55	47.59	150.46	4.047546286	12.79558119
2004	141	20-05-2004	12b	Décanté	3	5.92	24.20	9.94	8.48	0.845322362	0.721458794
2004	141	20-05-2004	13a	Filtré	3	6.71	18.10	46.14	168.01	3.923541265	14.28806405
2004	141	20-05-2004	13b	Filtré	3	5.76	25.36	10.66	14.35	0.906195653	1.22025078
2004	141	20-05-2004	14a	Brut	3	6.51	19.98	45.05	140.14	3.830720731	11.91768365
2004	141	20-05-2004	14b	Brut	3	5.81	27.98	18.08	14.01	1.537740893	1.191690509
2004	141	20-05-2004	15a	Digéré	3	6.87	20.98	62.48	223.22	5.313036563	18.98282771
2004	141	20-05-2004	15b	Digéré	3	5.95	29.44	17.10	11.62	1.454588311	0.987847331
