jday	time	etime	stemp	rad	stempo
133	1330	99.5	13.06	0.888	16.02
133	1400	100	13.50	0.866	16.48
133	1430	100.5	13.87	0.833	16.86
133	1500	101	14.18	0.790	17.21
133	1530	101.5	14.28	0.737	17.40
133	1600	102	14.32	0.661	17.31
133	1630	102.5	14.34	0.580	16.93
133	1700	103	14.07	0.505	16.14
133	1730	103.5	13.82	0.423	15.50
133	1800	104	13.33	0.326	14.61
133	1830	104.5	12.65	0.239	13.66
133	1900	105	11.80	0.127	12.54
133	1930	105.5	10.96	0.057	11.47
133	2000	106	10.22	0.021	10.51
133	2030	106.5	9.37	0.001	9.54
133	2100	107	8.58	0.000	8.65
133	2130	107.5	7.95	0.000	7.96
133	2200	108	7.32	0.000	7.24
133	2230	108.5	6.86	0.000	6.64
133	2300	109	6.39	0.000	6.04
133	2330	109.5	5.88	0.000	5.54
134	0	110	5.49	0.000	5.13
134	30	110.5	5.09	0.000	4.64
134	100	111	4.74	0.000	4.20
134	130	111.5	4.33	0.000	3.77
134	200	112	3.94	0.000	3.39
134	230	112.5	3.63	0.000	3.12
134	300	113	3.41	0.000	2.93
134	330	113.5	3.15	0.000	2.67
134	400	114	2.88	0.000	2.39
134	430	114.5	2.66	0.000	2.15
134	500	115	2.45	0.001	1.95
134	530	115.5	2.30	0.009	1.84
134	600	116	2.29	0.029	1.93
134	630	116.5	2.43	0.059	2.29
134	700	117	2.80	0.129	3.00
134	730	117.5	3.26	0.153	3.80
134	800	118	3.92	0.206	4.92
134	830	118.5	4.86	0.401	6.48
134	900	119	5.63	0.275	7.64
134	930	119.5	6.44	0.460	8.90
134	1000	120	7.53	0.526	10.68
134	1030	120.5	8.46	0.694	12.33
134	1100	121	9.23	0.476	13.72
134	1130	121.5	9.58	0.486	14.17
134	1200	122	9.74	0.310	14.35
134	1230	122.5	9.40	0.215	13.46
134	1300	123	9.35	0.309	13.22
134	1330	123.5	9.89	0.476	13.99
134	1400	124	10.46	0.466	14.67
134	1430	124.5	10.73	0.517	14.93
134	1500	125	10.67	0.315	14.80
134	1530	125.5	10.08	0.173	13.56
134	1600	126	9.56	0.143	12.33
134	1630	126.5	9.50	0.285	12.07
134	1700	127	9.94	0.344	12.62
134	1730	127.5	10.04	0.313	12.65
134	1800	128	9.78	0.163	12.15
134	1830	128.5	9.34	0.085	11.40
134	1900	129	9.01	0.061	10.82
134	1930	129.5	8.70	0.022	10.20
134	2000	130	8.30	0.007	9.48
134	2030	130.5	7.98	0.001	8.98
134	2100	131	7.77	0.000	8.64
134	2130	131.5	7.56	0.000	8.33
134	2200	132	7.38	0.000	8.06
134	2230	132.5	7.32	0.000	7.91
134	2300	133	7.27	0.000	7.79
134	2330	133.5	7.22	0.000	7.68
135	0	134	7.15	0.000	7.57
135	30	134.5	7.07	0.000	7.43
135	100	135	6.97	0.000	7.29
135	130	135.5	6.90	0.000	7.19
135	200	136	6.88	0.000	7.14
135	230	136.5	6.84	0.000	7.07
135	300	137	6.78	0.000	6.99
135	330	137.5	6.76	0.000	6.96
135	400	138	6.74	0.000	6.93
135	430	138.5	6.70	0.000	6.89
135	500	139	6.65	0.000	6.84
135	530	139.5	6.62	0.003	6.81
135	600	140	6.64	0.005	6.84
135	630	140.5	6.65	0.012	6.82
135	700	141	6.67	0.018	6.84
135	730	141.5	6.73	0.038	6.91
135	800	142	6.79	0.056	7.02
135	830	142.5	6.85	0.056	7.14
135	900	143	6.86	0.020	7.11
135	930	143.5	6.87	0.036	7.12
135	1000	144	6.90	0.034	7.16
135	1030	144.5	6.93	0.045	7.22
135	1100	145	7.01	0.041	7.36
135	1130	145.5	7.05	0.045	7.40
135	1200	146	7.11	0.058	7.51
135	1230	146.5	7.19	0.066	7.64
135	1300	147	7.29	0.086	7.79
135	1330	147.5	7.37	0.061	7.91
135	1400	148	7.43	0.074	8.02
135	1430	148.5	7.55	0.092	8.21
135	1500	149	7.66	0.102	8.47
135	1530	149.5	7.82	0.087	8.67
135	1600	150	7.87	0.062	8.67
135	1630	150.5	7.90	0.070	8.67
135	1700	151	7.92	0.057	8.66
135	1730	151.5	7.91	0.051	8.61
135	1800	152	7.88	0.039	8.54
135	1830	152.5	7.87	0.045	8.51
135	1900	153	7.78	0.011	8.37
135	1930	153.5	7.64	0.005	8.16
135	2000	154	7.53	0.002	8.00
135	2030	154.5	7.43	0.000	7.84
135	2100	155	7.36	0.000	7.72
135	2130	155.5	7.29	0.000	7.62
135	2200	156	7.24	0.000	7.52
135	2230	156.5	7.19	0.000	7.44
135	2300	157	7.16	0.000	7.40
135	2330	157.5	7.14	0.000	7.37
136	0	158	7.12	0.000	7.34
136	30	158.5	7.11	0.000	7.31
136	100	159	7.09	0.000	7.28
136	130	159.5	7.07	0.000	7.24
136	200	160	7.02	0.000	7.15
136	230	160.5	6.96	0.000	7.06
136	300	161	6.92	0.000	6.99
136	330	161.5	6.86	0.000	6.86
136	400	162	6.79	0.000	6.75
136	430	162.5	6.75	0.000	6.68
136	500	163	6.76	0.000	6.72
136	530	163.5	6.80	0.001	6.80
136	600	164	6.83	0.003	6.87
136	630	164.5	6.88	0.013	6.95
136	700	165	6.99	0.029	7.13
136	730	165.5	7.08	0.024	7.28
136	800	166	7.24	0.051	7.51
136	830	166.5	7.42	0.053	7.76
136	900	167	7.57	0.041	7.98
136	930	167.5	7.74	0.061	8.20
136	1000	168	7.95	0.080	8.54
136	1030	168.5	8.12	0.083	8.80
136	1100	169	8.36	0.112	9.14
136	1130	169.5	8.48	0.079	9.29
136	1200	170	8.61	0.095	9.40
136	1230	170.5	8.71	0.100	9.51
136	1300	171	9.02	0.173	9.96
136	1330	171.5	9.13	0.119	10.16
136	1400	172	9.41	0.242	10.60
136	1430	172.5	9.59	0.159	10.95
136	1500	173	9.45	0.072	10.77
136	1530	173.5	9.29	0.054	10.44
136	1600	174	9.24	0.088	10.27
136	1630	174.5	9.32	0.106	10.36
136	1700	175	9.71	0.266	10.96
136	1730	175.5	9.99	0.155	11.43
136	1800	176	9.90	0.111	11.30
136	1830	176.5	9.83	0.067	11.14
136	1900	177	9.57	0.030	10.66
136	1930	177.5	9.35	0.027	10.23
136	2000	178	9.14	0.004	9.87
136	2030	178.5	8.88	0.000	9.48
136	2100	179	8.67	0.000	9.20
136	2130	179.5	8.51	0.000	8.99
136	2200	180	8.38	0.000	8.81
136	2230	180.5	8.27	0.000	8.68
136	2300	181	8.19	0.000	8.58
136	2330	181.5	8.14	0.000	8.46
137	0	182	8.04	0.000	8.30
137	30	182.5	7.96	0.000	8.19
137	100	183	7.90	0.000	8.13
137	130	183.5	7.83	0.000	8.07
137	200	184	7.74	0.000	7.96
137	230	184.5	7.63	0.000	7.81
137	300	185	7.50	0.000	7.65
137	330	185.5	7.41	0.000	7.50
137	400	186	7.32	0.000	7.38
137	430	186.5	7.25	0.000	7.26
137	500	187	7.18	0.000	7.14
137	530	187.5	7.12	0.005	7.06
137	600	188	7.11	0.025	7.04
137	630	188.5	7.17	0.065	7.13
137	700	189	7.34	0.119	7.39
137	730	189.5	7.61	0.163	7.85
137	800	190	7.87	0.215	8.33
137	830	190.5	8.37	0.439	9.08
137	900	191	9.25	0.509	10.56
137	930	191.5	9.82	0.740	11.63
137	1000	192	10.28	0.565	12.47
137	1030	192.5	10.50	0.628	12.73
137	1100	193	10.80	0.591	13.05
137	1130	193.5	11.06	0.448	13.43
137	1200	194	10.35	0.217	12.30
137	1230	194.5	9.78	0.186	11.43
137	1300	195	9.76	0.280	11.44
137	1330	195.5	9.71	0.191	11.41
137	1400	196	9.32	0.152	10.81
137	1430	196.5	9.46	0.236	11.05
137	1500	197	9.41	0.186	10.93
137	1530	197.5	9.37	0.218	10.86
137	1600	198	9.57	0.236	11.19
137	1630	198.5	9.45	0.122	10.97
137	1700	199	9.54	0.295	10.99
137	1730	199.5	9.72	0.158	11.21
137	1800	200	9.51	0.070	10.79
137	1830	200.5	9.11	0.037	10.17
137	1900	201	8.84	0.027	9.81
137	1930	201.5	8.66	0.015	9.55
137	2000	202	8.53	0.003	9.32
137	2030	202.5	8.35	0.001	9.05
137	2100	203	8.14	0.000	8.73
137	2130	203.5	7.99	0.000	8.48
137	2200	204	7.89	0.000	8.27
137	2230	204.5	7.76	0.000	8.07
137	2300	205	7.65	0.000	7.91
137	2330	205.5	7.48	0.000	7.74
138	0	206	7.37	0.000	7.59
138	30	206.5	7.25	0.000	7.46
138	100	207	7.13	0.000	7.32
138	130	207.5	7.03	0.000	7.16
138	200	208	6.89	0.000	7.02
138	230	208.5	6.78	0.000	6.88
138	300	209	6.66	0.000	6.74
138	330	209.5	6.54	0.000	6.61
138	400	210	6.45	0.000	6.49
138	430	210.5	6.38	0.000	6.41
138	500	211	6.32	0.000	6.33
138	530	211.5	6.25	0.004	6.23
138	600	212	6.19	0.017	6.20
138	630	212.5	6.25	0.040	6.35
138	700	213	6.48	0.072	6.72
138	730	213.5	6.87	0.106	7.27
138	800	214	7.32	0.124	7.91
138	830	214.5	7.51	0.083	8.22
138	900	215	7.63	0.133	8.48
138	930	215.5	8.07	0.245	9.37
138	1000	216	8.41	0.230	10.09
138	1030	216.5	8.93	0.316	11.12
138	1100	217	9.68	0.476	12.45
138	1130	217.5	11.15	0.788	15.02
138	1200	218	12.68	0.670	17.52
138	1230	218.5	12.38	0.384	16.06
138	1300	219	12.56	0.436	15.57
138	1330	219.5	12.53	0.510	16.17
138	1400	220	12.83	0.531	17.14
138	1430	220.5	12.92	0.449	17.31
138	1500	221	12.31	0.160	15.83
138	1530	221.5	11.71	0.192	14.41
138	1600	222	11.61	0.206	14.19
138	1630	222.5	11.15	0.104	13.38
138	1700	223	10.59	0.130	12.50
138	1730	223.5	10.62	0.173	12.52
138	1800	224	10.75	0.266	12.59
138	1830	224.5	10.85	0.255	12.85
138	1900	225	10.74	0.217	12.78
138	1930	225.5	10.48	0.093	12.37
138	2000	226	10.03	0.023	11.51
138	2030	226.5	9.60	0.002	10.55
138	2100	227	9.17	0.000	9.78
138	2130	227.5	8.79	0.000	9.23
138	2200	228	8.48	0.000	8.70
138	2230	228.5	8.14	0.000	8.13
138	2300	229	7.83	0.000	7.64
138	2330	229.5	7.62	0.000	7.39
139	0	230	7.47	0.000	7.26
139	30	230.5	7.31	0.000	7.19
139	100	231	7.20	0.000	7.19
139	130	231.5	7.18	0.000	7.18
139	200	232	7.12	0.000	7.05
139	230	232.5	6.96	0.000	6.81
139	300	233	6.87	0.000	6.79
139	330	233.5	6.87	0.000	6.88
139	400	234	6.83	0.000	6.84
139	430	234.5	6.82	0.000	6.90
139	500	235	6.81	0.000	6.96
139	530	235.5	6.80	0.008	7.02
139	600	236	6.86	0.027	7.14
139	630	236.5	6.97	0.049	7.37
139	700	237	7.22	0.124	7.81
139	730	237.5	7.62	0.187	8.49
139	800	238	8.01	0.188	9.18
139	830	238.5	8.30	0.227	9.62
139	900	239	8.76	0.312	10.36
139	930	239.5	9.26	0.317	11.20
139	1000	240	9.57	0.362	11.71
139	1030	240.5	10.16	0.456	12.62
139	1100	241	11.64	0.846	14.91
139	1130	241.5	12.43	0.534	16.09
139	1200	242	12.97	0.849	16.68
139	1230	242.5	13.92	0.903	18.02
139	1300	243	14.60	0.965	18.72
139	1330	243.5	15.13	0.899	19.19
139	1400	244	15.36	0.767	19.35
139	1430	244.5	15.30	0.846	19.02
139	1500	245	15.08	0.343	18.60
139	1530	245.5	14.72	0.586	17.86
139	1600	246	14.91	0.790	18.02
139	1630	246.5	15.03	0.635	17.83
139	1700	247	14.82	0.515	17.07
139	1730	247.5	14.38	0.485	16.19
139	1800	248	14.03	0.381	15.58
139	1830	248.5	12.91	0.068	13.87
139	1900	249	12.18	0.191	12.88
139	1930	249.5	11.60	0.110	12.07
139	2000	250	10.90	0.016	10.98
139	2030	250.5	10.26	0.004	10.06
139	2100	251	9.73	0.000	9.31
139	2130	251.5	9.29	0.000	8.73
139	2200	252	8.94	0.000	8.28
139	2230	252.5	8.63	0.000	7.91
139	2300	253	8.32	0.000	7.56
139	2330	253.5	7.99	0.000	7.20
140	0	254	7.67	0.000	6.83
140	30	254.5	7.41	0.000	6.54
140	100	255	7.32	0.000	6.56
140	130	255.5	7.23	0.000	6.56
140	200	256	6.99	0.000	6.21
140	230	256.5	6.76	0.000	5.91
140	300	257	6.54	0.000	5.61
140	330	257.5	6.28	0.000	5.49
140	400	258	6.00	0.000	5.29
140	430	258.5	5.81	0.000	5.25
140	500	259	5.93	0.000	5.55
140	530	259.5	6.11	0.007	5.81
140	600	260	6.29	0.035	6.12
140	630	260.5	6.59	0.046	6.59
140	700	261	6.86	0.075	7.04
140	730	261.5	7.13	0.070	7.53
140	800	262	7.29	0.105	7.78
140	830	262.5	7.80	0.155	8.65
140	900	263	8.34	0.216	9.41
140	930	263.5	9.00	0.259	10.52
140	1000	264	9.17	0.235	10.67
140	1030	264.5	9.39	0.231	10.97
