Start Shift;End Shift;AirTemp
15/05/2004 04:30;15/05/2004 05:00;10.33
15/05/2004 05:00;15/05/2004 05:30;10.54
15/05/2004 05:30;15/05/2004 06:00;11.33
15/05/2004 06:00;15/05/2004 06:30;13.82
15/05/2004 06:30;15/05/2004 07:00;19.72
15/05/2004 07:00;15/05/2004 07:30;20.67
15/05/2004 07:30;15/05/2004 08:00;22.34
15/05/2004 08:00;15/05/2004 08:30;22.78
15/05/2004 08:30;15/05/2004 09:00;22.99
15/05/2004 09:00;15/05/2004 09:30;22.93
15/05/2004 09:30;15/05/2004 10:00;23.45
15/05/2004 10:00;15/05/2004 10:30;23.67
15/05/2004 10:30;15/05/2004 11:00;24.01
15/05/2004 11:00;15/05/2004 11:30;24.81
15/05/2004 11:30;15/05/2004 12:00;24.89
15/05/2004 12:00;15/05/2004 12:30;24.08
15/05/2004 12:30;15/05/2004 13:00;20.14
15/05/2004 13:00;15/05/2004 13:30;18.51
15/05/2004 13:30;15/05/2004 14:00;18.97
15/05/2004 14:00;15/05/2004 14:30;21.01
15/05/2004 14:30;15/05/2004 15:00;21.62
15/05/2004 15:00;15/05/2004 15:30;21.26
15/05/2004 15:30;15/05/2004 16:00;21.77
15/05/2004 16:00;15/05/2004 16:30;21.93
15/05/2004 16:30;15/05/2004 17:00;21.35
15/05/2004 17:00;15/05/2004 17:30;20.14
15/05/2004 17:30;15/05/2004 18:00;19.25
15/05/2004 18:00;15/05/2004 18:30;18.39
15/05/2004 18:30;15/05/2004 19:00;17.61
15/05/2004 19:00;15/05/2004 19:30;16.52
15/05/2004 19:30;15/05/2004 20:00;15.25
15/05/2004 20:00;15/05/2004 20:30;14.28
15/05/2004 20:30;15/05/2004 21:00;13.31
15/05/2004 21:00;15/05/2004 21:30;12.73
15/05/2004 21:30;15/05/2004 22:00;12.57
15/05/2004 22:00;15/05/2004 22:30;12.11
15/05/2004 22:30;15/05/2004 23:00;11.33
15/05/2004 23:00;15/05/2004 23:30;10.95
15/05/2004 23:30;16/05/2004 00:00;10.36
16/05/2004 00:00;16/05/2004 00:30;9.95
16/05/2004 00:30;16/05/2004 01:00;9.54
16/05/2004 01:00;16/05/2004 01:30;9.17
16/05/2004 01:30;16/05/2004 02:00;8.32
16/05/2004 02:00;16/05/2004 02:30;7.8
16/05/2004 02:30;16/05/2004 03:00;7.43
16/05/2004 03:00;16/05/2004 03:30;6.786
16/05/2004 03:30;16/05/2004 04:00;6.746
16/05/2004 04:00;16/05/2004 04:30;6.811
16/05/2004 04:30;16/05/2004 05:00;6.798
16/05/2004 05:00;16/05/2004 05:30;6.785
16/05/2004 05:30;16/05/2004 06:00;6.826
16/05/2004 06:00;16/05/2004 06:30;7.04
16/05/2004 06:30;16/05/2004 07:00;7.28
16/05/2004 07:00;16/05/2004 07:30;7.71
16/05/2004 07:30;16/05/2004 08:00;9.18
16/05/2004 08:00;16/05/2004 08:30;9.77
16/05/2004 08:30;16/05/2004 09:00;10.97
16/05/2004 09:00;16/05/2004 09:30;11.73
16/05/2004 09:30;16/05/2004 10:00;12.17
16/05/2004 10:00;16/05/2004 10:30;12.56
16/05/2004 10:30;16/05/2004 11:00;13.2
16/05/2004 11:00;16/05/2004 11:30;13.82
16/05/2004 11:30;16/05/2004 12:00;14.15
16/05/2004 12:00;16/05/2004 12:30;14.77
16/05/2004 12:30;16/05/2004 13:00;15.2
16/05/2004 13:00;16/05/2004 13:30;15.37
16/05/2004 13:30;16/05/2004 14:00;16.24
16/05/2004 14:00;16/05/2004 14:30;16.27
16/05/2004 14:30;16/05/2004 15:00;16.31
16/05/2004 15:00;16/05/2004 15:30;18.03
16/05/2004 15:30;16/05/2004 16:00;18.1
16/05/2004 16:00;16/05/2004 16:30;17.75
16/05/2004 16:30;16/05/2004 17:00;17.91
16/05/2004 17:00;16/05/2004 17:30;17.44
