jday	time	stemp	rad	atemp	rh
239	1230	31.72	0.675	27.96	37.66
239	1300	32.96	0.756	28.68	38.65
239	1330	31.57	0.736	28.59	34.15
239	1400	30.42	0.604	28.25	35.76
239	1430	32.07	0.733	29.02	33.39
239	1500	31.90	0.683	29.44	32.77
239	1530	31.64	0.629	29.43	33.82
239	1600	30.87	0.585	29.29	33.82
239	1630	30.57	0.547	29.58	35.86
239	1700	30.41	0.443	29.53	34.6
239	1730	29.92	0.331	29.5	34.56
239	1800	28.86	0.243	28.65	41.49
239	1830	27.49	0.181	27.64	46.66
239	1900	25.39	0.089	27.37	50.85
239	1930	21.71	0.02	25.03	61.09
239	2000	19.30	0.001	20.95	76.6
239	2030	18.12	0	19.04	83.3
239	2100	17.56	0	18.1	84.5
239	2130	17.03	0	18.03	83.3
239	2200	16.46	0	17.3	83.8
239	2230	16.52	0	17.53	79.7
239	2300	16.76	0	17.77	75.9
239	2330	16.86	0	18.06	73.2
240	0	16.64	0	17.79	74.5
240	30	16.60	0	17.74	74
240	100	17.08	0	18.37	71.4
240	130	16.94	0	18.27	71.9
240	200	16.66	0	17.86	73.7
240	230	16.54	0	17.74	74.7
240	300	16.39	0	17.52	75.6
240	330	16.14	0	17.25	77.2
240	400	16.11	0	17.12	78
240	430	15.89	0	16.92	79.4
240	500	16.41	0	17.24	77.9
240	530	16.51	0	17.34	77.1
240	600	16.43	0.003	17.25	77.2
240	630	16.85	0.012	17.67	75.1
240	700	17.28	0.011	18.08	73.6
240	730	17.50	0.039	18.05	74.4
240	800	18.80	0.12	19.02	73
240	830	20.40	0.18	20.34	70
240	900	19.71	0.098	20.16	70.7
240	930	19.26	0.055	19.85	73.4
240	1000	18.94	0.054	19.34	75.7
240	1030	18.49	0.079	19.06	80.8
240	1100	18.19	0.054	18.64	87.9
240	1130	18.96	0.133	19.08	89.1
240	1200	19.31	0.124	19.52	88.3
240	1230	20.29	0.253	20.3	86.6
240	1300	20.33	0.166	20.64	83.7
240	1330	20.25	0.145	20.65	82.7
240	1400	20.90	0.2	20.95	81.5
240	1430	22.98	0.4	22.24	76.7
240	1500	22.91	0.238	22.79	73.9
240	1530	24.17	0.396	23.52	71.3
240	1600	24.11	0.284	23.97	68.47
240	1630	23.44	0.181	23.79	68.75
240	1700	23.96	0.249	23.95	68.3
240	1730	23.52	0.146	24.2	66.8
240	1800	23.82	0.184	24.16	67.85
240	1830	23.05	0.11	23.92	68.99
240	1900	21.84	0.036	23.08	72.6
240	1930	20.74	0.011	22.24	75.4
240	2000	19.58	0.001	21.04	79.9
240	2030	19.06	0	20.27	82.9
240	2100	18.92	0	19.91	84.1
240	2130	18.67	0	19.75	84.9
240	2200	18.42	0	19.48	85.3
240	2230	18.12	0	19.18	86
240	2300	17.77	0	18.68	87.8
240	2330	18.24	0	19.02	86.8
241	0	18.35	0	19.37	85.4
241	30	17.39	0	18.29	88.6
241	100	16.95	0	17.69	90.3
241	130	16.88	0	17.39	90.2
241	200	17.04	0	17.7	90.7
241	230	16.08	0	17.08	90.4
241	300	15.53	0	16.25	91.1
241	330	15.35	0	15.78	91.7
241	400	14.95	0	15.27	92.1
241	430	14.62	0	15.01	92.1
241	500	14.62	0	14.81	92.3
241	530	15.22	0	14.96	92.5
241	600	16.01	0.001	15.85	92.8
241	630	16.55	0.007	16.55	92.5
241	700	16.99	0.03	17.15	91.2
241	730	17.46	0.055	17.78	88.5
241	800	18.52	0.106	18.47	86.2
241	830	19.70	0.145	19.32	83.4
241	900	21.20	0.143	20.57	79.5
241	930	23.43	0.234	21.8	75.7
241	1000	25.68	0.344	23.42	70.5
241	1030	27.52	0.456	25.5	65.4
241	1100	22.94	0.513	25.86	63.32
241	1130	23.76	0.625	26.52	61.3
241	1200	24.85	0.754	27.68	60.12
241	1230	25.73	0.724	28.22	56.42
241	1300	26.22	0.637	28.74	55.02
241	1330	26.72	0.709	29.13	54.06
241	1400	26.39	0.559	28.7	54.69
241	1430	25.72	0.299	28.29	56.62
241	1500	24.48	0.127	27.06	61.97
241	1530	23.36	0.048	24.15	75.1
241	1600	21.93	0.103	21.02	84.9
241	1630	22.55	0.313	22.9	78.6
241	1700	23.44	0.308	25	69.98
241	1730	23.51	0.186	25.77	69.79
241	1800	23.23	0.112	24.64	78.3
241	1830	22.93	0.057	24.19	81.6
241	1900	22.53	0.024	22.98	86.6
241	1930	22.10	0.005	22.39	88
241	2000	21.72	0	21.77	90.3
241	2030	21.35	0	21.23	90
241	2100	20.96	0	20.66	90.9
241	2130	20.67	0	20.17	90.7
241	2200	20.36	0	19.94	90.9
241	2230	20.25	0	20.42	88.4
241	2300	20.21	0	20.89	86.1
241	2330	20.16	0	20.97	86.2
242	0	20.08	0	20.74	86.9
242	30	19.95	0	20.38	87.8
242	100	19.70	0	19.53	90.4
242	130	19.51	0	19.27	91.2
242	200	19.35	0	19.07	91.9
242	230	19.26	0	19.07	92.3
242	300	19.26	0	19.02	93
242	330	19.21	0	18.91	93.1
242	400	19.14	0	18.83	93.3
242	430	19.16	0	18.9	93.5
242	500	19.10	0	18.66	93.6
242	530	18.89	0	18.15	93.7
242	600	18.62	0	17.66	93.8
242	630	18.31	0.004	17.07	93.8
242	700	18.07	0.015	16.81	93.9
242	730	18.00	0.074	16.55	93.8
242	800	18.02	0.098	16.38	93.7
242	830	18.28	0.181	16.66	93.3
242	900	18.36	0.117	16.72	92.7
242	930	18.44	0.162	16.93	92.3
242	1000	18.40	0.16	16.93	90.5
242	1030	18.31	0.251	17.23	89.4
242	1100	19.10	0.405	17.89	86.9
242	1130	19.45	0.427	18.16	86.7
242	1200	20.12	0.414	18.58	84.6
242	1230	20.56	0.385	19	83.9
242	1300	20.76	0.397	19.41	83.3
242	1330	20.88	0.323	20.06	80.9
242	1400	20.86	0.31	20.29	81.9
242	1430	22.08	0.59	21.94	77.7
242	1500	23.16	0.704	22.73	75.7
242	1530	23.11	0.37	22.76	76
242	1600	22.35	0.248	22.76	73.1
242	1630	22.28	0.283	22.3	76.3
242	1700	22.07	0.37	21.33	76.7
242	1730	21.47	0.267	19.62	80.6
242	1800	20.51	0.138	18.2	86.2
242	1830	19.49	0.019	17.09	89.2
242	1900	18.77	0.013	16.65	91.1
242	1930	18.31	0.004	16.24	92
242	2000	17.85	0	15.91	92.5
242	2030	17.32	0	15.68	92.7
242	2100	16.98	0	15.53	93
242	2130	16.88	0	15.49	92.8
242	2200	16.76	0	15.51	92.2
242	2230	16.71	0	15.58	92.5
242	2300	16.68	0	15.71	92.5
242	2330	16.56	0	15.45	91.9
243	0	16.38	0	15.24	92
243	30	16.26	0	15.17	92.3
243	100	16.17	0	15.12	92.5
243	130	16.08	0	15.02	92.6
243	200	16.00	0	15.03	92.7
243	230	15.98	0	15.07	92.7
243	300	15.95	0	15.09	92.6
243	330	15.91	0	15.07	92.5
243	400	15.86	0	15.05	92.6
243	430	15.85	0	15.09	92.3
243	500	15.86	0	15.16	92.2
243	530	15.83	0	15.12	92.3
243	600	15.79	0	15.03	92.6
243	630	15.77	0.001	15.04	92.8
243	700	15.75	0.009	15.03	93.1
243	730	15.75	0.013	14.99	93.1
243	800	15.72	0.018	14.84	93.1
243	830	15.69	0.034	14.8	93.1
243	900	15.73	0.036	14.89	93
243	930	15.81	0.058	15.07	92.9
243	1000	15.96	0.06	15.24	92.7
243	1030	16.05	0.071	15.34	92.8
243	1100	16.13	0.077	15.36	92.8
243	1130	16.12	0.069	15.36	92.8
243	1200	16.13	0.051	15.48	92.9
243	1230	16.13	0.069	15.64	92.7
243	1300	16.23	0.057	15.8	92.7
243	1330	16.33	0.051	16.14	92.9
243	1400	16.49	0.036	16.44	92.9
243	1430	16.53	0.029	16.41	92.8
243	1500	16.54	0.026	16.45	93.1
243	1530	16.64	0.025	16.72	93.1
243	1600	16.76	0.017	16.91	93.2
243	1630	16.99	0.016	17.39	93.3
243	1700	17.25	0.014	17.91	93.3
243	1730	17.90	0.006	19.8	93.5
243	1800	18.96	0.02	21.68	91.1
243	1830	19.54	0.016	21.92	91.1
243	1900	19.92	0.018	22.04	91.4
243	1930	20.15	0.003	22.21	91.8
243	2000	20.39	0	22.39	91.9
243	2030	20.27	0	21.7	88.5
243	2100	19.83	0	20.51	89.3
243	2130	19.30	0	19.53	89.7
243	2200	18.90	0	18.91	90.8
243	2230	18.62	0	18.58	91.2
243	2300	18.38	0	18.27	91.5
243	2330	18.17	0	18.11	91.2
244	0	18.00	0	18.04	90
244	30	17.84	0	17.98	89
244	100	17.73	0	18.02	88.1
244	130	17.65	0	18.03	87.7
244	200	17.58	0	17.99	87.6
244	230	17.52	0	18.11	86.7
244	300	17.54	0	18.13	87.4
244	330	17.56	0	18.21	87
244	400	17.52	0	18.18	86.6
244	430	17.45	0	18.03	87.3
244	500	17.31	0	17.87	87.4
244	530	18.45	0	17.65	87.6
244	600	18.17	0	17.51	87
244	630	17.76	0.008	17.48	87.7
244	700	19.24	0.026	17.71	87.5
244	730	19.02	0.112	18	85.4
244	800	19.95	0.194	18.67	81.6
244	830	20.80	0.176	19.26	78.9
244	900	21.66	0.426	19.8	76.6
244	930	22.17	0.238	20.08	74.6
244	1000	22.22	0.373	20.19	74.7
244	1030	22.27	0.388	20.59	73
244	1100	20.84	0.48	21.31	70.3
244	1130	21.30	0.481	21.62	68.04
244	1200	20.62	0.316	21.31	69.22
244	1230	20.73	0.388	21.68	67.53
244	1300	21.65	0.725	22.49	63.58
244	1330	22.78	0.677	23.25	58.06
244	1400	21.79	0.465	22.6	57.38
244	1430	22.28	0.659	23.14	57.13
244	1500	21.84	0.34	23.12	56.92
244	1530	21.54	0.305	23.02	58.2
244	1600	20.99	0.177	22.7	60.56
244	1630	20.72	0.216	22.61	58.16
244	1700	20.31	0.174	22.2	57.63
244	1730	19.89	0.126	21.8	59.64
244	1800	20.11	0.27	22.57	58.34
244	1830	19.56	0.128	21.83	62.06
244	1900	18.92	0.048	21	64.6
244	1930	18.28	0.006	19.87	69.3
244	2000	17.87	0	19.4	71.4
244	2030	17.58	0	19.01	73.2
244	2100	17.38	0	18.83	74
244	2130	17.24	0	18.77	74.8
244	2200	17.11	0	18.55	76.1
244	2230	16.95	0	18.11	78.6
244	2300	16.78	0	17.7	80.9
244	2330	16.68	0	17.62	81.4
245	0	16.68	0	17.83	80.6
245	30	16.67	0	17.93	80.4
245	100	16.65	0	18.03	80
245	130	16.60	0	17.89	81
245	200	16.53	0	17.62	83.2
245	230	16.48	0	17.43	85.5
245	300	16.54	0	17.61	86.2
245	330	16.65	0	17.84	86.3
245	400	16.73	0	17.9	86.6
245	430	16.72	0	17.73	86.9
245	500	16.58	0	17.34	87.9
245	530	16.34	0	16.81	89
245	600	16.20	0.001	16.55	89.4
245	630	16.07	0.014	16.31	89.8
245	700	16.12	0.033	16.44	89.4
245	730	16.45	0.093	17.25	86.8
245	800	16.98	0.143	18.11	83
245	830	17.86	0.18	19.05	79
245	900	18.70	0.292	19.91	74.9
245	930	19.64	0.432	20.78	70.1
245	1000	20.56	0.584	21.38	67.57
245	1030	21.35	0.623	22.05	65.36
245	1100	22.22	0.667	23	60.42
245	1130	22.55	0.711	23.45	53.96
245	1200	22.80	0.76	23.68	52.88
245	1230	22.92	0.768	24.17	49.3
245	1300	22.83	0.469	24.46	48.85
245	1330	22.59	0.394	24.53	46.4
245	1400	21.27	0.363	23.21	52.96
245	1430	22.71	0.717	24.49	53.66
245	1500	23.27	0.617	24.66	56.77
245	1530	23.44	0.598	25.04	54.12
245	1600	23.29	0.56	25.57	50.74
245	1630	21.88	0.127	24.39	52.62
245	1700	21.19	0.136	24.21	53.22
245	1730	20.52	0.101	23.83	50.98
245	1800	19.79	0.066	22.32	56.72
245	1830	18.70	0.011	19.9	69.4
245	1900	17.74	0.013	16.23	89
245	1930	17.41	0.011	16.09	90.1
245	2000	16.93	0	15.76	90
245	2030	16.56	0	15.65	90
245	2100	16.29	0	15.51	89.9
245	2130	16.07	0	15.39	90
245	2200	15.86	0	15.23	89.6
245	2230	15.68	0	15.19	89
245	2300	15.44	0	14.96	88.2
245	2330	15.21	0	14.79	87.6
246	0	15.00	0	14.57	87.7
246	30	14.84	0	14.6	86.6
246	100	14.68	0	14.35	87.1
246	130	14.52	0	14.07	88.3
246	200	14.40	0	14.04	88.3
246	230	14.26	0	13.89	88.5
246	300	14.15	0	13.73	89
246	330	14.23	0	13.77	89.5
246	400	14.13	0	13.64	89.5
246	430	14.05	0	13.57	89.5
246	500	13.97	0	13.42	89.9
246	530	13.71	0	13.15	90.4
246	600	13.58	0.001	13.11	90.3
246	630	13.55	0.011	13.22	90
246	700	13.59	0.024	13.27	89.8
246	730	13.89	0.14	13.81	88.2
246	800	14.46	0.128	14.64	85.5
246	830	15.25	0.073	15.36	84.1
246	900	16.27	0.391	16.11	82.5
246	930	17.29	0.427	16.8	80.3
246	1000	18.09	0.402	17.34	77.8
246	1030	17.55	0.244	17.04	79.3
246	1100	17.68	0.221	17.43	78
246	1130	18.19	0.362	18.04	73.6
246	1200	19.61	0.527	19.03	66.78
246	1230	19.71	0.43	19.22	64.63
246	1300	19.72	0.543	19.31	65.3
246	1330	19.96	0.514	19.58	63.04
246	1400	20.37	0.487	19.92	61.44
246	1430	20.70	0.35	20.19	60.91
246	1500	20.33	0.28	20.4	62.67
246	1530	20.63	0.478	20.94	62.52
246	1600	20.66	0.374	21.25	61.26
246	1630	20.62	0.306	21.54	59.9
246	1700	19.89	0.168	21.09	63.43
246	1730	20.14	0.259	21.99	60.65
246	1800	19.67	0.159	21.55	64
246	1830	19.61	0.157	21.95	64.3
246	1900	18.85	0.052	20.77	66.64
246	1930	18.03	0.006	19.22	70.8
246	2000	17.28	0	17.88	73.3
246	2030	16.74	0	17.16	76.6
246	2100	16.35	0	16.57	78.4
246	2130	15.97	0	16.01	79.8
246	2200	15.57	0	15.37	81.8
246	2230	15.30	0	14.99	82.7
246	2300	15.01	0	14.75	83.7
246	2330	14.89	0	14.73	83.6
247	0	14.65	0	14.28	82.6
247	30	14.36	0	13.73	83.2
247	100	13.80	0	12.7	86.3
247	130	13.35	0	11.84	88.2
247	200	13.32	0	12.34	86.8
247	230	13.29	0	12.55	85.5
247	300	13.34	0	12.91	83.9
247	330	13.34	0	13.09	81.7
247	400	13.32	0	13.13	81.8
247	430	13.34	0	13.32	80.5
247	500	13.19	0	12.92	80.7
247	530	12.83	0	12.42	81.3
247	600	12.49	0	11.97	79.8
247	630	12.07	0.006	11.38	80.9
247	700	11.80	0.019	10.78	83.1
247	730	12.18	0.144	11.96	79.5
247	800	12.89	0.141	13.18	74.9
247	830	13.89	0.079	14.08	74
247	900	15.18	0.386	14.98	68.74
247	930	16.39	0.379	15.46	67.65
247	1000	17.48	0.541	16.22	65.46
247	1030	18.61	0.469	16.78	62.12
247	1100	18.99	0.557	17.08	62.38
247	1130	18.79	0.348	17.24	59.97
247	1200	18.99	0.451	17.37	58.37
247	1230	19.72	0.468	17.95	57.73
247	1300	20.30	0.613	18.43	54.28
247	1330	22.38	0.904	19.39	53.85
247	1400	21.57	0.424	19.09	52.55
247	1430	22.01	0.684	19.76	50.43
247	1500	21.11	0.426	19.36	50.83
247	1530	21.43	0.597	19.73	48.55
247	1600	20.77	0.507	19.59	47.64
247	1630	20.65	0.447	19.85	46.86
247	1700	20.03	0.394	19.73	48.6
247	1730	19.31	0.303	19.56	49.28
247	1800	18.44	0.217	19.19	51.58
247	1830	17.41	0.134	18.6	54.26
247	1900	16.55	0.057	17.53	59.6
247	1930	15.56	0.005	15.82	65.99
247	2000	14.87	0	14.7	71.1
247	2030	14.39	0	14.06	73.9
247	2100	13.97	0	13.32	76.5
247	2130	13.65	0	13.08	76.9
247	2200	13.44	0	12.99	77.8
247	2230	13.15	0	12.6	79.6
247	2300	12.69	0	11.75	82.2
247	2330	12.31	0	11.12	84.5
248	0	11.94	0	10.44	87.2
248	30	11.61	0	9.92	87.7
248	100	11.22	0	9.34	89.4
248	130	10.90	0	8.92	89.6
248	200	10.77	0	9.11	89.9
248	230	10.47	0	8.53	89.8
248	300	10.21	0	8.19	90.5
248	330	9.97	0	7.83	90.9
248	400	9.71	0	7.58	91.1
248	430	9.37	0	7.12	91.1
248	500	9.17	0	7.06	91.8
248	530	9.04	0	7.14	91.4
248	600	8.82	0.001	6.774	91.3
248	630	8.69	0.009	6.606	91.5
248	700	8.81	0.025	7.12	91.1
248	730	9.36	0.145	8.49	88.9
248	800	10.29	0.137	10.71	81.9
248	830	11.35	0.054	11.32	81.5
248	900	12.87	0.373	12.09	79.8
248	930	14.38	0.474	14.21	71.3
248	1000	15.78	0.547	15	67.01
248	1030	17.09	0.605	16.13	61.29
248	1100	18.34	0.665	16.25	56.69
248	1130	19.53	0.703	16.88	57.99
248	1200	20.51	0.732	17.7	53.62
248	1230	21.15	0.746	18.51	49.48
248	1300	21.70	0.755	19.17	44.48
248	1330	21.96	0.749	19.44	41.17
248	1400	22.05	0.721	19.98	38.86
248	1430	22.26	0.687	20.52	39.52
248	1500	22.29	0.644	20.83	35.99
248	1530	21.99	0.589	20.98	37.59
248	1600	21.72	0.524	21.09	35.59
248	1630	21.30	0.443	20.88	42.4
248	1700	20.78	0.342	21.04	45.75
248	1730	19.91	0.276	20.75	47.1
248	1800	18.77	0.176	20.19	47.14
248	1830	17.71	0.085	19.57	52.33
248	1900	16.78	0.041	18.36	58.86
248	1930	15.86	0.006	16.24	68.63
248	2000	15.14	0	14.83	74.2
248	2030	14.62	0	14.08	77.4
248	2100	14.17	0	13.36	80.5
248	2130	13.74	0	12.59	83.2
248	2200	13.29	0	11.73	85.9
248	2230	12.97	0	11.56	85.5
248	2300	12.67	0	11.32	85.5
248	2330	12.49	0	11.24	85.7
249	0	12.21	0	10.69	87.8
249	30	11.89	0	10.24	89
249	100	11.64	0	9.97	88.7
249	130	11.46	0	9.83	89.2
249	200	11.38	0	10.23	87.6
249	230	11.19	0	10.18	86.7
249	300	10.95	0	9.69	87.5
249	330	10.69	0	9.15	89.4
249	400	10.37	0	8.54	90
249	430	10.10	0	8.24	91.4
249	500	9.88	0	8.21	91.1
249	530	9.64	0	7.65	90.9
249	600	9.47	0	7.44	91.8
249	630	9.37	0.009	7.51	91.8
249	700	9.67	0.029	8.47	91.6
249	730	10.31	0.122	9.9	87.4
249	800	11.18	0.117	11.8	82.1
249	830	12.88	0.053	12.95	80.4
249	900	16.34	0.332	14.81	74.2
249	930	20.94	0.453	16.73	66.86
249	1000	21.96	0.526	17.91	63.03
249	1030	23.68	0.591	18.98	60.77
249	1100	21.64	0.633	19.95	59.54
249	1130	19.07	0.683	21	56.43
249	1200	19.85	0.717	21.69	53.89
249	1230	20.46	0.733	22.39	50.88
249	1300	20.95	0.74	22.85	51.28
249	1330	21.42	0.73	23.47	48.53
249	1400	21.84	0.714	23.91	46.66
249	1430	22.19	0.678	24.24	47.22
249	1500	22.19	0.637	24.45	46.12
249	1530	22.02	0.583	24.54	45.19
249	1600	21.86	0.521	24.83	44.81
249	1630	21.71	0.452	24.8	45.34
249	1700	21.16	0.368	24.33	45.38
249	1730	20.51	0.28	23.92	46.77
249	1800	19.78	0.201	23.59	48.03
249	1830	19.15	0.12	22.89	50.36
249	1900	18.62	0.045	21.68	55.47
249	1930	18.04	0.004	19.84	62.8
249	2000	17.44	0	18.26	69.2
249	2030	16.94	0	17.37	72.8
249	2100	16.44	0	16.27	77.3
249	2130	15.96	0	15.18	81.3
249	2200	15.56	0	14.89	82.1
249	2230	15.17	0	14.21	83.5
249	2300	14.82	0	13.58	85.3
249	2330	14.55	0	14.34	81
250	0	14.51	0	15.34	76.3
250	30	14.38	0	15	76.7
250	100	14.20	0	14.46	78.1
250	130	14.02	0	14.38	77.7
250	200	13.70	0	12.32	86.2
250	230	13.39	0	11.67	88.8
250	300	13.11	0	11.24	89.3
250	330	12.92	0	11.41	89.6
250	400	12.68	0	10.84	89.4
250	430	12.42	0	10.35	90.8
250	500	12.16	0	10.06	91.1
250	530	11.96	0	9.88	91.6
250	600	11.79	0	10.07	92.3
250	630	11.70	0.013	9.95	91.1
250	700	11.79	0.064	11.1	88.9
250	730	12.36	0.131	13.22	84.4
250	800	13.23	0.206	14.85	81.9
250	830	14.19	0.285	16.03	79.3
250	900	15.50	0.373	17.62	76
250	930	16.56	0.447	18.78	71.8
250	1000	17.47	0.516	19.87	68.04
250	1030	18.53	0.577	21.02	64.34
250	1100	19.50	0.634	22.04	61.62
250	1130	20.37	0.68	22.89	58.96
250	1200	21.22	0.713	23.84	56.17
250	1230	21.96	0.731	24.61	53.76
250	1300	22.51	0.73	25.34	51.06
250	1330	22.66	0.632	25.6	50.5
250	1400	22.88	0.599	25.76	49.05
250	1430	22.23	0.378	25.25	49.65
250	1500	22.30	0.499	25.91	48.35
250	1530	22.40	0.581	25.96	46.71
250	1600	22.24	0.511	25.94	47.48
250	1630	22.20	0.408	25.94	48.79
250	1700	21.82	0.347	25.33	50.58
250	1730	21.33	0.252	24.88	51.34
250	1800	20.73	0.17	24.39	53.34
250	1830	20.19	0.088	23.64	55.26
250	1900	19.56	0.027	22.5	58.26
250	1930	19.00	0.002	21.33	62.86
250	2000	18.51	0	20.27	67.07
250	2030	18.12	0	19.38	70.7
250	2100	17.75	0	18.1	76.5
250	2130	17.43	0	17.98	76.3
250	2200	17.13	0	17.85	77
250	2230	17.08	0	18.91	72.5
250	2300	17.05	0	19.13	71.8
250	2330	16.96	0	18.72	73.7
251	0	16.86	0	18.43	75.2
251	30	16.81	0	18.38	75.6
251	100	16.89	0	18.43	76.1
251	130	16.95	0	18.97	73.5
251	200	17.01	0	19.3	71.7
251	230	16.99	0	19.27	71.4
251	300	16.94	0	18.89	73.2
251	330	16.75	0	18.5	73.8
251	400	16.62	0	18.53	72.6
251	430	16.43	0	18.17	73.4
251	500	16.30	0	18.03	73
251	530	16.13	0	17.53	74.9
251	600	15.96	0	16.84	77.9
251	630	15.97	0.003	16.91	78.4
251	700	15.99	0.036	16.81	80.3
251	730	16.23	0.084	17.44	77.6
251	800	16.57	0.129	17.89	74.8
251	830	16.80	0.132	18.12	73.8
251	900	16.95	0.126	18.13	74.9
251	930	17.26	0.183	18.46	74
251	1000	17.69	0.205	18.78	74.5
251	1030	17.86	0.158	18.88	74.9
251	1100	17.87	0.091	18.69	78.1
251	1130	17.47	0.017	17.33	87.1
251	1200	17.20	0.055	16.59	91.9
251	1230	17.29	0.092	16.82	92
251	1300	17.38	0.112	16.97	91.7
251	1330	17.78	0.182	17.4	91.1
251	1400	18.14	0.184	17.72	89.5
251	1430	18.09	0.056	17.61	89.9
251	1500	17.81	0.031	17.39	90.8
251	1530	17.65	0.05	17.18	90.8
251	1600	17.60	0.057	16.91	90.5
251	1630	17.54	0.033	16.8	90.3
251	1700	17.30	0.019	16.46	89.2
251	1730	16.92	0.018	15.91	87.9
251	1800	16.61	0.016	15.76	88.6
251	1830	16.29	0.009	15.25	87.1
251	1900	15.99	0.003	14.59	89.6
251	1930	15.68	0.001	14.21	89.3
251	2000	15.42	0	13.93	90.1
251	2030	15.18	0	13.69	90.6
251	2100	14.96	0	13.47	91
251	2130	14.81	0	13.22	91.8
251	2200	14.59	0	12.99	91.4
251	2230	14.30	0	12.57	92.2
251	2300	14.18	0	12.79	91.9
251	2330	13.84	0	12.2	91.9
252	0	13.45	0	11.5	92.4
252	30	13.09	0	11.14	92.6
252	100	12.75	0	10.79	92.6
252	130	12.45	0	10.52	92.7
252	200	12.32	0	10.75	93
252	230	12.42	0	10.96	93.7
252	300	12.45	0	11.23	93.9
252	330	12.51	0	11.37	93.8
252	400	12.57	0	11.49	93.9
252	430	12.63	0	11.58	94
252	500	12.64	0	11.69	94
252	530	12.69	0	11.86	93.7
252	600	12.71	0	11.77	93.6
252	630	12.73	0.001	11.93	93.3
252	700	12.85	0.012	12.19	93.2
252	730	13.04	0.027	12.46	93.1
252	800	13.10	0.027	12.46	92.4
252	830	13.19	0.048	12.59	92
252	900	13.38	0.068	12.7	92.1
252	930	13.60	0.109	12.92	91.8
252	1000	14.68	0.52	14.06	87
252	1030	16.00	0.575	14.95	81.8
252	1100	16.90	0.557	15.8	78.1
252	1130	17.60	0.587	16.37	71.7
252	1200	18.24	0.583	17.08	65.67
252	1230	18.99	0.611	17.78	60.51
252	1300	18.74	0.502	17.44	57.89
252	1330	18.80	0.655	17.89	49.61
252	1400	18.77	0.558	18.03	46.79
252	1430	18.88	0.669	18.53	43.35
252	1500	18.72	0.489	18.07	46.86
252	1530	18.60	0.613	18.45	44.9
252	1600	18.30	0.301	17.97	47
252	1630	17.70	0.276	18.06	47.35
252	1700	16.96	0.187	16.83	51.68
252	1730	16.78	0.244	17.82	48.65
252	1800	15.98	0.116	16.64	51.03
252	1830	15.58	0.104	16.55	54.92
252	1900	14.98	0.02	15.2	60.6
252	1930	14.32	0.002	13.29	71.1
252	2000	13.75	0	12.25	76.4
252	2030	13.30	0	11.98	74.2
252	2100	12.88	0	11.57	71.6
252	2130	12.43	0	10.88	73.3
252	2200	11.92	0	10.07	76.2
252	2230	11.33	0	8.75	81
252	2300	10.74	0	7.59	84.9
252	2330	10.29	0	7.44	82.6
253	0	9.91	0	7.26	83.5
253	30	9.58	0	7.36	81.3
253	100	9.25	0	7.02	81.3
253	130	8.94	0	6.414	83.5
253	200	8.66	0	5.942	86
253	230	8.39	0	5.531	88.5
253	300	8.17	0	5.635	88.5
253	330	8.02	0	5.75	87.7
253	400	7.79	0	5.185	89.6
253	430	7.59	0	5.251	89.2
253	500	7.37	0	4.878	89.7
253	530	7.14	0	4.768	89.9
253	600	6.95	0	4.664	89.9
