Start;End;SoilTemp
27/05/2003 01:00;27/05/2003 02:00;11.258
27/05/2003 02:00;27/05/2003 03:00;11.084
27/05/2003 03:00;27/05/2003 04:00;10.956
27/05/2003 04:00;27/05/2003 05:00;10.838
27/05/2003 05:00;27/05/2003 06:00;10.804
27/05/2003 06:00;27/05/2003 07:00;11.092
27/05/2003 07:00;27/05/2003 08:00;11.868
27/05/2003 08:00;27/05/2003 09:00;13.096
27/05/2003 09:00;27/05/2003 10:00;14.336
27/05/2003 10:00;27/05/2003 11:00;15.488
27/05/2003 11:00;27/05/2003 12:00;16.774
27/05/2003 12:00;27/05/2003 13:00;18.014
27/05/2003 13:00;27/05/2003 14:00;19.528
27/05/2003 14:00;27/05/2003 15:00;20.11
27/05/2003 15:00;27/05/2003 16:00;20.488
27/05/2003 16:00;27/05/2003 17:00;19.866
27/05/2003 17:00;27/05/2003 18:00;19.184
27/05/2003 18:00;27/05/2003 19:00;18.14
27/05/2003 19:00;27/05/2003 20:00;16.97
27/05/2003 20:00;27/05/2003 21:00;15.218
27/05/2003 21:00;27/05/2003 22:00;13.98
27/05/2003 22:00;27/05/2003 23:00;13.802
27/05/2003 23:00;28/05/2003 00:00;13.466
28/05/2003 00:00;28/05/2003 01:00;13.066
28/05/2003 01:00;28/05/2003 02:00;12.638
28/05/2003 02:00;28/05/2003 03:00;12.276
28/05/2003 03:00;28/05/2003 04:00;11.992
28/05/2003 04:00;28/05/2003 05:00;11.444
28/05/2003 05:00;28/05/2003 06:00;11.16
28/05/2003 06:00;28/05/2003 07:00;11.438
28/05/2003 07:00;28/05/2003 08:00;12.882
28/05/2003 08:00;28/05/2003 09:00;14.162
28/05/2003 09:00;28/05/2003 10:00;15.542
28/05/2003 10:00;28/05/2003 11:00;16.816
28/05/2003 11:00;28/05/2003 12:00;18.206
28/05/2003 12:00;28/05/2003 13:00;19.568
28/05/2003 13:00;28/05/2003 14:00;19.562
28/05/2003 14:00;28/05/2003 15:00;19.296
28/05/2003 15:00;28/05/2003 16:00;19.408
28/05/2003 16:00;28/05/2003 17:00;18.53
28/05/2003 17:00;28/05/2003 18:00;17.41
28/05/2003 18:00;28/05/2003 19:00;16.256
28/05/2003 19:00;28/05/2003 20:00;15.862
28/05/2003 20:00;28/05/2003 21:00;15.39
28/05/2003 21:00;28/05/2003 22:00;14.866
28/05/2003 22:00;28/05/2003 23:00;14.202
28/05/2003 23:00;29/05/2003 00:00;13.372
29/05/2003 00:00;29/05/2003 01:00;13.184
29/05/2003 01:00;29/05/2003 02:00;13.072
29/05/2003 02:00;29/05/2003 03:00;12.66
29/05/2003 03:00;29/05/2003 04:00;12.346
29/05/2003 04:00;29/05/2003 05:00;12.204
29/05/2003 05:00;29/05/2003 06:00;12.14
29/05/2003 06:00;29/05/2003 07:00;12.22
29/05/2003 07:00;29/05/2003 08:00;12.534
29/05/2003 08:00;29/05/2003 09:00;12.722
29/05/2003 09:00;29/05/2003 10:00;12.886
29/05/2003 10:00;29/05/2003 11:00;13.414
29/05/2003 11:00;29/05/2003 12:00;14.734
29/05/2003 12:00;29/05/2003 13:00;16.252
29/05/2003 13:00;29/05/2003 14:00;16.232
29/05/2003 14:00;29/05/2003 15:00;15.418
29/05/2003 15:00;29/05/2003 16:00;16.636
29/05/2003 16:00;29/05/2003 17:00;16.95
29/05/2003 17:00;29/05/2003 18:00;17.098
29/05/2003 18:00;29/05/2003 19:00;16.05
29/05/2003 19:00;29/05/2003 20:00;15.01
29/05/2003 20:00;29/05/2003 21:00;14.342
29/05/2003 21:00;29/05/2003 22:00;13.732
29/05/2003 22:00;29/05/2003 23:00;13.158
29/05/2003 23:00;30/05/2003 00:00;12.628
30/05/2003 00:00;30/05/2003 01:00;12.212
30/05/2003 01:00;30/05/2003 02:00;11.93
30/05/2003 02:00;30/05/2003 03:00;11.546
30/05/2003 03:00;30/05/2003 04:00;11.176
30/05/2003 04:00;30/05/2003 05:00;10.834
30/05/2003 05:00;30/05/2003 06:00;10.626
30/05/2003 06:00;30/05/2003 07:00;10.562
30/05/2003 07:00;30/05/2003 08:00;10.6
30/05/2003 08:00;30/05/2003 09:00;10.694
30/05/2003 09:00;30/05/2003 10:00;10.83
30/05/2003 10:00;30/05/2003 11:00;11.356
30/05/2003 11:00;30/05/2003 12:00;12.158
30/05/2003 12:00;30/05/2003 13:00;12.854
30/05/2003 13:00;30/05/2003 14:00;14.142
30/05/2003 14:00;30/05/2003 15:00;14.082
30/05/2003 15:00;30/05/2003 16:00;13.726
30/05/2003 16:00;30/05/2003 17:00;13.55
30/05/2003 17:00;30/05/2003 18:00;13.524
30/05/2003 18:00;30/05/2003 19:00;13.4
30/05/2003 19:00;30/05/2003 20:00;12.874
