EZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
365,19890903,   19,    0,
365,19890904,    3,    0,
365,19890905,    1,    0,
365,19890906,    1,    0,
365,19890907,    0,    0,
365,19890908,    0,    0,
365,19890909,    0,    0,
365,19890910,    0,    0,
365,19890911,    0,    0,
365,19890912,    0,    0,
365,19890913,   78,    0,
365,19890914,  296,    0,
365,19890915,   15,    0,
365,19890916,    3,    0,
365,19890917,    4,    0,
365,19890918,    0,    0,
365,19890919,    5,    0,
365,19890920,  103,    0,
365,19890921,    1,    0,
365,19890922,    1,    0,
365,19890923,    0,    0,
365,19890924,    2,    0,
365,19890925,   34,    0,
365,19890926,    1,    0,
365,19890927,    1,    0,
365,19890928,    7,    0,
365,19890929,    1,    0,
365,19890930,    2,    0,
365,19891001,    6,    0,
365,19891002,    1,    0,
365,19891003,    1,    0,
365,19891004,    1,    0,
365,19891005,    0,    0,
365,19891006,   33,    0,
365,19891007,  116,    0,
365,19891008,   54,    0,
365,19891009,   14,    0,
365,19891010,   11,    0,
365,19891011,   28,    0,
365,19891012,    0,    0,
365,19891013,    1,    0,
365,19891014,   33,    0,
365,19891015,   30,    0,
365,19891016,    4,    0,
365,19891017,    0,    0,
365,19891018,    0,    0,
365,19891019,    1,    0,
365,19891020,   42,    0,
365,19891021,   57,    0,
365,19891022,   56,    0,
365,19891023,   25,    0,
365,19891024,   70,    0,
365,19891025,    1,    0,
365,19891026,    1,    0,
365,19891027,   16,    0,
365,19891028,    0,    0,
365,19891029,   43,    0,
365,19891030,  239,    0,
365,19891031,   25,    0,
365,19891101,    5,    0,
365,19891102,    8,    0,
365,19891103,    1,    0,
365,19891104,    4,    0,
365,19891105,   41,    0,
365,19891106,    4,    0,
365,19891107,    3,    0,
365,19891108,    0,    0,
365,19891109,   39,    0,
365,19891110,   10,    0,
365,19891111,    9,    0,
365,19891112,    0,    0,
365,19891113,    0,    0,
365,19891114,    3,    0,
365,19891115,    1,    0,
365,19891116,    0,    0,
365,19891117,    0,    0,
365,19891118,    0,    0,
365,19891119,    0,    0,
365,19891120,    0,    0,
365,19891121,    0,    0,
365,19891122,    8,    0,
365,19891123,   18,    0,
365,19891124,   19,    0,
365,19891125,   11,    0,
365,19891126,    6,    0,
365,19891127,   11,    0,
365,19891128,    3,    0,
365,19891129,    2,    0,
365,19891130,    4,    0,
365,19891201,    2,    0,
365,19891202,    3,    0,
365,19891203,    0,    0,
365,19891204,    1,    0,
365,19891205,    4,    0,
365,19891206,    2,    0,
365,19891207,    1,    0,
365,19891208,    0,    0,
365,19891209,    0,    0,
365,19891210,    5,    0,
365,19891211,    4,    0,
365,19891212,    2,    0,
365,19891213,   37,    0,
365,19891214,  135,    0,
365,19891215,  133,    0,
365,19891216,   28,    0,
365,19891217,   83,    0,
365,19891218,    4,    0,
365,19891219,   50,    0,
365,19891220,   58,    0,
365,19891221,   82,    0,
365,19891222,    4,    0,
365,19891223,    8,    0,
365,19891224,   40,    0,
365,19891225,    2,    0,
365,19891226,    1,    0,
365,19891227,    1,    0,
365,19891228,    0,    0,
365,19891229,    0,    0,
365,19891230,    0,    0,
365,19891231,    0,    0,
365,19900101,    2,    0,
365,19900102,    0,    0,
365,19900103,    0,    0,
365,19900104,    0,    0,
365,19900105,    1,    0,
365,19900106,    0,    0,
365,19900107,   19,    0,
365,19900108,    6,    0,
365,19900109,    0,    0,
365,19900110,   10,    0,
365,19900111,   10,    0,
