site;camp;trial;treat;block;plot;p_rep;date;time_start;time_end;ts;te;tube;stroke;ppm;notes;Sstroke;Sduration;timestamp;temp;wind;pressure;Sppm2;ts.N0;fert_amount;N_amount;app_time;code;flux;cumtime;cumloss;cumloss;cumloss_perc
DK;I;squares;U;1;1;;22.08.2021;13:22;13:23;22.08.2021 13:22;22.08.2021 13:23;0.25a;10;0.6;;10;60;22.08.2021 13:22;19.58923664;1.933984229;1028.983642;0.6;22.08.2021 13:21;;67.5;20.08.2021 11:00;U_1_I;0.140221768;50.36666667;19.52733117;7.8;11.1
DK;I;squares;U;1;1;;22.08.2021;15:51;15:52;22.08.2021 15:51;22.08.2021 15:52;0.25a;10;1.2;;10;60;22.08.2021 15:51;19.9231556;3.38335328;1030.430903;1.2;22.08.2021 15:52;;67.5;20.08.2021 11:00;U_1_I;0.265026694;52.85;20.03051468;8.0;11.39
DK;I;squares;U;1;1;;22.08.2021;18:22;18:23;22.08.2021 18:22;22.08.2021 18:23;0.25a;10;0.6;;10;60;22.08.2021 18:22;18.58427322;3.180368764;1029;0.6;22.08.2021 18:23;;67.5;20.08.2021 11:00;U_1_I;0.188334536;55.36666667;20.60099423;8.2;11.71
DK;I;squares;U;1;1;;23.08.2021;07:19;07:20;23.08.2021 07:19;23.08.2021 07:20;0.25a;20;0.25;;10;30;23.08.2021 07:19;10.04319218;0.065890779;1029.14658;0.125;23.08.2021 07:20;;67.5;20.08.2021 11:00;U_1_I;0.013136002;68.31666667;21.90551596;8.7;12.45
DK;I;squares;U;1;1;;23.08.2021;10:19;10:21;23.08.2021 10:19;23.08.2021 10:21;0.25a;30;0.5;;10;20;23.08.2021 10:19;17.43429348;1.51698479;1029.978261;0.166666667;23.08.2021 10:12;;67.5;20.08.2021 11:00;U_1_I;0.112374836;71.31666667;22.09378222;8.8;12.56
DK;I;squares;U;1;1;;23.08.2021;13:01;13:02;23.08.2021 13:01;23.08.2021 13:02;0.25a;10;0.6;;10;60;23.08.2021 13:01;20.20566017;1.766637998;1034.838745;0.6;23.08.2021 10:12;;67.5;20.08.2021 11:00;U_1_I;0.132472447;74.01666667;22.42432605;8.9;12.75
DK;I;squares;U;1;1;;23.08.2021;16:06;16:07;23.08.2021 16:06;23.08.2021 16:07;0.25a;10;0.4;;10;60;23.08.2021 16:06;21.6404476;2.244929552;1034.851528;0.4;23.08.2021 16:07;;67.5;20.08.2021 11:00;U_1_I;0.127171674;77.1;22.82461073;9.1;12.98
DK;I;squares;U;1;1;;23.08.2021;19:03;19:04;23.08.2021 19:03;23.08.2021 19:04;0.25a;10;0.25;;10;60;23.08.2021 19:03;20.36155747;1.477373929;1034.832438;0.25;23.08.2021 19:05;;67.5;20.08.2021 11:00;U_1_I;0.080796544;80.05;23.13136386;9.2;13.15
DK;I;squares;U;1;1;;24.08.2021;07:06;07:07;24.08.2021 07:06;24.08.2021 07:07;0.25a;30;0;;10;20;24.08.2021 07:06;8.683271538;0.346936392;1032.451472;0;24.08.2021 07:04;;67.5;20.08.2021 11:00;U_1_I;0;92.1;23.61816303;9.4;13.43
DK;I;squares;U;1;1;;24.08.2021;10:19;10:21;24.08.2021 10:19;24.08.2021 10:21;0.25a;20;0.25;;10;30;24.08.2021 10:19;16.44125813;1.133133434;1034.840564;0.125;24.08.2021 10:11;;67.5;20.08.2021 11:00;U_1_I;0.069504127;95.31666667;23.72994884;9.4;13.49
DK;I;squares;U;1;1;;24.08.2021;12:54;12:57;24.08.2021 12:54;24.08.2021 12:57;0.25a;20;0.5;;10;60;24.08.2021 12:54;19.60836779;2.14017515;1034.843308;0.25;24.08.2021 13:10;;67.5;20.08.2021 11:00;U_1_I;0.100658848;97.9;23.94974268;9.5;13.62
DK;I;squares;U;1;1;;24.08.2021;16:28;16:28;24.08.2021 16:28;24.08.2021 16:28;0.25a;10;0.25;;10;120;24.08.2021 16:28;20.68962121;3.154250339;1039.838745;0.25;24.08.2021 16:21;;67.5;20.08.2021 11:00;U_1_I;0.09266993;101.4666667;24.29451233;9.7;13.81
DK;I;squares;U;1;1;;24.08.2021;18:43;18:44;24.08.2021 18:43;24.08.2021 18:44;0.25a;20;0.25;;10;60;24.08.2021 18:43;17.79818975;2.83154455;1035.281352;0.125;24.08.2021 18:47;;67.5;20.08.2021 11:00;U_1_I;0.087505979;103.7166667;24.49721023;9.7;13.93
DK;I;squares;U;1;1;;25.08.2021;07:08;07:09;25.08.2021 07:08;25.08.2021 07:09;0.25a;30;0.25;;10;40;25.08.2021 07:08;15.16215452;4.833978856;1021.323177;0.083333333;25.08.2021 07:10;;67.5;20.08.2021 11:00;U_1_I;0.121187044;116.1333333;25.79284608;10.3;14.66
DK;I;squares;U;1;1;;25.08.2021;13:17;13:19;25.08.2021 13:17;25.08.2021 13:19;0.25a;30;0;;10;40;25.08.2021 13:17;18.02791712;5.143228344;1015.657579;0;25.08.2021 13:11;;67.5;20.08.2021 11:00;U_1_I;0;122.2833333;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;25.08.2021;16:17;16:18;25.08.2021 16:17;25.08.2021 16:18;0.25a;30;0;;10;40;25.08.2021 16:17;19.40945474;4.672894921;1016.519084;0;25.08.2021 16:19;;67.5;20.08.2021 11:00;U_1_I;0;125.2833333;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;25.08.2021;18:43;18:44;25.08.2021 18:43;25.08.2021 18:44;0.25a;30;0;;10;40;25.08.2021 18:43;19.00883822;2.382123173;1015.112921;0;25.08.2021 18:52;;67.5;20.08.2021 11:00;U_1_I;0;127.7166667;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;26.08.2021;07:13;07:15;26.08.2021 07:13;26.08.2021 07:15;0.25a;30;0;;10;40;26.08.2021 07:13;12.21331162;2.935222089;1014.320304;0;26.08.2021 07:17;;67.5;20.08.2021 11:00;U_1_I;0;140.2166667;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;26.08.2021;10:50;10:52;26.08.2021 10:50;26.08.2021 10:52;0.25a;30;0;;10;40;26.08.2021 10:50;14.83028169;5.057467513;1016.394366;0;26.08.2021 10:27;;67.5;20.08.2021 11:00;U_1_I;0;143.8333333;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;26.08.2021;14:45;14:46;26.08.2021 14:45;26.08.2021 14:46;0.25a;30;0;;10;40;26.08.2021 14:45;15.03446739;5.552263278;1019.842391;0;26.08.2021 14:57;;67.5;20.08.2021 11:00;U_1_I;0;147.75;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;26.08.2021;18:36;18:37;26.08.2021 18:36;26.08.2021 18:37;0.25a;30;0;;10;40;26.08.2021 18:36;14.77;4.119901207;1019.609375;0;26.08.2021 18:35;;67.5;20.08.2021 11:00;U_1_I;0;151.6;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;27.08.2021;07:16;07:18;27.08.2021 07:16;27.08.2021 07:18;0.25a;30;0;;10;40;27.08.2021 07:16;13.5778125;5.160559464;1019.833333;0;27.08.2021 07:15;;67.5;20.08.2021 11:00;U_1_I;0;164.2666667;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;27.08.2021;17:24;17:26;27.08.2021 17:24;27.08.2021 17:26;0.25a;30;0;;10;40;27.08.2021 17:24;15.73192708;4.978832546;1021.276042;0;27.08.2021 17:25;;67.5;20.08.2021 11:00;U_1_I;0;174.4;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;28.08.2021;07:57;07:59;28.08.2021 07:57;28.08.2021 07:59;0.25a;30;0;;10;40;28.08.2021 07:57;13.33775;2.446986002;1023.166667;0;28.08.2021 07:58;;67.5;20.08.2021 11:00;U_1_I;0;188.95;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;28.08.2021;13:44;13:46;28.08.2021 13:44;28.08.2021 13:46;0.25a;30;0;;10;40;28.08.2021 13:44;17.23395833;4.216374241;1024;0;28.08.2021 13:43;;67.5;20.08.2021 11:00;U_1_I;0;194.7333333;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;29.08.2021;07:58;08:00;29.08.2021 07:58;29.08.2021 08:00;0.25a;30;0;;10;40;29.08.2021 07:58;14.00602083;2.47789239;1020.6875;0;29.08.2021 07:59;;67.5;20.08.2021 11:00;U_1_I;0;212.9666667;26.16549624;10.4;14.88
DK;I;squares;U;1;1;;29.08.2021;12:58;13:00;29.08.2021 12:58;29.08.2021 13:00;0.25a;30;0;;10;40;29.08.2021 12:58;18.47705208;4.058642195;1021.276042;0;29.08.2021 12:59;;67.5;20.08.2021 11:00;U_1_I;0;217.9666667;26.16549624;10.4;14.88
DK;I;squares;U;1;2;;20.08.2021;11:33;11:34;20.08.2021 11:33;20.08.2021 11:34;5a;10;47;;10;60;20.08.2021 11:33;16.14055315;2.827807672;1017.329718;47;20.08.2021 11:32;;67.5;20.08.2021 11:00;U_2_I;1.229015636;0.55;0;0.0;0
DK;I;squares;U;1;2;;20.08.2021;13:52;13:54;20.08.2021 13:52;20.08.2021 13:54;5a;10;35;;10;60;20.08.2021 13:52;16.36571892;2.651808265;1019.832432;35;20.08.2021 13:47;;67.5;20.08.2021 11:00;U_2_I;1.036627645;2.866666667;2.624370134;1.0;1.49
DK;I;squares;U;1;2;;20.08.2021;15:50;15:52;20.08.2021 15:50;20.08.2021 15:52;5a;10;31;;10;60;20.08.2021 15:50;16.54305286;5.229227185;1019.819849;31;20.08.2021 15:45;;67.5;20.08.2021 11:00;U_2_I;1.465864247;4.833333333;5.085153828;2.0;2.89
DK;I;squares;U;1;2;;20.08.2021;18:27;18:28;20.08.2021 18:27;20.08.2021 18:28;5a;10;13;;10;60;20.08.2021 18:27;16.20179763;3.669598802;1020.469322;13;20.08.2021 18:26;;67.5;20.08.2021 11:00;U_2_I;0.80885628;7.45;8.061246518;3.2;4.58
DK;I;squares;U;1;2;;21.08.2021;07:17;07:18;21.08.2021 07:17;21.08.2021 07:18;2a;20;3.5;;10;30;21.08.2021 07:17;11.09861622;0.538699568;1019.843243;1.75;21.08.2021 07:19;;67.5;20.08.2021 11:00;U_2_I;0.146813423;20.28333333;14.19346045;5.6;8.07
DK;I;squares;U;1;2;;21.08.2021;10:18;10:19;21.08.2021 10:18;21.08.2021 10:19;2a;5;6;;10;120;21.08.2021 10:18;16.14964583;1.678374701;1025.182292;12;21.08.2021 10:17;;67.5;20.08.2021 11:00;U_2_I;0.360981894;23.3;14.95938505;6.0;8.5
DK;I;squares;U;1;2;;21.08.2021;13:14;13:15;21.08.2021 13:14;21.08.2021 13:15;2a;5;3;;10;120;21.08.2021 13:14;15.74692708;3.05914897;1026.84375;6;21.08.2021 13:12;;67.5;20.08.2021 11:00;U_2_I;0.378097987;26.23333333;16.04336887;6.4;9.12
DK;I;squares;U;1;2;;21.08.2021;16:10;16:12;21.08.2021 16:10;21.08.2021 16:12;2a;5;4;;10;120;21.08.2021 16:10;17.24530208;1.297804147;1028.166667;8;21.08.2021 16:12;;67.5;20.08.2021 11:00;U_2_I;0.258297625;29.16666667;16.97674911;6.8;9.65
DK;I;squares;U;1;2;;21.08.2021;18:29;18:30;21.08.2021 18:29;21.08.2021 18:30;2a;5;4;;10;120;21.08.2021 18:29;17.82094792;1.255189062;1026.505208;8;21.08.2021 18:30;;67.5;20.08.2021 11:00;U_2_I;0.25321848;31.48333333;17.56925526;7.0;9.99
DK;I;squares;U;1;2;;22.08.2021;07:19;07:20;22.08.2021 07:19;22.08.2021 07:20;0.25a;10;0.25;;10;60;22.08.2021 07:19;9.455479167;1.038737144;1019.833333;0.25;22.08.2021 07:18;;67.5;20.08.2021 11:00;U_2_I;0.067181317;44.31666667;19.62515396;7.8;11.16
DK;I;squares;U;1;2;;22.08.2021;10:40;10:40;22.08.2021 10:40;22.08.2021 10:40;0.25a;10;1;;10;60;22.08.2021 10:40;17.4707767;3.289512733;1026.470334;1;22.08.2021 10:25;;67.5;20.08.2021 11:00;U_2_I;0.241706729;47.66666667;20.14254143;8.0;11.45
DK;I;squares;U;1;2;;22.08.2021;13:26;13:27;22.08.2021 13:26;22.08.2021 13:27;0.25a;10;1.4;;10;60;22.08.2021 13:26;19.72188659;2.427574785;1030.657579;1.4;22.08.2021 13:30;;67.5;20.08.2021 11:00;U_2_I;0.233367815;50.43333333;20.79972789;8.3;11.83
DK;I;squares;U;1;2;;22.08.2021;15:55;15:56;22.08.2021 15:55;22.08.2021 15:56;0.25a;10;1.5;;10;60;22.08.2021 15:55;19.59367965;4.097701451;1029.395022;1.5;22.08.2021 15:57;;67.5;20.08.2021 11:00;U_2_I;0.327953567;52.91666667;21.49670194;8.6;12.22
DK;I;squares;U;1;2;;22.08.2021;18:26;18:27;22.08.2021 18:26;22.08.2021 18:27;0.25a;10;0.6;;10;60;22.08.2021 18:26;18.47110749;2.41591342;1030.666667;0.6;22.08.2021 18:27;;67.5;20.08.2021 11:00;U_2_I;0.16004754;55.43333333;22.11077;8.8;12.57
DK;I;squares;U;1;2;;23.08.2021;07:24;07:25;23.08.2021 07:24;23.08.2021 07:25;0.25a;20;0.25;;10;30;23.08.2021 07:24;10.10972914;0.416277652;1028.176598;0.125;23.08.2021 07:20;;67.5;20.08.2021 11:00;U_2_I;0.038987843;68.4;23.40118273;9.3;13.3
DK;I;squares;U;1;2;;23.08.2021;10:25;10:27;23.08.2021 10:25;23.08.2021 10:27;0.25a;30;1.1;;10;20;23.08.2021 10:25;17.89087336;0.726705369;1029.835153;0.366666667;23.08.2021 10:12;;67.5;20.08.2021 11:00;U_2_I;0.103240788;71.41666667;23.61571092;9.4;13.43
DK;I;squares;U;1;2;;23.08.2021;13:05;13:06;23.08.2021 13:05;23.08.2021 13:06;0.25a;10;0.8;;10;60;23.08.2021 13:05;20.39117519;0.93189598;1034.31556;0.8;23.08.2021 10:12;;67.5;20.08.2021 11:00;U_2_I;0.103200949;74.08333333;23.89096657;9.5;13.58
DK;I;squares;U;1;2;;23.08.2021;16:11;16:12;23.08.2021 16:11;23.08.2021 16:12;0.25a;10;0.8;;10;60;23.08.2021 16:11;21.53688792;1.371555541;1039.723613;0.8;23.08.2021 16:07;;67.5;20.08.2021 11:00;U_2_I;0.129108865;77.18333333;24.25104678;9.7;13.79
DK;I;squares;U;1;2;;23.08.2021;19:07;19:08;23.08.2021 19:07;23.08.2021 19:08;0.25a;10;0.25;;10;60;23.08.2021 19:07;20.41166488;1.033327272;1038.162191;0.25;23.08.2021 19:05;;67.5;20.08.2021 11:00;U_2_I;0.065334326;80.11666667;24.53623012;9.8;13.95
DK;I;squares;U;1;2;;24.08.2021;07:12;07:13;24.08.2021 07:12;24.08.2021 07:13;0.25a;30;0;;10;20;24.08.2021 07:12;8.888244854;0.219765315;1032.466956;0;24.08.2021 07:08;;67.5;20.08.2021 11:00;U_2_I;0;92.2;24.93095834;9.9;14.17
DK;I;squares;U;1;2;;24.08.2021;10:25;10:27;24.08.2021 10:25;24.08.2021 10:27;0.25a;20;0.3;;10;60;24.08.2021 10:25;16.55639344;0.81257158;1035.551913;0.15;24.08.2021 10:11;;67.5;20.08.2021 11:00;U_2_I;0.045508564;95.41666667;25.00415128;10.0;14.22
DK;I;squares;U;1;2;;24.08.2021;12:59;13:01;24.08.2021 12:59;24.08.2021 13:01;0.25a;20;0.9;;10;60;24.08.2021 12:59;19.62449291;1.989572475;1036.19193;0.45;24.08.2021 13:10;;67.5;20.08.2021 11:00;U_2_I;0.12509339;97.98333333;25.22309046;10.0;14.34
DK;I;squares;U;1;2;;24.08.2021;16:32;16:33;24.08.2021 16:32;24.08.2021 16:33;0.25a;10;0.25;;10;120;24.08.2021 16:32;20.94854031;3.54792957;1038.95098;0.25;24.08.2021 16:21;;67.5;20.08.2021 11:00;U_2_I;0.09932766;101.5333333;25.62143782;10.2;14.57
DK;I;squares;U;1;2;;24.08.2021;18:48;18:49;24.08.2021 18:48;24.08.2021 18:49;0.25a;20;0.25;;10;60;24.08.2021 18:48;17.66616792;2.843998393;1035.657696;0.125;24.08.2021 18:47;;67.5;20.08.2021 11:00;U_2_I;0.087736372;103.8;25.83344372;10.3;14.69
DK;I;squares;U;1;2;;25.08.2021;07:14;07:15;25.08.2021 07:14;25.08.2021 07:15;0.25a;30;0;;10;40;25.08.2021 07:14;15.28569717;5.724583503;1021.303922;0;25.08.2021 07:10;;67.5;20.08.2021 11:00;U_2_I;0;116.2333333;26.3788715;10.5;15
DK;I;squares;U;1;2;;25.08.2021;13:22;13:24;25.08.2021 13:22;25.08.2021 13:24;0.25a;30;0;;10;40;25.08.2021 13:22;17.95376087;5.720260617;1014;0;25.08.2021 13:11;;67.5;20.08.2021 11:00;U_2_I;0;122.3666667;26.3788715;10.5;15
DK;I;squares;U;1;2;;25.08.2021;16:22;16:23;25.08.2021 16:22;25.08.2021 16:23;0.25a;30;0.25;;10;40;25.08.2021 16:22;19.14148796;4.531018786;1015.54814;0.083333333;25.08.2021 16:19;;67.5;20.08.2021 11:00;U_2_I;0.116231047;125.3666667;26.55321807;10.6;15.1
DK;I;squares;U;1;2;;25.08.2021;18:48;18:50;25.08.2021 18:48;25.08.2021 18:50;0.25a;30;0;;10;40;25.08.2021 18:48;19.05288817;2.320257928;1014;0;25.08.2021 18:52;;67.5;20.08.2021 11:00;U_2_I;0;127.8;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;26.08.2021;07:19;07:21;26.08.2021 07:19;26.08.2021 07:21;0.25a;30;0;;10;40;26.08.2021 07:19;12.30072905;3.102042923;1015.653972;0;26.08.2021 07:17;;67.5;20.08.2021 11:00;U_2_I;0;140.3166667;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;26.08.2021;11:02;11:04;26.08.2021 11:02;26.08.2021 11:04;0.25a;50;0;;10;24;26.08.2021 11:02;15.12080994;4.121618953;1017.309935;0;26.08.2021 10:27;;67.5;20.08.2021 11:00;U_2_I;0;144.0333333;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;26.08.2021;14:50;14:52;26.08.2021 14:50;26.08.2021 14:52;0.25a;30;0;;10;40;26.08.2021 14:50;14.97703057;4.377833424;1018.164847;0;26.08.2021 14:57;;67.5;20.08.2021 11:00;U_2_I;0;147.8333333;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;26.08.2021;18:40;18:42;26.08.2021 18:40;26.08.2021 18:42;0.25a;30;0;;10;40;26.08.2021 18:40;14.81036458;3.882041964;1019.588542;0;26.08.2021 18:39;;67.5;20.08.2021 11:00;U_2_I;0;151.6666667;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;27.08.2021;07:20;07:23;27.08.2021 07:20;27.08.2021 07:23;0.25a;30;0;;10;40;27.08.2021 07:20;13.6073125;3.363723559;1016.5;0;27.08.2021 07:19;;67.5;20.08.2021 11:00;U_2_I;0;164.3333333;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;27.08.2021;17:29;17:31;27.08.2021 17:29;27.08.2021 17:31;0.25a;30;0;;10;40;27.08.2021 17:29;15.64397917;4.74752095;1019.84375;0;27.08.2021 17:25;;67.5;20.08.2021 11:00;U_2_I;0;174.4833333;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;28.08.2021;08:02;08:04;28.08.2021 08:02;28.08.2021 08:04;0.25a;30;0;;10;40;28.08.2021 08:02;13.28730208;2.621432529;1024.380208;0;28.08.2021 07:58;;67.5;20.08.2021 11:00;U_2_I;0;189.0333333;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;28.08.2021;13:49;13:51;28.08.2021 13:49;28.08.2021 13:51;0.25a;30;0;;10;40;28.08.2021 13:49;16.88846875;4.362394114;1023.166667;0;28.08.2021 13:47;;67.5;20.08.2021 11:00;U_2_I;0;194.8166667;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;29.08.2021;08:03;08:05;29.08.2021 08:03;29.08.2021 08:05;0.25a;30;0;;10;40;29.08.2021 08:03;14.1223125;2.165724488;1019.828125;0;29.08.2021 07:59;;67.5;20.08.2021 11:00;U_2_I;0;213.05;26.69463251;10.6;15.18
DK;I;squares;U;1;2;;29.08.2021;13:03;13:05;29.08.2021 13:03;29.08.2021 13:05;0.25a;30;0;;10;40;29.08.2021 13:03;19.13552083;4.818780856;1021.723958;0;29.08.2021 12:59;;67.5;20.08.2021 11:00;U_2_I;0;218.05;26.69463251;10.6;15.18
DK;I;squares;U;1;3;;20.08.2021;11:40;11:41;20.08.2021 11:40;20.08.2021 11:41;5a;10;51;;10;60;20.08.2021 11:40;16.32724512;4.009000957;1020.127983;51;20.08.2021 11:38;;67.5;20.08.2021 11:00;U_3_I;1.563467901;0.666666667;0;0.0;0
DK;I;squares;U;1;3;;20.08.2021;14:01;14:02;20.08.2021 14:01;20.08.2021 14:02;5a;10;33;;10;60;20.08.2021 14:01;15.97926087;3.479755015;1018.309783;33;20.08.2021 13:47;;67.5;20.08.2021 11:00;U_3_I;1.18698794;3.016666667;3.231785613;1.3;1.84
DK;I;squares;U;1;3;;20.08.2021;15:58;15:59;20.08.2021 15:58;20.08.2021 15:59;5a;10;33;;10;60;20.08.2021 15:58;16.59496216;4.17081838;1020.681081;33;20.08.2021 15:55;;67.5;20.08.2021 11:00;U_3_I;1.318270251;4.966666667;5.67441235;2.3;3.23
DK;I;squares;U;1;3;;20.08.2021;18:33;18:34;20.08.2021 18:33;20.08.2021 18:34;5a;10;15;;10;60;20.08.2021 18:33;16.03709012;4.507699798;1020.487514;15;20.08.2021 18:31;;67.5;20.08.2021 11:00;U_3_I;0.973374277;7.55;8.634453198;3.4;4.91
DK;I;squares;U;1;3;;21.08.2021;07:23;07:24;21.08.2021 07:23;21.08.2021 07:24;2a;20;3;;10;30;21.08.2021 07:23;10.88010799;0.591743084;1021.74838;1.5;21.08.2021 07:19;;67.5;20.08.2021 11:00;U_3_I;0.144841786;20.38333333;15.80967293;6.3;8.99
DK;I;squares;U;1;3;;21.08.2021;10:25;10:26;21.08.2021 10:25;21.08.2021 10:26;2a;5;7;;10;120;21.08.2021 10:25;15.3193125;2.36016534;1024.838542;14;21.08.2021 10:20;;67.5;20.08.2021 11:00;U_3_I;0.473347693;23.41666667;16.74726031;6.7;9.52
DK;I;squares;U;1;3;;21.08.2021;13:19;13:20;21.08.2021 13:19;21.08.2021 13:20;2a;5;4;;10;120;21.08.2021 13:19;15.76709375;2.511197283;1026.015625;8;21.08.2021 13:18;;67.5;20.08.2021 11:00;U_3_I;0.38251159;26.31666667;17.98825627;7.2;10.23
DK;I;squares;U;1;3;;21.08.2021;16:16;16:17;21.08.2021 16:16;21.08.2021 16:17;2a;5;4;;10;120;21.08.2021 16:16;16.7141875;1.871134816;1026.973958;8;21.08.2021 16:12;;67.5;20.08.2021 11:00;U_3_I;0.320956233;29.26666667;19.02587131;7.6;10.82
DK;I;squares;U;1;3;;21.08.2021;18:22;18:23;21.08.2021 18:22;21.08.2021 18:23;2a;5;3;;10;120;21.08.2021 18:22;17.95983333;1.340290815;1024.833333;6;21.08.2021 18:21;;67.5;20.08.2021 11:00;U_3_I;0.231768245;31.36666667;19.60623201;7.8;11.15
DK;I;squares;U;1;3;;22.08.2021;07:23;07:24;22.08.2021 07:23;22.08.2021 07:24;0.25a;10;0.25;;10;60;22.08.2021 07:23;9.56842872;0.96162281;1020.659729;0.25;22.08.2021 07:18;;67.5;20.08.2021 11:00;U_3_I;0.064157841;44.38333333;21.53221762;8.6;12.24
DK;I;squares;U;1;3;;22.08.2021;10:45;10:45;22.08.2021 10:45;22.08.2021 10:45;0.25a;10;0.75;;10;60;22.08.2021 10:45;17.5474373;3.854672821;1024.845147;0.75;22.08.2021 10:25;;67.5;20.08.2021 11:00;U_3_I;0.23371987;47.75;22.0336451;8.8;12.53
