Start;End;SolRad
18/05/2001 02:00;18/05/2001 03:00;0
18/05/2001 03:00;18/05/2001 04:00;0
18/05/2001 04:00;18/05/2001 05:00;0
18/05/2001 05:00;18/05/2001 06:00;0.024
18/05/2001 06:00;18/05/2001 07:00;0.113
18/05/2001 07:00;18/05/2001 08:00;0.332
18/05/2001 08:00;18/05/2001 09:00;0.488
18/05/2001 09:00;18/05/2001 10:00;0.64
18/05/2001 10:00;18/05/2001 11:00;0.753
18/05/2001 11:00;18/05/2001 12:00;0.828
18/05/2001 12:00;18/05/2001 13:00;0.857
18/05/2001 13:00;18/05/2001 14:00;0.84
18/05/2001 14:00;18/05/2001 15:00;0.776
18/05/2001 15:00;18/05/2001 16:00;0.687
18/05/2001 16:00;18/05/2001 17:00;0.556
18/05/2001 17:00;18/05/2001 18:00;0.394
18/05/2001 18:00;18/05/2001 19:00;0.222
18/05/2001 19:00;18/05/2001 20:00;0.073
18/05/2001 20:00;18/05/2001 21:00;0.003
18/05/2001 21:00;18/05/2001 22:00;360
18/05/2001 22:00;18/05/2001 23:00;0
18/05/2001 23:00;19/05/2001 00:00;0
19/05/2001 00:00;19/05/2001 01:00;0
19/05/2001 01:00;19/05/2001 02:00;0
19/05/2001 02:00;19/05/2001 03:00;0
19/05/2001 03:00;19/05/2001 04:00;0
19/05/2001 04:00;19/05/2001 05:00;0
19/05/2001 05:00;19/05/2001 06:00;0.028
19/05/2001 06:00;19/05/2001 07:00;0.113
19/05/2001 07:00;19/05/2001 08:00;0.313
19/05/2001 08:00;19/05/2001 09:00;0.473
19/05/2001 09:00;19/05/2001 10:00;0.618
19/05/2001 10:00;19/05/2001 11:00;0.728
19/05/2001 11:00;19/05/2001 12:00;0.804
19/05/2001 12:00;19/05/2001 13:00;0.835
19/05/2001 13:00;19/05/2001 14:00;0.815
19/05/2001 14:00;19/05/2001 15:00;0.761
19/05/2001 15:00;19/05/2001 16:00;0.661
19/05/2001 16:00;19/05/2001 17:00;0.522
19/05/2001 17:00;19/05/2001 18:00;0.269
19/05/2001 18:00;19/05/2001 19:00;0.144
19/05/2001 19:00;19/05/2001 20:00;0.066
19/05/2001 20:00;19/05/2001 21:00;0.002
19/05/2001 21:00;19/05/2001 22:00;360
19/05/2001 22:00;19/05/2001 23:00;0
19/05/2001 23:00;20/05/2001 00:00;0
20/05/2001 00:00;20/05/2001 01:00;0
20/05/2001 01:00;20/05/2001 02:00;0
20/05/2001 02:00;20/05/2001 03:00;0
20/05/2001 03:00;20/05/2001 04:00;0
20/05/2001 04:00;20/05/2001 05:00;0
20/05/2001 05:00;20/05/2001 06:00;0.014
20/05/2001 06:00;20/05/2001 07:00;0.113
20/05/2001 07:00;20/05/2001 08:00;0.316
20/05/2001 08:00;20/05/2001 09:00;0.464
20/05/2001 09:00;20/05/2001 10:00;0.632
20/05/2001 10:00;20/05/2001 11:00;0.748
20/05/2001 11:00;20/05/2001 12:00;0.787
20/05/2001 12:00;20/05/2001 13:00;0.872
20/05/2001 13:00;20/05/2001 14:00;0.856
20/05/2001 14:00;20/05/2001 15:00;0.793
20/05/2001 15:00;20/05/2001 16:00;0.688
20/05/2001 16:00;20/05/2001 17:00;0.561
20/05/2001 17:00;20/05/2001 18:00;0.403
20/05/2001 18:00;20/05/2001 19:00;0.228
20/05/2001 19:00;20/05/2001 20:00;0.044
20/05/2001 20:00;20/05/2001 21:00;0.002
20/05/2001 21:00;20/05/2001 22:00;360
20/05/2001 22:00;20/05/2001 23:00;0
20/05/2001 23:00;21/05/2001 00:00;0
21/05/2001 00:00;21/05/2001 01:00;0
21/05/2001 01:00;21/05/2001 02:00;0
21/05/2001 02:00;21/05/2001 03:00;0
21/05/2001 03:00;21/05/2001 04:00;0
21/05/2001 04:00;21/05/2001 05:00;0
21/05/2001 05:00;21/05/2001 06:00;0.002
21/05/2001 06:00;21/05/2001 07:00;0.013
21/05/2001 07:00;21/05/2001 08:00;0.036
21/05/2001 08:00;21/05/2001 09:00;0.122
21/05/2001 09:00;21/05/2001 10:00;0.13
21/05/2001 10:00;21/05/2001 11:00;0.482
21/05/2001 11:00;21/05/2001 12:00;0.787
21/05/2001 12:00;21/05/2001 13:00;0.881
21/05/2001 13:00;21/05/2001 14:00;0.865
21/05/2001 14:00;21/05/2001 15:00;0.799
21/05/2001 15:00;21/05/2001 16:00;0.7
21/05/2001 16:00;21/05/2001 17:00;0.563
21/05/2001 17:00;21/05/2001 18:00;0.406
21/05/2001 18:00;21/05/2001 19:00;0.232
21/05/2001 19:00;21/05/2001 20:00;0.077
21/05/2001 20:00;21/05/2001 21:00;0.003
21/05/2001 21:00;21/05/2001 22:00;0
21/05/2001 22:00;21/05/2001 23:00;0
21/05/2001 23:00;22/05/2001 00:00;0
22/05/2001 00:00;22/05/2001 01:00;0
22/05/2001 01:00;22/05/2001 02:00;0
22/05/2001 02:00;22/05/2001 03:00;0
22/05/2001 03:00;22/05/2001 04:00;0
22/05/2001 04:00;22/05/2001 05:00;0
22/05/2001 05:00;22/05/2001 06:00;0.035
22/05/2001 06:00;22/05/2001 07:00;0.145
22/05/2001 07:00;22/05/2001 08:00;0.28
22/05/2001 08:00;22/05/2001 09:00;0.449
22/05/2001 09:00;22/05/2001 10:00;0.643
22/05/2001 10:00;22/05/2001 11:00;0.786
22/05/2001 11:00;22/05/2001 12:00;0.838
22/05/2001 12:00;22/05/2001 13:00;0.823
22/05/2001 13:00;22/05/2001 14:00;0.798
22/05/2001 14:00;22/05/2001 15:00;0.759
22/05/2001 15:00;22/05/2001 16:00;0.656
22/05/2001 16:00;22/05/2001 17:00;0.498
22/05/2001 17:00;22/05/2001 18:00;0.258
22/05/2001 18:00;22/05/2001 19:00;0.105
22/05/2001 19:00;22/05/2001 20:00;0.027
22/05/2001 20:00;22/05/2001 21:00;0
22/05/2001 21:00;22/05/2001 22:00;0
22/05/2001 22:00;22/05/2001 23:00;0
22/05/2001 23:00;23/05/2001 00:00;0
23/05/2001 00:00;23/05/2001 01:00;0
23/05/2001 01:00;23/05/2001 02:00;0
23/05/2001 02:00;23/05/2001 03:00;0
23/05/2001 03:00;23/05/2001 04:00;0
23/05/2001 04:00;23/05/2001 05:00;0
23/05/2001 05:00;23/05/2001 06:00;0.005
23/05/2001 06:00;23/05/2001 07:00;0.022
23/05/2001 07:00;23/05/2001 08:00;0.06
23/05/2001 08:00;23/05/2001 09:00;0.096
23/05/2001 09:00;23/05/2001 10:00;0.129
23/05/2001 10:00;23/05/2001 11:00;0.16
23/05/2001 11:00;23/05/2001 12:00;0.224
23/05/2001 12:00;23/05/2001 13:00;0.586
23/05/2001 13:00;23/05/2001 14:00;0.671
23/05/2001 14:00;23/05/2001 15:00;0.685
23/05/2001 15:00;23/05/2001 16:00;0.677
23/05/2001 16:00;23/05/2001 17:00;0.543
23/05/2001 17:00;23/05/2001 18:00;0.385
23/05/2001 18:00;23/05/2001 19:00;0.225
23/05/2001 19:00;23/05/2001 20:00;0.077
23/05/2001 20:00;23/05/2001 21:00;0.003
23/05/2001 21:00;23/05/2001 22:00;0
23/05/2001 22:00;23/05/2001 23:00;0
23/05/2001 23:00;24/05/2001 00:00;0
24/05/2001 00:00;24/05/2001 01:00;0
24/05/2001 01:00;24/05/2001 02:00;0
24/05/2001 02:00;24/05/2001 03:00;0
24/05/2001 03:00;24/05/2001 04:00;0
24/05/2001 04:00;24/05/2001 05:00;0
24/05/2001 05:00;24/05/2001 06:00;0.012
24/05/2001 06:00;24/05/2001 07:00;0.052
24/05/2001 07:00;24/05/2001 08:00;0.113
24/05/2001 08:00;24/05/2001 09:00;0.182
24/05/2001 09:00;24/05/2001 10:00;0.208
24/05/2001 10:00;24/05/2001 11:00;0.404
24/05/2001 11:00;24/05/2001 12:00;0.436
24/05/2001 12:00;24/05/2001 13:00;0.367
24/05/2001 13:00;24/05/2001 14:00;0.299
24/05/2001 14:00;24/05/2001 15:00;0.248
24/05/2001 15:00;24/05/2001 16:00;0.225
24/05/2001 16:00;24/05/2001 17:00;0.17
24/05/2001 17:00;24/05/2001 18:00;0.133
24/05/2001 18:00;24/05/2001 19:00;0.084
24/05/2001 19:00;24/05/2001 20:00;0.036
24/05/2001 20:00;24/05/2001 21:00;0.002
24/05/2001 21:00;24/05/2001 22:00;0
24/05/2001 22:00;24/05/2001 23:00;0
24/05/2001 23:00;25/05/2001 00:00;0
25/05/2001 00:00;25/05/2001 01:00;0
25/05/2001 01:00;25/05/2001 02:00;0
25/05/2001 02:00;25/05/2001 03:00;0
25/05/2001 03:00;25/05/2001 04:00;0
25/05/2001 04:00;25/05/2001 05:00;0
25/05/2001 05:00;25/05/2001 06:00;0.004
25/05/2001 06:00;25/05/2001 07:00;0.011
25/05/2001 07:00;25/05/2001 08:00;0.066
25/05/2001 08:00;25/05/2001 09:00;0.081
25/05/2001 09:00;25/05/2001 10:00;0.139
25/05/2001 10:00;25/05/2001 11:00;0.158
25/05/2001 11:00;25/05/2001 12:00;0.167
25/05/2001 12:00;25/05/2001 13:00;0.279
25/05/2001 13:00;25/05/2001 14:00;0.234
25/05/2001 14:00;25/05/2001 15:00;0.299
25/05/2001 15:00;25/05/2001 16:00;0.289
25/05/2001 16:00;25/05/2001 17:00;0.152
25/05/2001 17:00;25/05/2001 18:00;0.168
25/05/2001 18:00;25/05/2001 19:00;0.092
25/05/2001 19:00;25/05/2001 20:00;0.035
25/05/2001 20:00;25/05/2001 21:00;0.003
25/05/2001 21:00;25/05/2001 22:00;0
25/05/2001 22:00;25/05/2001 23:00;0
25/05/2001 23:00;26/05/2001 00:00;0
26/05/2001 00:00;26/05/2001 01:00;0
26/05/2001 01:00;26/05/2001 02:00;0
26/05/2001 02:00;26/05/2001 03:00;0
26/05/2001 03:00;26/05/2001 04:00;0
26/05/2001 04:00;26/05/2001 05:00;0
26/05/2001 05:00;26/05/2001 06:00;0.017
26/05/2001 06:00;26/05/2001 07:00;0.065
26/05/2001 07:00;26/05/2001 08:00;0.234
26/05/2001 08:00;26/05/2001 09:00;0.452
26/05/2001 09:00;26/05/2001 10:00;0.374
26/05/2001 10:00;26/05/2001 11:00;0.357
26/05/2001 11:00;26/05/2001 12:00;0.498
26/05/2001 12:00;26/05/2001 13:00;0.446
26/05/2001 13:00;26/05/2001 14:00;0.356
26/05/2001 14:00;26/05/2001 15:00;0.339
26/05/2001 15:00;26/05/2001 16:00;0.356
26/05/2001 16:00;26/05/2001 17:00;0.223
26/05/2001 17:00;26/05/2001 18:00;0.16
26/05/2001 18:00;26/05/2001 19:00;0.057
26/05/2001 19:00;26/05/2001 20:00;0.015
26/05/2001 20:00;26/05/2001 21:00;0
26/05/2001 21:00;26/05/2001 22:00;0
26/05/2001 22:00;26/05/2001 23:00;0
26/05/2001 23:00;27/05/2001 00:00;0
27/05/2001 00:00;27/05/2001 01:00;0
27/05/2001 01:00;27/05/2001 02:00;0
27/05/2001 02:00;27/05/2001 03:00;0
27/05/2001 03:00;27/05/2001 04:00;0
27/05/2001 04:00;27/05/2001 05:00;0
27/05/2001 05:00;27/05/2001 06:00;0.006
27/05/2001 06:00;27/05/2001 07:00;0.065
27/05/2001 07:00;27/05/2001 08:00;0.271
27/05/2001 08:00;27/05/2001 09:00;0.412
27/05/2001 09:00;27/05/2001 10:00;0.385
27/05/2001 10:00;27/05/2001 11:00;0.5
27/05/2001 11:00;27/05/2001 12:00;0.571
27/05/2001 12:00;27/05/2001 13:00;0.739
27/05/2001 13:00;27/05/2001 14:00;0.771
27/05/2001 14:00;27/05/2001 15:00;0.744
27/05/2001 15:00;27/05/2001 16:00;0.666
27/05/2001 16:00;27/05/2001 17:00;0.481
27/05/2001 17:00;27/05/2001 18:00;0.379
27/05/2001 18:00;27/05/2001 19:00;0.198
27/05/2001 19:00;27/05/2001 20:00;0.074
27/05/2001 20:00;27/05/2001 21:00;0.004
27/05/2001 21:00;27/05/2001 22:00;0
27/05/2001 22:00;27/05/2001 23:00;0
27/05/2001 23:00;28/05/2001 00:00;0
28/05/2001 00:00;28/05/2001 01:00;0
28/05/2001 01:00;28/05/2001 02:00;0
28/05/2001 02:00;28/05/2001 03:00;0
28/05/2001 03:00;28/05/2001 04:00;0
28/05/2001 04:00;28/05/2001 05:00;0
28/05/2001 05:00;28/05/2001 06:00;0.034
28/05/2001 06:00;28/05/2001 07:00;0.125
28/05/2001 07:00;28/05/2001 08:00;0.331
28/05/2001 08:00;28/05/2001 09:00;0.401
28/05/2001 09:00;28/05/2001 10:00;0.49
28/05/2001 10:00;28/05/2001 11:00;0.574
28/05/2001 11:00;28/05/2001 12:00;0.681
28/05/2001 12:00;28/05/2001 13:00;0.737
28/05/2001 13:00;28/05/2001 14:00;0.496
28/05/2001 14:00;28/05/2001 15:00;0.445
28/05/2001 15:00;28/05/2001 16:00;0.441
28/05/2001 16:00;28/05/2001 17:00;0.147
28/05/2001 17:00;28/05/2001 18:00;0.057
28/05/2001 18:00;28/05/2001 19:00;0.019
28/05/2001 19:00;28/05/2001 20:00;0.021
28/05/2001 20:00;28/05/2001 21:00;0.002
28/05/2001 21:00;28/05/2001 22:00;0
28/05/2001 22:00;28/05/2001 23:00;0
28/05/2001 23:00;29/05/2001 00:00;0
29/05/2001 00:00;29/05/2001 01:00;0
29/05/2001 01:00;29/05/2001 02:00;0
29/05/2001 02:00;29/05/2001 03:00;0
29/05/2001 03:00;29/05/2001 04:00;0
29/05/2001 04:00;29/05/2001 05:00;0
29/05/2001 05:00;29/05/2001 06:00;0.006
29/05/2001 06:00;29/05/2001 07:00;0.025
29/05/2001 07:00;29/05/2001 08:00;0.105
29/05/2001 08:00;29/05/2001 09:00;0.124
29/05/2001 09:00;29/05/2001 10:00;0.103
29/05/2001 10:00;29/05/2001 11:00;0.112
29/05/2001 11:00;29/05/2001 12:00;0.387
29/05/2001 12:00;29/05/2001 13:00;0.498
29/05/2001 13:00;29/05/2001 14:00;0.242
29/05/2001 14:00;29/05/2001 15:00;0.095
29/05/2001 15:00;29/05/2001 16:00;0.461
29/05/2001 16:00;29/05/2001 17:00;0.389
29/05/2001 17:00;29/05/2001 18:00;0.309
29/05/2001 18:00;29/05/2001 19:00;0.032
29/05/2001 19:00;29/05/2001 20:00;0.009
29/05/2001 20:00;29/05/2001 21:00;0
29/05/2001 21:00;29/05/2001 22:00;0
29/05/2001 22:00;29/05/2001 23:00;0
29/05/2001 23:00;30/05/2001 00:00;0
30/05/2001 00:00;30/05/2001 01:00;0
30/05/2001 01:00;30/05/2001 02:00;0
30/05/2001 02:00;30/05/2001 03:00;0
30/05/2001 03:00;30/05/2001 04:00;0
30/05/2001 04:00;30/05/2001 05:00;0
30/05/2001 05:00;30/05/2001 06:00;0.011
30/05/2001 06:00;30/05/2001 07:00;0.029
30/05/2001 07:00;30/05/2001 08:00;0.067
30/05/2001 08:00;30/05/2001 09:00;0.076
30/05/2001 09:00;30/05/2001 10:00;0.091
30/05/2001 10:00;30/05/2001 11:00;0.154
30/05/2001 11:00;30/05/2001 12:00;0.24
30/05/2001 12:00;30/05/2001 13:00;0.248
30/05/2001 13:00;30/05/2001 14:00;0.32
30/05/2001 14:00;30/05/2001 15:00;0.128
30/05/2001 15:00;30/05/2001 16:00;0.12
30/05/2001 16:00;30/05/2001 17:00;0.11
30/05/2001 17:00;30/05/2001 18:00;0.083
30/05/2001 18:00;30/05/2001 19:00;0.056
30/05/2001 19:00;30/05/2001 20:00;0.02
30/05/2001 20:00;30/05/2001 21:00;0.002
30/05/2001 21:00;30/05/2001 22:00;0
30/05/2001 22:00;30/05/2001 23:00;0
30/05/2001 23:00;31/05/2001 00:00;0
31/05/2001 00:00;31/05/2001 01:00;0
31/05/2001 01:00;31/05/2001 02:00;0
31/05/2001 02:00;31/05/2001 03:00;0
31/05/2001 03:00;31/05/2001 04:00;0
31/05/2001 04:00;31/05/2001 05:00;0
31/05/2001 05:00;31/05/2001 06:00;0.009
31/05/2001 06:00;31/05/2001 07:00;0.034
31/05/2001 07:00;31/05/2001 08:00;0.086
31/05/2001 08:00;31/05/2001 09:00;0.13
31/05/2001 09:00;31/05/2001 10:00;0.161
31/05/2001 10:00;31/05/2001 11:00;0.176
31/05/2001 11:00;31/05/2001 12:00;0.211
31/05/2001 12:00;31/05/2001 13:00;0.507
31/05/2001 13:00;31/05/2001 14:00;0.855
31/05/2001 14:00;31/05/2001 15:00;0.782
31/05/2001 15:00;31/05/2001 16:00;0.66
31/05/2001 16:00;31/05/2001 17:00;0.447
31/05/2001 17:00;31/05/2001 18:00;0.198
31/05/2001 18:00;31/05/2001 19:00;0.213
31/05/2001 19:00;31/05/2001 20:00;0.028
31/05/2001 20:00;31/05/2001 21:00;0.005
31/05/2001 21:00;31/05/2001 22:00;0
31/05/2001 22:00;31/05/2001 23:00;0
31/05/2001 23:00;01/06/2001 00:00;0
01/06/2001 00:00;01/06/2001 01:00;0
01/06/2001 01:00;01/06/2001 02:00;0
01/06/2001 02:00;01/06/2001 03:00;0
01/06/2001 03:00;01/06/2001 04:00;0
01/06/2001 04:00;01/06/2001 05:00;0
01/06/2001 05:00;01/06/2001 06:00;0.007
01/06/2001 06:00;01/06/2001 07:00;0.033
01/06/2001 07:00;01/06/2001 08:00;0.048
01/06/2001 08:00;01/06/2001 09:00;0.14
01/06/2001 09:00;01/06/2001 10:00;0.153
01/06/2001 10:00;01/06/2001 11:00;0.119
01/06/2001 11:00;01/06/2001 12:00;0.082
01/06/2001 12:00;01/06/2001 13:00;0.167
01/06/2001 13:00;01/06/2001 14:00;0.182
01/06/2001 14:00;01/06/2001 15:00;0.115
01/06/2001 15:00;01/06/2001 16:00;0.105
01/06/2001 16:00;01/06/2001 17:00;0.077
01/06/2001 17:00;01/06/2001 18:00;0.041
01/06/2001 18:00;01/06/2001 19:00;0.02
01/06/2001 19:00;01/06/2001 20:00;0.012
01/06/2001 20:00;01/06/2001 21:00;0
01/06/2001 21:00;01/06/2001 22:00;0
01/06/2001 22:00;01/06/2001 23:00;0
01/06/2001 23:00;02/06/2001 00:00;0
02/06/2001 00:00;02/06/2001 01:00;0
02/06/2001 01:00;02/06/2001 02:00;0
02/06/2001 02:00;02/06/2001 03:00;0
02/06/2001 03:00;02/06/2001 04:00;0
02/06/2001 04:00;02/06/2001 05:00;0
02/06/2001 05:00;02/06/2001 06:00;0.031
02/06/2001 06:00;02/06/2001 07:00;0.197
02/06/2001 07:00;02/06/2001 08:00;0.363
02/06/2001 08:00;02/06/2001 09:00;0.52
02/06/2001 09:00;02/06/2001 10:00;0.661
02/06/2001 10:00;02/06/2001 11:00;0.763
02/06/2001 11:00;02/06/2001 12:00;0.838
02/06/2001 12:00;02/06/2001 13:00;0.685
02/06/2001 13:00;02/06/2001 14:00;0.67
02/06/2001 14:00;02/06/2001 15:00;0.74
02/06/2001 15:00;02/06/2001 16:00;0.636
02/06/2001 16:00;02/06/2001 17:00;0.511
02/06/2001 17:00;02/06/2001 18:00;0.426
02/06/2001 18:00;02/06/2001 19:00;0.214
02/06/2001 19:00;02/06/2001 20:00;0.07
02/06/2001 20:00;02/06/2001 21:00;0.004
02/06/2001 21:00;02/06/2001 22:00;0
02/06/2001 22:00;02/06/2001 23:00;0
02/06/2001 23:00;03/06/2001 00:00;0
03/06/2001 00:00;03/06/2001 01:00;0
03/06/2001 01:00;03/06/2001 02:00;0
03/06/2001 02:00;03/06/2001 03:00;0
03/06/2001 03:00;03/06/2001 04:00;0
03/06/2001 04:00;03/06/2001 05:00;0
03/06/2001 05:00;03/06/2001 06:00;0.033
03/06/2001 06:00;03/06/2001 07:00;0.171
03/06/2001 07:00;03/06/2001 08:00;0.327
03/06/2001 08:00;03/06/2001 09:00;0.509
03/06/2001 09:00;03/06/2001 10:00;0.656
03/06/2001 10:00;03/06/2001 11:00;0.771
03/06/2001 11:00;03/06/2001 12:00;0.84
03/06/2001 12:00;03/06/2001 13:00;0.866
03/06/2001 13:00;03/06/2001 14:00;0.857
03/06/2001 14:00;03/06/2001 15:00;0.801
03/06/2001 15:00;03/06/2001 16:00;0.697
03/06/2001 16:00;03/06/2001 17:00;0.561
03/06/2001 17:00;03/06/2001 18:00;0.406
03/06/2001 18:00;03/06/2001 19:00;0.234
03/06/2001 19:00;03/06/2001 20:00;0.092
03/06/2001 20:00;03/06/2001 21:00;0.008
03/06/2001 21:00;03/06/2001 22:00;0
03/06/2001 22:00;03/06/2001 23:00;0
03/06/2001 23:00;04/06/2001 00:00;0
04/06/2001 00:00;04/06/2001 01:00;0
04/06/2001 01:00;04/06/2001 02:00;0
04/06/2001 02:00;04/06/2001 03:00;0
04/06/2001 03:00;04/06/2001 04:00;0
04/06/2001 04:00;04/06/2001 05:00;0
04/06/2001 05:00;04/06/2001 06:00;0.051
04/06/2001 06:00;04/06/2001 07:00;0.191
04/06/2001 07:00;04/06/2001 08:00;0.35
04/06/2001 08:00;04/06/2001 09:00;0.514
04/06/2001 09:00;04/06/2001 10:00;0.658
04/06/2001 10:00;04/06/2001 11:00;0.771
04/06/2001 11:00;04/06/2001 12:00;0.846
04/06/2001 12:00;04/06/2001 13:00;0.876
04/06/2001 13:00;04/06/2001 14:00;0.851
04/06/2001 14:00;04/06/2001 15:00;0.812
04/06/2001 15:00;04/06/2001 16:00;0.632
04/06/2001 16:00;04/06/2001 17:00;0.586
04/06/2001 17:00;04/06/2001 18:00;0.411
04/06/2001 18:00;04/06/2001 19:00;0.257
04/06/2001 19:00;04/06/2001 20:00;0.1
04/06/2001 20:00;04/06/2001 21:00;0.006
04/06/2001 21:00;04/06/2001 22:00;0
04/06/2001 22:00;04/06/2001 23:00;0
04/06/2001 23:00;05/06/2001 00:00;0
05/06/2001 00:00;05/06/2001 01:00;0
05/06/2001 01:00;05/06/2001 02:00;0
05/06/2001 02:00;05/06/2001 03:00;0
05/06/2001 03:00;05/06/2001 04:00;0
05/06/2001 04:00;05/06/2001 05:00;0.002
05/06/2001 05:00;05/06/2001 06:00;0.06
05/06/2001 06:00;05/06/2001 07:00;0.167
05/06/2001 07:00;05/06/2001 08:00;0.331
05/06/2001 08:00;05/06/2001 09:00;0.495
05/06/2001 09:00;05/06/2001 10:00;0.408
05/06/2001 10:00;05/06/2001 11:00;0.397
05/06/2001 11:00;05/06/2001 12:00;0.284
05/06/2001 12:00;05/06/2001 13:00;0.039
05/06/2001 13:00;05/06/2001 14:00;0.081
05/06/2001 14:00;05/06/2001 15:00;0.031
05/06/2001 15:00;05/06/2001 16:00;0.07
05/06/2001 16:00;05/06/2001 17:00;0.097
05/06/2001 17:00;05/06/2001 18:00;0.059
05/06/2001 18:00;05/06/2001 19:00;0.095
05/06/2001 19:00;05/06/2001 20:00;0.012
05/06/2001 20:00;05/06/2001 21:00;0
05/06/2001 21:00;05/06/2001 22:00;0
05/06/2001 22:00;05/06/2001 23:00;0
05/06/2001 23:00;06/06/2001 00:00;0
06/06/2001 00:00;06/06/2001 01:00;0
06/06/2001 01:00;06/06/2001 02:00;0
06/06/2001 02:00;06/06/2001 03:00;0
06/06/2001 03:00;06/06/2001 04:00;0
06/06/2001 04:00;06/06/2001 05:00;0
06/06/2001 05:00;06/06/2001 06:00;0.009
06/06/2001 06:00;06/06/2001 07:00;0.066
06/06/2001 07:00;06/06/2001 08:00;0.23
06/06/2001 08:00;06/06/2001 09:00;0.501
06/06/2001 09:00;06/06/2001 10:00;0.642
06/06/2001 10:00;06/06/2001 11:00;0.756
06/06/2001 11:00;06/06/2001 12:00;0.83
06/06/2001 12:00;06/06/2001 13:00;0.826
06/06/2001 13:00;06/06/2001 14:00;0.837
06/06/2001 14:00;06/06/2001 15:00;0.785
06/06/2001 15:00;06/06/2001 16:00;0.584
06/06/2001 16:00;06/06/2001 17:00;0.558
06/06/2001 17:00;06/06/2001 18:00;0.383
06/06/2001 18:00;06/06/2001 19:00;0.173
06/06/2001 19:00;06/06/2001 20:00;0.074
06/06/2001 20:00;06/06/2001 21:00;0.01
06/06/2001 21:00;06/06/2001 22:00;0
06/06/2001 22:00;06/06/2001 23:00;0
06/06/2001 23:00;07/06/2001 00:00;0
07/06/2001 00:00;07/06/2001 01:00;0
07/06/2001 01:00;07/06/2001 02:00;0
07/06/2001 02:00;07/06/2001 03:00;0
07/06/2001 03:00;07/06/2001 04:00;0
07/06/2001 04:00;07/06/2001 05:00;0
07/06/2001 05:00;07/06/2001 06:00;0.014
07/06/2001 06:00;07/06/2001 07:00;0.059
07/06/2001 07:00;07/06/2001 08:00;0.203
07/06/2001 08:00;07/06/2001 09:00;0.29
07/06/2001 09:00;07/06/2001 10:00;0.334
07/06/2001 10:00;07/06/2001 11:00;0.456
07/06/2001 11:00;07/06/2001 12:00;0.456
07/06/2001 12:00;07/06/2001 13:00;0.358
07/06/2001 13:00;07/06/2001 14:00;0.375
