Start Shift;End Shift;Radiation
31/08/2005 09:30;31/08/2005 10:00;0.06
31/08/2005 10:00;31/08/2005 10:30;0.071
31/08/2005 10:30;31/08/2005 11:00;0.077
31/08/2005 11:00;31/08/2005 11:30;0.069
31/08/2005 11:30;31/08/2005 12:00;0.051
31/08/2005 12:00;31/08/2005 12:30;0.069
31/08/2005 12:30;31/08/2005 13:00;0.057
31/08/2005 13:00;31/08/2005 13:30;0.051
31/08/2005 13:30;31/08/2005 14:00;0.036
31/08/2005 14:00;31/08/2005 14:30;0.029
31/08/2005 14:30;31/08/2005 15:00;0.026
31/08/2005 15:00;31/08/2005 15:30;0.025
31/08/2005 15:30;31/08/2005 16:00;0.017
31/08/2005 16:00;31/08/2005 16:30;0.016
31/08/2005 16:30;31/08/2005 17:00;0.014
31/08/2005 17:00;31/08/2005 17:30;0.006
31/08/2005 17:30;31/08/2005 18:00;0.02
31/08/2005 18:00;31/08/2005 18:30;0.016
31/08/2005 18:30;31/08/2005 19:00;0.018
31/08/2005 19:00;31/08/2005 19:30;0.003
31/08/2005 19:30;31/08/2005 20:00;0
31/08/2005 20:00;31/08/2005 20:30;0
31/08/2005 20:30;31/08/2005 21:00;0
31/08/2005 21:00;31/08/2005 21:30;0
31/08/2005 21:30;31/08/2005 22:00;0
31/08/2005 22:00;31/08/2005 22:30;0
31/08/2005 22:30;31/08/2005 23:00;0
31/08/2005 23:00;31/08/2005 23:30;0
31/08/2005 23:30;01/09/2005 00:00;0
01/09/2005 00:00;01/09/2005 00:30;0
01/09/2005 00:30;01/09/2005 01:00;0
01/09/2005 01:00;01/09/2005 01:30;0
01/09/2005 01:30;01/09/2005 02:00;0
01/09/2005 02:00;01/09/2005 02:30;0
01/09/2005 02:30;01/09/2005 03:00;0
01/09/2005 03:00;01/09/2005 03:30;0
01/09/2005 03:30;01/09/2005 04:00;0
01/09/2005 04:00;01/09/2005 04:30;0
01/09/2005 04:30;01/09/2005 05:00;0
01/09/2005 05:00;01/09/2005 05:30;0
01/09/2005 05:30;01/09/2005 06:00;0
01/09/2005 06:00;01/09/2005 06:30;0.008
01/09/2005 06:30;01/09/2005 07:00;0.026
