Start Shift;End Shift;SolRad
18/05/2004 14:30;18/05/2004 15:00;0.074
18/05/2004 15:00;18/05/2004 15:30;0.018
18/05/2004 15:30;18/05/2004 16:00;0.079
18/05/2004 16:00;18/05/2004 16:30;0.249
18/05/2004 16:30;18/05/2004 17:00;0.13
18/05/2004 17:00;18/05/2004 17:30;0.073
18/05/2004 17:30;18/05/2004 18:00;0.14
18/05/2004 18:00;18/05/2004 18:30;0.034
18/05/2004 18:30;18/05/2004 19:00;0.058
18/05/2004 19:00;18/05/2004 19:30;0.063
18/05/2004 19:30;18/05/2004 20:00;0.039
18/05/2004 20:00;18/05/2004 20:30;0
18/05/2004 20:30;18/05/2004 21:00;0
18/05/2004 21:00;18/05/2004 21:30;0
18/05/2004 21:30;18/05/2004 22:00;0
18/05/2004 22:00;18/05/2004 22:30;0
18/05/2004 22:30;18/05/2004 23:00;0
18/05/2004 23:00;18/05/2004 23:30;0
18/05/2004 23:30;19/05/2004 00:00;0
19/05/2004 00:00;19/05/2004 00:30;0
19/05/2004 00:30;19/05/2004 01:00;0
19/05/2004 01:00;19/05/2004 01:30;0
19/05/2004 01:30;19/05/2004 02:00;0
19/05/2004 02:00;19/05/2004 02:30;0
19/05/2004 02:30;19/05/2004 03:00;0
19/05/2004 03:00;19/05/2004 03:30;0
19/05/2004 03:30;19/05/2004 04:00;0
19/05/2004 04:00;19/05/2004 04:30;0
19/05/2004 04:30;19/05/2004 05:00;0
19/05/2004 05:00;19/05/2004 05:30;0
19/05/2004 05:30;19/05/2004 06:00;0.037
19/05/2004 06:00;19/05/2004 06:30;0.138
19/05/2004 06:30;19/05/2004 07:00;0.158
19/05/2004 07:00;19/05/2004 07:30;0.294
19/05/2004 07:30;19/05/2004 08:00;0.374
19/05/2004 08:00;19/05/2004 08:30;0.41
19/05/2004 08:30;19/05/2004 09:00;0.493
19/05/2004 09:00;19/05/2004 09:30;0.573
19/05/2004 09:30;19/05/2004 10:00;0.621
19/05/2004 10:00;19/05/2004 10:30;0.683
19/05/2004 10:30;19/05/2004 11:00;0.732
19/05/2004 11:00;19/05/2004 11:30;0.794
19/05/2004 11:30;19/05/2004 12:00;0.823
19/05/2004 12:00;19/05/2004 12:30;0.836
19/05/2004 12:30;19/05/2004 13:00;0.852
19/05/2004 13:00;19/05/2004 13:30;0.76
19/05/2004 13:30;19/05/2004 14:00;0.819
19/05/2004 14:00;19/05/2004 14:30;0.659
19/05/2004 14:30;19/05/2004 15:00;0.753
19/05/2004 15:00;19/05/2004 15:30;0.704
19/05/2004 15:30;19/05/2004 16:00;0.65
19/05/2004 16:00;19/05/2004 16:30;0.486
19/05/2004 16:30;19/05/2004 17:00;0.514
19/05/2004 17:00;19/05/2004 17:30;0.424
19/05/2004 17:30;19/05/2004 18:00;0.383
19/05/2004 18:00;19/05/2004 18:30;0.297
19/05/2004 18:30;19/05/2004 19:00;0.197
19/05/2004 19:00;19/05/2004 19:30;0.127
19/05/2004 19:30;19/05/2004 20:00;0.054
19/05/2004 20:00;19/05/2004 20:30;0
19/05/2004 20:30;19/05/2004 21:00;0
19/05/2004 21:00;19/05/2004 21:30;0
19/05/2004 21:30;19/05/2004 22:00;0
19/05/2004 22:00;19/05/2004 22:30;0
19/05/2004 22:30;19/05/2004 23:00;0
19/05/2004 23:00;19/05/2004 23:30;0
19/05/2004 23:30;20/05/2004 00:00;0
20/05/2004 00:00;20/05/2004 00:30;0
20/05/2004 00:30;20/05/2004 01:00;0
20/05/2004 01:00;20/05/2004 01:30;0
20/05/2004 01:30;20/05/2004 02:00;0
20/05/2004 02:00;20/05/2004 02:30;0
20/05/2004 02:30;20/05/2004 03:00;0
20/05/2004 03:00;20/05/2004 03:30;0
20/05/2004 03:30;20/05/2004 04:00;0
20/05/2004 04:00;20/05/2004 04:30;0
20/05/2004 04:30;20/05/2004 05:00;0
20/05/2004 05:00;20/05/2004 05:30;0
20/05/2004 05:30;20/05/2004 06:00;0.04
20/05/2004 06:00;20/05/2004 06:30;0.127
20/05/2004 06:30;20/05/2004 07:00;0.16
20/05/2004 07:00;20/05/2004 07:30;0.283
20/05/2004 07:30;20/05/2004 08:00;0.37
20/05/2004 08:00;20/05/2004 08:30;0.407
20/05/2004 08:30;20/05/2004 09:00;0.484
20/05/2004 09:00;20/05/2004 09:30;0.561
20/05/2004 09:30;20/05/2004 10:00;0.63
20/05/2004 10:00;20/05/2004 10:30;0.614
20/05/2004 10:30;20/05/2004 11:00;0.58
20/05/2004 11:00;20/05/2004 11:30;0.769
20/05/2004 11:30;20/05/2004 12:00;0.718
20/05/2004 12:00;20/05/2004 12:30;0.636
20/05/2004 12:30;20/05/2004 13:00;0.673
20/05/2004 13:00;20/05/2004 13:30;0.702
20/05/2004 13:30;20/05/2004 14:00;0.535
20/05/2004 14:00;20/05/2004 14:30;0.361
20/05/2004 14:30;20/05/2004 15:00;0.293
20/05/2004 15:00;20/05/2004 15:30;0.203
20/05/2004 15:30;20/05/2004 16:00;0.193
20/05/2004 16:00;20/05/2004 16:30;0.168
20/05/2004 16:30;20/05/2004 17:00;0.108
20/05/2004 17:00;20/05/2004 17:30;0.104
20/05/2004 17:30;20/05/2004 18:00;0.093
20/05/2004 18:00;20/05/2004 18:30;0.059
20/05/2004 18:30;20/05/2004 19:00;0.028
20/05/2004 19:00;20/05/2004 19:30;0
20/05/2004 19:30;20/05/2004 20:00;0
20/05/2004 20:00;20/05/2004 20:30;0
20/05/2004 20:30;20/05/2004 21:00;0
20/05/2004 21:00;20/05/2004 21:30;0
20/05/2004 21:30;20/05/2004 22:00;0
20/05/2004 22:00;20/05/2004 22:30;0
20/05/2004 22:30;20/05/2004 23:00;0
20/05/2004 23:00;20/05/2004 23:30;0
20/05/2004 23:30;21/05/2004 00:00;0
21/05/2004 00:00;21/05/2004 00:30;0
21/05/2004 00:30;21/05/2004 01:00;0
21/05/2004 01:00;21/05/2004 01:30;0
21/05/2004 01:30;21/05/2004 02:00;0
21/05/2004 02:00;21/05/2004 02:30;0
21/05/2004 02:30;21/05/2004 03:00;0
21/05/2004 03:00;21/05/2004 03:30;0
21/05/2004 03:30;21/05/2004 04:00;0
21/05/2004 04:00;21/05/2004 04:30;0
21/05/2004 04:30;21/05/2004 05:00;0
21/05/2004 05:00;21/05/2004 05:30;0
21/05/2004 05:30;21/05/2004 06:00;0.036
21/05/2004 06:00;21/05/2004 06:30;0.127
21/05/2004 06:30;21/05/2004 07:00;0.157
21/05/2004 07:00;21/05/2004 07:30;0.295
21/05/2004 07:30;21/05/2004 08:00;0.376
21/05/2004 08:00;21/05/2004 08:30;0.421
21/05/2004 08:30;21/05/2004 09:00;0.431
21/05/2004 09:00;21/05/2004 09:30;0.59
21/05/2004 09:30;21/05/2004 10:00;0.643
