jday	time	atemp	rh
135	300	8.47	68.17
135	400	8.58	69.31
135	500	8.65	69.82
135	600	8.48	72.6
135	700	8.02	79.1
135	800	7.58	82.8
135	900	7.53	83.5
135	1000	7.04	93.8
135	1100	6.83	98.6
135	1200	6.973	100.3
135	1300	7.18	101.3
135	1400	7.52	101.7
135	1500	7.92	101.9
135	1600	7.95	102.2
135	1700	8.11	102
135	1800	8.24	101.6
135	1900	8.27	100.9
135	2000	8.27	100
135	2100	8.05	100.9
135	2200	7.77	101.6
135	2300	7.68	101.3
136	0	7.56	99.3
136	100	7.62	100
136	200	7.74	100.9
136	300	7.77	101.1
136	400	7.81	101.1
136	500	7.9	100.9
136	600	8.01	99.7
136	700	8.04	100.1
136	800	8.28	99.3
136	900	9.06	96.5
136	1000	9.47	92.4
136	1100	9.29	94.9
136	1200	9.07	99.9
136	1300	9.15	99
136	1400	9.12	100.1
136	1500	9.27	99.5
136	1600	8.91	100.3
136	1700	8.87	101.1
136	1800	9.15	100.5
136	1900	8.6	101.4
136	2000	8.24	101.1
136	2100	7.98	102.4
136	2200	7.93	102.8
136	2300	7.85	102.7
137	0	8.07	100.2
137	100	7.65	102.2
137	200	7.47	103.4
137	300	7.19	103.9
137	400	6.839	104.4
137	500	6.688	104.5
137	600	6.917	104
137	700	8.07	97.7
137	800	8.5	93.6
137	900	9.21	85.4
137	1000	10.47	81.4
137	1100	11.37	74.2
137	1200	12.05	65.39
137	1300	13.16	59.03
137	1400	14.09	55.3
137	1500	14.46	43.63
137	1600	13.7	47.41
137	1700	12.13	54.22
137	1800	11.57	67.41
137	1900	11.52	65.32
137	2000	11.06	68.68
137	2100	9.98	77.8
137	2200	9.51	80.7
137	2300	9.34	78.5
138	0	8.5	83.7
138	100	7.29	93.4
138	200	6.805	95.7
138	300	6.691	95.7
138	400	6.342	97.1
138	500	6.569	100.4
138	600	6.951	101.3
138	700	7.47	98.8
138	800	8.32	95.4
138	900	9.19	90.3
138	1000	10.29	82.2
138	1100	11.29	76.1
138	1200	13.47	59.5
138	1300	13.22	57.9
138	1400	12.44	64.64
138	1500	14	57.99
138	1600	14.58	53.79
138	1700	12.54	73.1
138	1800	11.56	78.7
138	1900	9.95	83.6
138	2000	8.68	90.5
138	2100	8.42	89.5
138	2200	8.48	90
138	2300	8.52	93.6
139	0	8.23	92.6
139	100	7.83	92.8
139	200	7.53	95
139	300	7.02	97.1
139	400	7.06	95.8
139	500	7.06	94.9
139	600	6.992	95.7
139	700	7.47	95
139	800	7.6	93.7
139	900	8.48	88
139	1000	9.55	81.4
139	1100	11.64	71.9
139	1200	12.93	68.82
139	1300	12.88	65.3
139	1400	12.92	67.91
139	1500	13.31	67.82
139	1600	12.78	67.69
139	1700	12.3	70.2
139	1800	11.25	73.6
139	1900	10.78	76.2
139	2000	9.3	84.6
139	2100	8.37	91
139	2200	7.89	92.2
139	2300	7.77	92
140	0	7.58	92.4
140	100	7.44	93.1
140	200	6.283	96.9
140	300	5.637	98.4
140	400	5.925	98.9
140	500	6.568	97.8
140	600	6.507	97.2
140	700	6.878	96.7
140	800	7.37	95.5
140	900	7.98	93.5
140	1000	9.27	86.8
140	1100	9.81	85.1
140	1200	11.7	74.7
140	1300	11.93	72.3
140	1400	12.71	68.71
140	1500	13.35	65.63
140	1600	13.33	65.71
140	1700	11.12	79.8
140	1800	9.96	85
140	1900	9.26	83.1
140	2000	8.37	84.7
140	2100	7.93	83.6
140	2200	8.1	83.7
140	2300	8.17	79.6
141	0	7.97	80
141	100	8.03	80.7
141	200	7.99	81.7
141	300	7.58	90.4
141	400	7.61	89.9
141	500	7.04	96.1
141	600	7.11	93.3
141	700	6.66	94.7
141	800	6.562	96.4
141	900	6.629	97.5
141	1000	7.08	95.8
141	1100	7.62	96.1
141	1200	8.12	96.2
141	1300	8.43	93.7
141	1400	8.79	92.7
141	1500	9	90.4
141	1600	8.69	92.6
141	1700	8.01	97.3
141	1800	7.68	100
141	1900	7.68	101
141	2000	7.85	101.4
141	2100	7.8	100.8
141	2200	7.9	100
141	2300	8.06	97.9
142	0	8.39	95.8
142	100	8.38	94
142	200	8.31	90.8
142	300	7.82	91.1
142	400	7.46	92.3
142	500	7.69	88.5
142	600	7.75	86
142	700	7.94	85.4
142	800	8.27	84
142	900	8.56	83.7
142	1000	8.99	81.8
142	1100	8.7	87.8
142	1200	8.51	91.9
142	1300	8.42	93.5
142	1400	8.17	97
142	1500	8.01	96.5
142	1600	8.38	94.2
142	1700	7.84	98.2
142	1800	7.47	100.2
142	1900	7.32	100.3
142	2000	7.19	100.4
142	2100	7.15	100.6
142	2200	7.34	101.3
142	2300	7.39	100.4
143	0	7.37	100.3
143	100	7.71	98
143	200	7.49	99.5
143	300	7.29	100.5
143	400	7.1	100.9
143	500	6.839	101
143	600	6.604	101.2
143	700	6.52	101
143	800	6.61	100.8
143	900	6.724	100.8
143	1000	6.869	101.4
143	1100	7.43	101.3
143	1200	7.92	100.8
143	1300	8.34	97.6
143	1400	8.72	93.7
143	1500	8.63	93.5
143	1600	9.44	93.2
143	1700	10.76	86
143	1800	12.04	76.8
143	1900	11.68	76.1
143	2000	10.4	80.6
143	2100	9.23	82.8
143	2200	9.36	81.1
143	2300	9.35	76.3
144	0	9.37	75.7
144	100	9.08	79.1
144	200	9.06	79.7
144	300	8.74	81.2
144	400	9.22	78.1
144	500	8.84	77.9
144	600	8.33	80.5
144	700	8.46	80
144	800	9.41	78.1
144	900	10.09	75.7
144	1000	11.17	73.5
144	1100	12.08	71
144	1200	12.5	70.8
144	1300	13.47	69.29
144	1400	13.22	69.1
144	1500	12.71	70.6
144	1600	13.16	66.63
144	1700	13.35	64.91
144	1800	12.74	66.63
144	1900	11.78	68.98
144	2000	10.75	73.4
144	2100	9.55	78.3
144	2200	9.08	81.1
144	2300	8.57	86
145	0	8.24	89.1
145	100	8.3	89.3
145	200	8.02	92.3

