"row.in.file.int","air.temp","air.temp.z","soil.temp","soil.temp.z","soil.temp.surf","rad","wind","wind.z","MOL","ustar","rl","air.pres","air.pres.unit","rain","rh"
113,8.91,2,NA,NA,NA,116,3.42,1.3,53.1,0.328,0.152,NA,NA,8.4,86.6
114,11.6,2,NA,NA,NA,286,5.67,1.3,-71.7,0.435,0.152,NA,NA,0.2,71
115,4.82,2,NA,NA,NA,10.5,2.62,1.3,17.8,0.277,0.152,NA,NA,4.4,94.7
116,9.14,2,NA,NA,NA,330,4.16,1.3,-171,0.437,0.152,NA,NA,1.6,74.5
117,6.8,2,NA,NA,NA,7.31,2.8,1.3,245,0.315,0.152,NA,NA,0.8,88.4
118,10.6,2,NA,NA,NA,31,4.4,1.3,495,0.458,0.152,NA,NA,1,92.9
119,8.91,2,NA,NA,NA,116,3.42,1.3,53.1,0.328,0.152,NA,NA,8.4,86.6
120,11.6,2,NA,NA,NA,286,5.67,1.3,-71.7,0.435,0.152,NA,NA,0.2,71
121,4.82,2,NA,NA,NA,10.5,2.62,1.3,17.8,0.277,0.152,NA,NA,4.4,94.7
122,9.14,2,NA,NA,NA,330,4.16,1.3,-171,0.437,0.152,NA,NA,1.6,74.5
123,6.8,2,NA,NA,NA,7.31,2.8,1.3,245,0.315,0.152,NA,NA,0.8,88.4
124,10.6,2,NA,NA,NA,31,4.4,1.3,495,0.458,0.152,NA,NA,1,92.9
125,8.91,2,NA,NA,NA,116,3.42,1.3,53.1,0.328,0.152,NA,NA,8.4,86.6
